t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey,q_sumsq,z_l1,z_sumsq,z_max,lyapunov,key_inflow,key_overflow,cg_iters,cg_columns,cg_converged,obj_lp,obj_greedy,key_blocked_edges
0,245000000.0,0,2109375.0,2425130.2083333335,0,0.8811589100178921,0.9476988686844755,0,0.0,762500.0,145351562500.0,190625.0,14535156250000.0,7200000.0,0.0,0,0,1,0.0,0.0,0
1,245000000.0,0,1796875.0,2350260.4166666665,0,1.9315194519902665,2.1124243899047483,0,0.0,918750.0,229335937500.0,346875.0,22933593750000.0,7200000.0,0.0,0,0,1,0.0,0.0,0
2,245000000.0,0,1640625.0,2275390.625,0,3.0512916738522198,3.218305033122668,0,0.0,1065625.0,237236328125.0,303125.0,23723632812500.0,7200000.0,0.0,0,0,1,0.0,0.0,0
3,245000000.0,0,1160095.3703703706,2202363.7602880658,0,4.1463299723175515,4.722511389707835,0,0.0,1221875.0,531513671875.0,650000.0,53151367187500.0,7200000.0,0.0,0,0,1,0.0,0.0,0
4,245000000.0,0,1203845.3703703706,2133457.879457825,0,3.9607043158778446,5.659964049482299,0,0.0,1361399.6049443432,510115301038.76794,606250.0,51011530103876.8,7214700.790111314,8.185452315956354e-11,0,0,1,0.0,0.0,0
5,245000000.0,0,856970.3703703706,2097885.3319609165,0,5.553746180643678,7.3310828311432665,0,0.0,1525000.0,1017460937500.0,953125.0,101746093750000.0,7214700.790111314,8.185452315956354e-11,0,0,1,0.0,0.0,0
6,245000000.0,0,900720.3703703706,2084535.006686231,0,5.382208702200118,8.217982498475136,0,0.0,1664524.6049443432,969539129163.768,909375.0,96953912916376.8,7214700.790111314,8.185452315956354e-11,0,0,1,0.0,0.0,0
7,245000000.0,0,944470.3703703706,2071184.6814115453,0,6.142672484990331,9.115349208898568,0,0.0,2375924.2098886864,1319611594780.0718,865625.0,131961159478007.17,7214700.790111314,8.185452315956354e-11,0,0,1,0.0,0.0,0
8,245000000.0,0,597595.3703703706,2065437.900205163,0,8.166490275296134,11.34115514251728,0,0.0,2487073.9078740235,1702740695334.3394,1212500.0,170274069533433.94,7215200.604029325,1.8189894035458565e-10,0,0,1,0.0,0.0,0
9,245000000.0,0,641345.3703703706,2063212.5697615328,0,7.55722705643813,12.11358981048905,0,0.0,2626348.605859361,1897348509793.6768,1168750.0,189734850979367.7,7215200.604029325,1.8189894035458565e-10,0,0,1,0.0,0.0,0
10,245000000.0,0,685095.3703703706,2072123.1281073508,0,6.624073919171114,12.915046633998351,0,0.0,3335150.302962482,2487127792548.1973,1125000.0,248712779254819.72,7224592.607558192,2.0190782379359007e-10,0,0,1,0.0,0.0,0
11,245000000.0,0,338220.37037037057,2081269.7977617448,0,9.01566110643203,16.89587234344548,0,0.0,3441603.999183386,2765100622871.393,1471875.0,276510062287139.3,7224592.607558192,2.0190782379359007e-10,0,0,1,0.0,0.0,0
12,245000000.0,0,381970.37037037057,2090416.467416139,0,7.760624925486387,17.222336125026594,0,0.0,3580878.6971687237,3198674114813.5615,1428125.0,319867411481356.1,7224592.607558192,2.0190782379359007e-10,0,0,1,0.0,0.0,0
13,245000000.0,0,425720.37037037057,2099669.042577571,0,6.185913003463786,17.686910067743206,0,0.0,4289680.394271844,4027386076250.657,1384375.0,402738607625065.75,7228405.205811543,5.491074261954054e-10,0,0,1,0.0,0.0,0
14,245000000.0,0,78845.37037037057,2108921.617739002,0,10.31327279180231,39.04841533983503,0,0.0,4396134.090492748,4203838388920.989,1731250.0,420383838892098.9,7228405.205811543,1.0147687135031447e-09,0,0,1,0.0,0.0,0
15,245000000.0,0,278845.37037037057,2100813.081789323,0,7.13594950660124,17.51651462724127,0,0.0,4691658.788478086,4857632620099.291,1531250.0,485763262009929.1,7228405.205811543,7.364633347606286e-10,0,0,1,0.0,0.0,0
16,245000000.0,0,322595.37037037057,2110065.656950755,0,7.6423582255813365,22.18055813873636,0,0.0,5400460.485581206,6055714665839.379,1487500.0,605571466583937.9,7228405.205811543,8.508322935085744e-10,0,0,1,0.0,0.0,0
17,238784414.81481487,1,0.0,2122015.968737701,6215585,19.745614586599384,137.0,1,38633499194292.92,5409795.663283592,5780499230228.062,1810095.3703703706,597366672619952.6,7228405.205811543,8.762981451582164e-10,0,0,1,0.0,0.0,0
18,251215585.18518513,0,200000.0,2111209.696162508,0,8.838546074375252,21.39431577822546,0,0.0,5875277.768676336,7215604456090.474,1610095.3703703706,721560445609047.4,7228405.205811543,8.508322935085744e-10,0,0,1,0.0,0.0,0
19,245000000.0,0,243750.0,2131312.965768384,0,10.212714680715301,27.171603677221654,0,0.0,5591106.4648972405,5620095216800.224,1566345.3703703706,562009521680022.4,7228405.205811543,8.762981451582164e-10,0,0,1,0.0,0.0,0
20,245000000.0,0,287500.0,2140565.540929815,0,9.264528196103635,26.932409012131714,0,0.0,5730381.162882578,6817174604241.043,1522595.3703703706,681717460424104.2,7228405.205811543,8.508322935085744e-10,0,0,1,0.0,0.0,0
21,229800000.0,1,0.0,2156415.3383134697,15200000,21.722601442412984,141.0,1,231040000000000.0,5599334.859103482,6285010830661.746,1810095.3703703706,744021083066174.6,7228405.205811543,8.762981451582164e-10,0,0,1,0.0,0.0,0
22,260200000.0,0,150548.42559165228,2141709.5801415676,0,11.333829504433691,25.64567422187641,0,0.0,6310484.557088819,8292401552304.325,1610095.3703703706,829240155230432.5,7228405.205811543,8.508322935085744e-10,0,0,1,0.0,0.0,0
23,207400000.0,1,0.0,2167281.5997474436,37600000,22.866023395196592,143.0,1,1413760000000000.0,5829438.253309724,7240327038326.834,1810095.3703703706,1430912703832683.5,7228405.205811543,5.862830221303739e-10,0,0,1,0.0,0.0,0
24,282600000.0,0,200000.0,2170805.008242209,0,13.239566547087579,28.865051139345425,0,0.0,5942141.949530628,6305793925554.694,1610095.3703703706,630579392555469.4,7228405.205811543,5.862830221303739e-10,0,0,1,0.0,0.0,0
25,245000000.0,0,243750.0,2158415.277320057,0,12.879785006319256,33.171603677221654,0,0.0,6429429.986705765,6702753454652.473,1566345.3703703706,670275345465247.2,7230532.18680253,6.821210263296962e-10,0,0,1,0.0,0.0,0
26,218600000.0,1,0.0,2179185.268620128,26400000,24.2377128741328,146.0,1,696960000000000.0,5604218.023880903,6070395198960.375,1810095.3703703706,955519519896037.5,7230532.18680253,5.911715561524034e-10,0,0,1,0.0,0.0,0
27,271400000.0,0,128924.18062830856,2159677.482165945,0,10.107400401334953,30.865889431982716,0,0.0,6391506.060844313,8257872865443.774,1610095.3701586435,825787286544377.5,7230532.187649438,7.514016979427111e-10,0,0,1,0.0,0.0,0
28,207400000.1084043,1,0.0,2196815.1678967588,37600000,15.978419552215492,120.0,1,1413759991847996.0,5902925.59911298,7221575289744.519,1810095.3703703706,1429037524898450.0,7244769.188003105,6.55154333833053e-10,0,0,1,0.0,0.0,0
29,282599999.8915957,0,43750.000211727165,2205607.7879292397,0,12.736767578790504,44.692737218711365,1,0.0,6008095.134417467,6147532898984.326,1766345.3701586435,614753289898432.6,7244769.188003105,6.440813231335055e-10,0,0,1,0.0,0.0,0
30,245000000.0,0,87500.00042345433,2216328.4497349174,0,8.646592479967149,32.75209018701472,0,0.0,6107014.671204044,6877960366265.3545,1722595.3699469164,687796036626535.5,7244769.188003105,6.850085847132873e-10,0,0,1,0.0,0.0,0
31,245000000.0,0,131250.0006351815,2224169.61217114,0,9.261363087998841,34.73067948454445,0,0.0,6268434.208414075,8128128362713.868,1678845.3697351892,812812836271386.9,7244769.188003105,6.440813231335055e-10,0,0,1,0.0,0.0,0
32,245000000.0,0,175000.00084690866,2242731.776005217,0,10.720210083927812,33.207957419500964,0,0.0,6151871.390205886,7013474795661.575,1635095.3695234621,701347479566157.5,7244769.188003105,6.55154333833053e-10,0,0,1,0.0,0.0,0
33,201000000.27101076,1,0.0,2267151.843443491,44000000,16.848874514902416,120.0,1,1935999976151052.2,5370978.498171294,6086712373767.712,1810095.3703703708,1576671225452297.5,7248144.053691074,7.051765424305641e-10,0,0,1,0.0,0.0,0
34,288999999.72898924,0,80439.98935717996,2238228.7284273417,0,13.087847752832634,37.48677848466136,0,0.0,6681259.689627984,9036772392621.209,1610095.3701586437,903677239262120.9,7248144.053691074,6.941035317310166e-10,0,0,1,0.0,0.0,0
35,207400000.1084043,1,0.0,2269636.771974071,37600000,17.084026615742044,120.0,1,1413759991847996.0,6190991.795052666,7848121880830.677,1810095.3703703708,1491692184007065.5,7248144.053691074,7.051765424305641e-10,0,0,1,0.0,0.0,0
36,282599999.8915957,0,43750.000211727165,2275552.7038643677,0,15.521249096578133,44.692737218711365,1,0.0,6545022.989261809,8199706984052.146,1766345.3701586437,819970698405214.6,7248144.053691074,6.941035317310166e-10,0,0,1,0.0,0.0,0
37,245000000.0,0,87500.00042345433,2261103.3782817633,0,8.969599575840194,45.147622806397564,0,0.0,7219930.112502904,8867030894103.22,1722595.3699469166,886703089410322.1,7250185.753941264,1.0653364443326437e-09,0,0,1,0.0,0.0,0
38,245000000.0,0,131250.0006351815,2279100.313743489,0,12.444465837075766,39.58720540870074,0,0.0,6411362.197570448,7011967455163.052,1678845.3697351895,701196745516305.1,7250185.753941264,5.996751570249044e-10,0,0,1,0.0,0.0,0
39,245000000.0,0,175000.00084690866,2291699.8154369555,0,9.823334265385855,46.84789610053375,0,0.0,6527344.3015130395,8302309491310.084,1635095.3695234624,830230949131008.4,7250185.753941264,6.107481677244519e-10,0,0,1,0.0,0.0,0
40,201000000.27101076,1,0.0,2323297.6541849603,44000000,17.963099924176575,120.0,1,1935999976151052.2,5937076.409478448,7147861141494.613,1810095.370370371,1682786102224987.5,7250185.753941264,8.901221154470132e-10,0,0,1,0.0,0.0,0
41,196200000.05420214,1,0.0,2337066.120268836,92800000,18.86662434988944,120.0,1,8611839939640481.0,5428058.5140562225,6257101969205.113,1810095.370370371,4931630166740752.0,7250185.753941264,8.790491047474657e-10,0,0,1,0.0,0.0,0
42,310264690.71952987,1,0.0,2309800.095374933,27535309,19.481065798546943,120.0,2,758193239261467.8,7084198.688066388,10223322420267.447,1610095.370158644,1401428861657478.5,7254848.200882981,8.85188193984433e-10,0,0,1,0.0,0.0,0
43,207400000.1084043,1,0.0,2352318.954061922,65135309,14.782797932312343,120.0,1,4242608458574913.5,6593930.79349107,8837976516451.912,1810095.370370371,3005101880932648.0,7254848.200882981,8.817092894556136e-10,0,0,1,0.0,0.0,0
44,310135308.8468529,0,43750.000211727165,2366301.3921825,0,12.752361941526125,45.646068111851264,1,0.0,7020092.297770993,7605292617043.648,1766345.370158644,760529261704364.9,7254848.200882981,1.1180188376383026e-09,0,0,1,0.0,0.0,0
45,245000000.0,0,87500.00042345433,2379884.105434803,0,8.078569532308935,49.77720120399898,0,0.0,7117324.4017135855,8568551910215.97,1722595.3699469168,856855191021597.0,7254848.200882981,8.85188193984433e-10,0,0,1,0.0,0.0,0
46,245000000.0,0,131250.0006351815,2397281.5627361047,0,10.696576404880581,47.27918132395267,0,0.0,6623931.505656178,7431214324471.597,1678845.3697351897,743121432447159.6,7254848.200882981,8.85188193984433e-10,0,0,1,0.0,0.0,0
47,245000000.0,0,175000.00084690866,2382048.941510553,0,6.134962419736367,51.67256778318829,0,0.0,7063153.828714254,8099014178838.64,1635095.3695234626,809901417883864.0,7254848.200882981,8.962612046839805e-10,0,0,1,0.0,0.0,0
