t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey,q_sumsq,z_l1,z_sumsq,z_max,lyapunov,key_inflow,key_overflow,cg_iters,cg_columns,cg_converged,obj_lp,obj_greedy,key_blocked_edges
0,245000000.0,0,2109375.0,2425672.7430555555,0,0.8678816811621571,0.9476988686844755,0,0.0,571875.0,109013671875.0,190625.0,10901367187500.0,7200000.0,0.0,0,5,1,0.0,1.5601026095561776e+16,0
1,245000000.0,0,1796875.0,2351345.486111111,0,1.9288428524780747,2.1124243899047483,0,0.0,728125.0,192998046875.0,346875.0,19299804687500.0,7200000.0,0.0,0,5,1,0.0,1.5589178731719426e+16,0
2,245000000.0,0,1718750.0,2281358.5069444445,0,2.9941126922112806,3.1629597325192615,0,0.0,718750.0,130585937500.0,190625.0,13058593750000.0,7200000.0,0.0,0,5,1,0.0,1.5593434543936036e+16,0
3,245000000.0,0,1718750.0,2200520.8333333335,0,4.023049426344968,4.162959732519262,0,0.0,762500.0,145351562500.0,190625.0,14535156250000.0,7200000.0,0.0,0,5,1,0.0,1.5575474641472196e+16,0
4,245000000.0,0,1328125.0,2130533.8559306497,0,4.569181292466643,5.504749365183861,0,0.0,571875.0,109013671875.0,190625.0,10901367187500.0,7200000.063503381,2.5502779055219804e-10,0,5,1,0.0,1.5588024841357386e+16,0
5,245000000.0,0,1328125.0,2088324.6563057436,0,5.450938072938642,6.504749365183861,0,0.0,571875.0,109013671875.0,190625.0,10901367187500.0,7200000.063503381,2.5502779055219804e-10,0,5,1,0.0,1.5576848921857146e+16,0
6,245000000.0,0,1337500.0,2068337.6789030593,0,6.336092888338005,7.494209936496078,0,0.0,571875.0,109013671875.0,190625.0,10901367187500.0,7200000.063503381,2.5502779055219804e-10,0,5,1,0.0,1.5582249426877936e+16,0
7,245000000.0,0,1337500.0,2051605.909833709,0,7.054799409100608,8.494209936496077,0,0.0,571875.0,109013671875.0,190625.0,10901367187500.0,7200000.063503381,2.5502779055219804e-10,0,5,1,0.0,1.557125675235534e+16,0
8,245000000.0,0,1346875.0,2043182.755870512,0,7.717873173366564,9.483817119540017,0,0.0,571875.0,109013671875.0,190625.0,10901367187500.0,7201453.957324905,3.7425706977955997e-10,0,5,1,0.0,1.5576904706521274e+16,0
9,245000000.0,0,1346875.0,2034759.601907315,0,8.537365643236301,10.483817119540017,0,0.0,571875.0,109013671875.0,190625.0,10901367187500.0,7201453.957324905,3.7425706977955997e-10,0,5,1,0.0,1.5566070417273546e+16,0
10,245000000.0,0,1356250.0,2026597.3369310307,0,7.5522066226971445,11.473567876220299,0,0.0,569526.9991177833,108124009646.79776,190625.0,10812400964679.775,7210845.960853772,3.942659532185644e-10,0,5,1,0.0,1.5578044191431252e+16,0
11,245000000.0,0,1356250.0,2018435.0719547467,0,8.193614977117507,12.473567876220299,0,0.0,569526.9991177833,108124009646.79776,190625.0,10812400964679.775,7210845.960853772,3.942659532185644e-10,0,5,1,0.0,1.5567830044685936e+16,0
12,245000000.0,0,1290880.0101595125,1999422.112534018,0,7.197776895131842,13.463459251806457,0,0.0,759425.0204553304,144185003905.72546,190625.0,14418500390572.547,7210845.960853772,3.942659532185644e-10,0,5,1,0.0,1.5574647985195316e+16,0
13,245000000.0,0,1365625.0,1996839.2598045063,0,7.132273361888024,14.463459251806457,0,0.0,569526.9991177833,108124009646.79776,190625.0,10812400964679.775,7211704.8017375795,8.267306839115918e-10,0,5,1,0.0,1.5568501449995638e+16,0
14,245000000.0,0,1300981.9888219652,1983405.7126305501,0,5.914726217977569,15.453488372093023,0,0.0,759425.0204553304,144185003905.72546,190625.0,14418500390572.547,7211704.8017375795,8.267306839115918e-10,0,5,1,0.0,1.5576588278762576e+16,0
15,245000000.0,0,1375000.0,1988380.3446939173,0,8.062662485945337,16.453488372093023,0,0.0,569526.9991177833,108124009646.79776,190625.0,10812400964679.775,7211704.8017375795,8.267306839115918e-10,0,5,1,0.0,1.5565335852315092e+16,0
16,245000000.0,0,1311083.9674844178,1986057.9086310724,0,6.606331671286203,17.443652440674907,0,0.0,759425.0204553304,144185003905.72546,190625.0,14418500390572.547,7211704.8017375795,8.267306839115918e-10,0,5,1,0.0,1.5574352283181002e+16,0
17,245000000.0,0,1384375.0,2000141.7225682272,0,8.96405699151618,18.443652440674907,0,0.0,569526.9991177833,108124009646.79776,190625.0,10812400964679.775,7211704.8017375795,8.267306839115918e-10,0,5,1,0.0,1.5562213128383152e+16,0
18,245000000.0,0,1321185.9461468705,2013257.9406768063,0,7.24458408300643,19.433948736332677,0,0.0,759425.0204553304,144185003905.72546,190625.0,14418500390572.547,7211704.8017375795,8.267306839115918e-10,0,5,1,0.0,1.5572260107788922e+16,0
19,245000000.0,0,1393750.0,2035870.0268014993,0,9.817938932330788,20.433948736332677,0,0.0,569526.9991177833,108124009646.79776,190625.0,10812400964679.775,7211704.8017375795,8.267306839115918e-10,0,5,1,0.0,1.5559147587420206e+16,0
20,245000000.0,0,1331287.9248093232,2044658.7018497651,0,7.861144720892223,21.424374610522566,0,0.0,759425.0204553304,144185003905.72546,190625.0,14418500390572.547,7211704.8017375795,8.267306839115918e-10,0,5,1,0.0,1.5570196146843468e+16,0
21,245000000.0,0,1403125.0,2064298.0713424757,0,10.678112041296384,22.424374610522566,0,0.0,569526.9991177833,108124009646.79776,190625.0,10812400964679.775,7211704.8017375795,8.267306839115918e-10,0,5,1,0.0,1.5556073843692672e+16,0
22,245000000.0,0,1341389.9034717758,2073086.7463907418,0,8.48538479147814,23.414927484966395,0,0.0,759425.0204553304,144185003905.72546,190625.0,14418500390572.547,7211704.8017375795,8.267306839115918e-10,0,5,1,0.0,1.5568121361553134e+16,0
23,245000000.0,0,1412500.0,2092726.1158834526,0,11.54551431891491,24.414927484966395,0,0.0,569526.9991177833,108124009646.79776,190625.0,10812400964679.775,7211704.8017375795,8.267306839115918e-10,0,5,1,0.0,1.5552990665363558e+16,0
24,245000000.0,0,1351491.8821342285,2101514.7909317184,0,9.115421804722585,25.40560484933673,0,0.0,759425.0204553304,144185003905.72546,190625.0,14418500390572.547,7211704.8017375795,8.267306839115918e-10,0,5,1,0.0,1.5566038204777856e+16,0
25,245000000.0,0,1421875.0,2121300.0039893882,0,12.418364223963364,26.40560484933673,0,0.0,569377.3873439321,108067695118.85384,190625.0,10806769511885.383,7216955.170076107,4.1109160520136356e-10,0,5,1,0.0,1.5549900272494384e+16,0
26,245000000.0,0,1361593.8607966811,2130234.5226026135,0,9.749807739680401,27.39640425903299,0,0.0,759275.4086814792,144128689377.78152,190625.0,14412868937778.152,7216955.170076107,4.1109160520136356e-10,0,5,1,0.0,1.5563948734762052e+16,0
27,245000000.0,0,1328633.0537296322,2139225.491630242,0,5.5411455957230595,28.39640425903299,0,0.0,915236.2798846676,227844319221.6836,346366.9462703678,22784431922168.36,7218987.384994635,4.775984052685089e-10,0,5,1,0.0,1.5561938553200928e+16,0
28,245000000.0,0,1375255.0895475505,2149215.942453034,0,7.526819374118125,29.387323333044307,0,0.0,898015.8010453813,162720089238.69464,190625.0,16272008923869.465,7233224.385348302,3.39014150085859e-10,0,5,1,0.0,1.5566055308773078e+16,0
29,245000000.0,0,1440625.0,2169453.0781571534,0,8.894077539243339,30.387323333044307,0,0.0,670978.2261550353,118390425565.97363,190625.0,11839042556597.363,7233224.385348302,3.39014150085859e-10,0,5,1,0.0,1.5548614311251304e+16,0
30,245000000.0,0,1392475.5683868367,2178839.519416829,0,6.032452280960302,31.378359751895246,0,0.0,809499.6935861169,144733467706.38458,190625.0,14473346770638.459,7233224.385348302,3.39014150085859e-10,0,5,1,0.0,1.556632437986899e+16,0
31,245000000.0,0,1118034.6129203632,2188225.960676504,0,6.191044582109629,32.378359751895246,0,0.0,972579.0649661387,270855804941.19763,403709.73135183885,27085580494119.76,7233224.385348302,3.39014150085859e-10,0,5,1,0.0,1.555265490484286e+16,0
32,245000000.0,0,1318542.6666499954,2198827.6797139565,0,8.402588969656467,33.36951125567063,0,0.0,955358.5861268524,182736194493.964,203201.67762220663,18273619449396.4,7233224.385348302,4.055209501530044e-10,0,5,1,0.0,1.5562361114493906e+16,0
33,245000000.0,0,1459375.0,2220373.8394649643,0,11.964816959443127,34.36951125567063,0,0.0,727477.2948145141,191742585253.67206,346875.0,19174258525367.207,7236599.251036271,4.754383553517982e-10,0,5,1,0.0,1.554240005087537e+16,0
34,245000000.0,0,1426916.526065409,2235409.582549305,0,6.652307760624127,35.360775642116,0,0.0,898188.1920826535,162700797855.6284,190625.0,16270079785562.838,7236599.251036271,4.754383553517982e-10,0,5,1,0.0,1.5566514212478504e+16,0
35,245000000.0,0,1468750.0,2249733.67428596,0,6.7756577047333435,36.360775642116,0,0.0,914392.5634626753,227527578746.82715,346366.9462703678,22752757874682.715,7236599.251036271,4.754383553517982e-10,0,5,1,0.0,1.5556151641733774e+16,0
36,245000000.0,0,1444137.004904695,2260429.139592523,0,9.301614152017066,37.352150764810276,0,0.0,897172.0846233891,162403348763.83823,190625.0,16240334876383.822,7236599.251036271,5.419451554189436e-10,0,5,1,0.0,1.5558619976512316e+16,0
