t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey,q_sumsq,z_l1,z_sumsq,z_max,lyapunov,key_inflow,key_overflow,cg_iters,cg_columns,cg_converged,obj_lp,obj_greedy,key_blocked_edges
0,0.0,0,2109375.0,2473415.798611111,245000000,0.8678509182845753,0.9476988686844755,0,1.5625e+16,190625.0,36337890625.0,190625.0,7816133789062500.0,7200000.0,0.0,0,0,1,0.0,0.0,0
1,0.0,0,2109375.0,2420247.3958333335,490000000,1.8678509182845755,1.9476988686844754,0,3.43e+16,381250.0,72675781250.0,190625.0,1.7157267578125e+16,7200000.0,0.0,0,0,1,0.0,0.0,0
2,0.0,0,1718750.0,2350260.4166666665,735000000,2.946295861057342,3.1629597325192615,0,7.2425e+16,792187.5,144768066406.25,190625.0,3.622697680664062e+16,7200000.0,0.0,0,0,1,0.0,0.0,0
3,0.0,0,1406250.0,2269422.7430555555,980000000,4.060483745148617,4.421211582874401,0,1.3985e+17,1652343.75,632168579101.5625,581250.0,6.998821685791016e+16,7200000.0,0.0,0,0,1,0.0,0.0,0
4,0.0,0,546875.0,2188717.1236265716,1225000000,4.985994052702383,7.650467716176135,0,2.49225e+17,3036311.512360858,2306091841399.916,1255468.75,1.2484310918413998e+17,7273503.950556569,0.0,0,0,1,0.0,0.0,0
5,0.0,1,0.0,2105238.2038146425,1470000000,20.177328306802316,125.0,1,2.9245752e+17,4989843.75,6874170532226.5625,1987500.0,1.4691617705322266e+17,7273503.950556569,1.0186340659856796e-10,0,0,1,0.0,0.0,0
6,0.0,2,0.0,2001776.6298265208,1715000000,30.487772716273195,126.0,2,4.9916788e+17,7365217.762360858,10006334150970.229,1987500.0,2.5058457341509702e+17,7273503.950556569,1.0186340659856796e-10,0,0,1,0.0,0.0,0
7,0.0,4,0.0,1885350.5242864257,1960000000,51.591609976982156,127.0,4,5.9214952e+17,10723437.5,17339593505859.375,2104687.5,2.978087193505859e+17,7273503.950556569,1.0186340659856796e-10,0,0,1,0.0,0.0,0
8,0.0,5,0.0,1733105.9107449157,2205000000,51.378231881915596,128.0,5,4.7947316e+17,15374592.762293277,23165998457587.57,2104687.5,2.4205317984575875e+17,7273503.950826894,6.912159733474255e-11,0,0,1,0.0,0.0,0
9,80000000.0,6,0.0,1603355.1524345516,2370000000,51.94604041918164,129.0,6,6.3741536e+17,18820686.512293275,28048909728588.855,2300000.0,3.215125709728589e+17,7273503.950826894,6.912159733474255e-11,0,0,1,0.0,0.0,0
10,0.0,6,0.0,1450953.689044441,2615000000,53.27250995131464,130.0,7,8.1733076e+17,23110476.57287029,33558859996338.82,2300000.0,4.1202126599963386e+17,7288355.403432524,2.9831426218152046e-10,0,0,1,0.0,0.0,0
11,0.0,7,0.0,1339215.2974731224,2860000000,59.648595385802004,131.0,7,7.9344064e+17,26312753.872043397,41039264971419.51,2300000.0,4.0082424649714195e+17,7288355.403432524,3.67435859516263e-10,0,0,1,0.0,0.0,0
12,120000000.0,11,0.0,1123242.7727222529,2985000000,65.89025534871541,132.0,11,8.546259588851414e+17,32326208.044882454,55176658095359.945,2300000.0,4.328306452521067e+17,7288355.403432524,2.9831426218152046e-10,0,0,1,0.0,0.0,0
13,232234022.7541662,14,0.0,959275.4104725894,2997765978,76.60510232626811,133.0,15,7.597222671780978e+17,36741850.92941717,62874036043224.68,2300000.0,3.861485371933714e+17,7289362.4590121135,4.728804015030619e-10,0,0,1,0.0,0.0,0
14,0.0,13,0.0,845142.8337114137,3242765978,91.23652083597656,134.0,14,9.90507171578751e+17,40450353.025845125,70527395124091.72,2191879.938263293,5.0230632530178464e+17,7289362.4590121135,2.9831426218152046e-10,0,0,1,0.0,0.0,0
15,0.0,16,0.0,694034.2428782149,3487765977,95.6097023116168,135.0,18,1.0231786775115534e+18,45583439.83790013,81075945455145.38,2300000.0,5.1969693330129126e+17,7289362.4590121135,3.5646507967612706e-10,0,0,1,0.0,0.0,0
16,618798850.84489,19,0.0,579890.5286933574,3113967126,100.86836116047587,136.0,21,5.554808184824523e+17,48995107.824858665,87204231419603.77,2300000.0,2.8646083238318653e+17,7289362.4590121135,5.310880624165293e-10,0,0,1,0.0,0.0,0
17,102400000.0,21,0.0,537408.0243157146,3256567128,103.57660165969628,137.0,21,6.356118476781353e+17,50724273.25402223,91443288786580.84,2300000.0,3.2695025271772576e+17,7289362.4590121135,3.573745743779e-10,0,0,1,0.0,0.0,0
18,341422780.1087192,24,0.0,467126.832838499,3160144346,97.38695397189522,138.0,24,5.185155622539065e+17,52676233.23416523,96938901572454.55,2300000.0,2.689516712841987e+17,7289362.4590121135,4.156390787102282e-10,0,0,1,0.0,0.0,0
19,102400000.0,20,0.0,438768.82873185375,3302744345,102.87175056444518,139.0,22,5.483284265147827e+17,53700834.24515587,97668553351977.11,2300000.0,2.8393106859258906e+17,7289362.4590121135,1.8280843505635858e-10,0,0,1,0.0,0.0,0
20,340429727.3563374,19,0.0,365141.0341581906,3207314619,99.19606801741504,140.0,24,6.750281966733322e+17,55955147.71295915,101209942885094.42,2300000.0,3.4763509262517555e+17,7289362.4590121135,1.7189449863508344e-10,0,0,1,0.0,0.0,0
21,51200000.0,23,0.0,348180.45482389594,3401114620,114.27620188492689,141.0,24,4.960676675072975e+17,56569441.43214516,103002108052371.45,2300000.0,2.583340445588859e+17,7289362.4590121135,1.837179297581315e-10,0,0,1,0.0,0.0,0
22,307101342.6394026,23,0.0,317371.16694996,3339013276,112.9778259867746,142.0,25,6.697955944418607e+17,57682288.65875827,104758234644104.66,2300000.0,3.4537362068534086e+17,7289362.4590121135,3.001332515850663e-10,0,0,1,0.0,0.0,0
23,102464451.55709378,23,0.0,319870.5205175622,3481548825,117.00300883542599,143.0,25,6.09162669858602e+17,57618455.82128079,104622753637108.02,2300000.0,3.150436102930118e+17,7289362.4590121135,1.837179297581315e-10,0,0,1,0.0,0.0,0
24,153664451.5570938,23,0.0,303787.9713435212,3572884372,99.10474038149422,144.0,23,8.039701977684004e+17,57997427.59154627,104841439118992.6,2300000.0,4.1246924279609946e+17,7289362.4590121135,1.837179297581315e-10,0,0,1,0.0,0.0,0
25,0.0,23,0.0,330139.02926664887,3817884372,111.98284793175063,145.0,23,6.660843226212356e+17,57212102.20724755,104044466848635.25,2300000.0,3.4344660799548134e+17,7296252.576803465,1.0803091754496563e-10,0,0,1,0.0,0.0,0
26,102400000.0,21,0.0,327133.3030934351,3960484373,113.19509147689337,146.0,25,8.365759698180415e+17,57729473.7724286,105336041873655.27,2300000.0,4.2882158909638624e+17,7296252.576803465,1.6623857845843304e-10,0,0,1,0.0,0.0,0
27,51200000.0,23,0.0,329841.1284160367,4154284372,110.06149512630155,147.0,24,7.990011452839521e+17,57637425.17880676,103951657548051.27,2300000.0,4.098957383967812e+17,7296273.100226506,3.987565833085682e-11,0,0,1,0.0,0.0,0
28,51201313.49907457,24,0.0,327031.23574281525,4348083058,107.44022265446061,148.0,24,8.534127871526467e+17,57538581.31504273,104167075475439.23,2300000.0,4.3712310112386726e+17,7296273.100226545,3.8909320210223086e-11,0,0,1,0.0,0.0,0
29,275114658.5232258,20,0.0,366588.6506091313,4317968403,116.43647583700029,149.0,24,8.166397397171246e+17,56293661.32188218,101778806939636.88,2300000.0,4.18497750552526e+17,7296273.100226545,2.8629187909245957e-10,0,0,1,0.0,0.0,0
30,272142774.67533636,25,0.0,358182.2816702047,4290825626,107.51318301498368,150.0,27,9.420437246924234e+17,56704067.47167535,103409589943175.84,2300000.0,4.813628213405293e+17,7296273.100226545,2.3376856006507296e-10,0,0,1,0.0,0.0,0
31,65312758.55877103,26,0.0,393967.95702075656,4470512868,122.91143029644599,151.0,26,8.377927618034422e+17,55616312.32729966,102130541051795.7,2300000.0,4.291094350069007e+17,7296273.100226545,0.0,0,0,1,0.0,0.0,0
32,308722259.41817284,25,0.0,399780.9312681226,4406790608,110.8115806125011,152.0,26,9.054325552683066e+17,55207045.25439449,100872523064872.05,2300000.0,4.628035299406405e+17,7296273.100226545,0.0,0,0,1,0.0,0.0,0
33,163009819.20492193,23,0.0,434077.4685372219,4488780788,127.09683991876254,153.0,26,8.586878859928282e+17,54241906.35827563,100617472938350.69,2300000.0,4.3940569029024915e+17,7296273.100231961,1.6007106751203537e-10,0,0,1,0.0,0.0,0
34,430223842.861398,20,0.0,439315.9655476813,4303556945,111.268098352576,154.0,25,9.728933759382944e+17,54258753.583892256,99848939048396.12,2300000.0,4.964315818739868e+17,7296273.100231961,0.0,0,0,1,0.0,0.0,0
35,0.0,25,0.0,447587.14691470563,4548556946,121.46937128087626,155.0,26,9.254160966961491e+17,54157456.426191986,100829989913315.38,2300000.0,4.727910473394061e+17,7296273.100231961,1.908233571157325e-10,0,0,1,0.0,0.0,0
36,183434037.6997993,24,0.0,466851.07497088454,4610122910,116.46632424656674,156.0,25,1.0436500837275232e+18,53974314.42913614,100718617642255.89,2300000.0,5.318969036279872e+17,7296273.100231961,1.9807089302048553e-10,0,0,1,0.0,0.0,0
37,0.0,25,0.0,506834.72965056635,4855122909,129.3732462621273,157.0,26,1.0281185755492003e+18,53350483.52547296,100214970389861.52,2300000.0,5.240807848135863e+17,7296360.292085088,2.1827872842550278e-10,0,0,1,0.0,0.0,0
38,238569600.0150293,25,0.0,500571.1345652845,4861553309,109.80791952603104,158.0,25,1.2451925480799004e+18,53850929.74127324,101328812860161.33,2300000.0,6.327291553259663e+17,7296360.292085088,1.6007106751203537e-10,0,0,1,0.0,0.0,0
39,51270614.1351978,27,0.0,538888.7058127171,5055282693,133.31729658934725,159.0,27,1.0652759785327622e+18,53258123.228339516,101218995637343.53,2300000.0,5.4275988883011546e+17,7296360.292085088,3.92901711165905e-10,0,0,1,0.0,0.0,0
40,332455912.06284726,23,0.0,570561.0226849652,4967826781,113.61622310951648,160.0,23,1.1245116769108147e+18,52546162.38813615,97938431495245.2,2300000.0,5.720496816049319e+17,7296360.292085088,1.6007106751203537e-10,0,0,1,0.0,0.0,0
41,51200000.00000001,23,0.0,607714.0012102077,5161626782,120.39519242165889,161.0,25,1.1226703931106516e+18,52326516.09400214,98857630158063.78,2300000.0,5.712209595711322e+17,7296360.292085088,1.8917489796876907e-10,0,0,1,0.0,0.0,0
42,333802720.611843,25,0.0,611360.3101808124,5072824060,113.94904148629281,162.0,26,1.3462015302783365e+18,52920579.44821918,101013895669137.72,2300000.0,6.83202154706082e+17,7296360.292085088,3.9847236818009396e-10,0,0,1,0.0,0.0,0
43,107308214.26406968,27,0.0,639180.9611919405,5210515848,128.1496251201195,163.0,27,1.2007607214571912e+18,52768764.8089208,101091512081420.53,2300000.0,6.104895119367377e+17,7296360.292085088,1.6007106882258854e-10,0,0,1,0.0,0.0,0
44,257392191.70532417,24,0.0,672743.1258954916,5198123656,121.77858633130127,164.0,25,1.2376252526490002e+18,52565413.45551064,99174071340533.33,2300000.0,6.287300334585535e+17,7296360.292085088,1.6007106882258854e-10,0,0,1,0.0,0.0,0
45,147494412.73407948,24,0.0,694371.0569903629,5295629243,126.85376407730527,165.0,27,1.2170985266653732e+18,52522993.57248448,100070676334422.42,2300000.0,6.185563309661289e+17,7296360.292085088,1.6007106882258854e-10,0,0,1,0.0,0.0,0
46,308390857.2923273,23,0.0,691723.245318339,5232238385,110.59722358669178,166.0,23,1.2543446394746104e+18,52618319.9235331,97518294957302.0,2300000.0,6.369241492330354e+17,7296360.292085088,1.6018475566031015e-10,0,0,1,0.0,0.0,0
47,23800000.0,26,0.0,697977.8479665038,5453438387,121.98420916964491,167.0,27,1.339153335953982e+18,52926140.79950003,100237711533991.38,2300000.0,6.796004391303901e+17,7296360.292085088,2.1827872973605594e-10,0,0,1,0.0,0.0,0
48,154992191.70532414,26,0.0,698343.3513057616,5543446193,120.1669088040058,168.0,26,1.416851433165708e+18,53118420.92813567,99333626079889.77,2300000.0,7.18359079190843e+17,7296360.292085088,1.6007106882258854e-10,0,0,1,0.0,0.0,0
49,51202626.99814914,25,0.0,715089.9191120629,5737243566,119.42407839854936,169.0,26,1.3741645932813501e+18,52726863.92663056,99648127385445.86,2300000.0,6.970471093792197e+17,7296360.292085088,1.6007106882258854e-10,0,0,1,0.0,0.0,0
50,257394818.7034733,21,0.0,730550.2779610672,5724848744,125.78331557912138,170.0,22,1.5297661970051976e+18,52921197.98645745,97526486416626.27,2300000.0,7.746357471442614e+17,7296360.292085088,1.6564172387094772e-10,0,0,1,0.0,0.0,0
51,1313.4990745708346,24,0.0,745502.3174437069,5969847433,123.15391520529758,171.0,24,1.469006964337627e+18,52393050.31393134,97777360848456.58,2300000.0,7.442812182536591e+17,7296360.292085088,1.6296208957871245e-10,0,0,1,0.0,0.0,0
