t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey
0,0.0,0,2334375.0,2698415.798611111,245000000,0.7905092440145596,0.8563935128191404,0
1,0.0,0,2534375.0,2845247.3958333335,490000000,1.732502673488984,1.7888379431050634,0
2,0.0,0,2343750.0,2975260.4166666665,735000000,2.729256177451165,2.852969399722785,0
3,0.0,0,2231250.0,3094422.7430555555,980000000,3.7330790743690896,3.895956994064285,0
4,0.0,0,1571875.0,3200564.236111111,1225000000,4.804806718276573,5.271556862433442,0
5,0.0,0,775781.25,3288802.0833333335,1470000000,6.073710437825844,7.574727440962304,0
6,0.0,1,0.0,3378645.8333333335,1715000000,20.391106276351493,126.0,1
7,0.0,2,0.0,3423480.902777778,1960000000,34.22892555733105,127.0,2
8,0.0,2,0.0,3376736.111111111,2205000000,29.655246822882376,128.0,2
9,28800000.0,5,0.0,3347166.316853802,2421200000,46.39089385497829,129.0,5
10,0.0,5,0.0,3244668.412228366,2666200000,43.77225886238274,130.0,5
11,0.0,7,0.0,3183207.8339918177,2911200000,59.9055418659651,131.0,7
12,111200000.0,8,0.0,3084737.1889041667,3045000000,65.92424971946805,132.0,8
13,0.0,10,0.0,2954979.985339726,3290000000,75.27649697902781,133.0,10
14,0.0,12,0.0,2820116.1746451347,3535000000,84.87526459810012,134.0,12
15,204800000.0,12,0.0,2684906.8484222163,3575200000,82.09931349165151,135.0,12
16,0.0,13,0.0,2514001.6604857882,3820200000,78.98520997073116,136.0,14
17,66600000.0,14,0.0,2325595.306503305,3998600000,74.62002876101475,137.0,14
18,0.0,14,0.0,2182128.8822549665,4243600000,91.76588327022505,138.0,15
19,335388059.68839884,15,0.0,1913254.7689381961,4153211940,86.62850206924358,139.0,16
20,152866244.95628005,16,0.0,1695222.4986760602,4245345695,84.7606405481765,140.0,17
21,167600000.0,17,0.0,1465449.5948747334,4322745695,94.2141140985647,141.0,19
22,210472215.1120806,20,0.0,1269805.2615303374,4357273480,92.2350262624972,142.0,21
23,51200000.0,21,0.0,1137695.4712489985,4551073481,104.00474043191592,143.0,21
24,322551292.29886353,23,0.0,1025981.0323089188,4473522189,103.80981490538134,144.0,23
25,51200000.0,22,0.0,952699.9361246874,4667322188,107.96571575310499,145.0,23
26,395722608.4775038,19,0.0,866442.6837502711,4516599580,86.39245775789135,146.0,19
27,51351025.24054724,22,0.0,780897.9313541717,4710248553,102.32275944646696,147.0,23
28,254499214.6500653,24,0.0,732136.2151910416,4700749339,109.89882861395047,148.0,25
29,0.0,23,0.0,694349.1765889972,4945749340,107.93085855682588,149.0,25
30,257707036.48101532,24,0.0,690537.097187183,4933042302,113.82594985494956,150.0,24
31,52619756.34711977,22,0.0,683447.4546907763,5125422547,112.24730708509684,151.0,24
32,206267510.08743986,20,0.0,654188.8262893732,5164155035,109.55664314976005,152.0,21
