t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey,q_sumsq,z_l1,z_sumsq,z_max,lyapunov,key_inflow,key_overflow,cg_iters,cg_columns,cg_converged,obj_lp,obj_greedy,key_blocked_edges
0,0.0,0,2109375.0,2473415.798611111,245000000,0.8678509182845753,0.9476988686844755,0,1.5625e+16,190625.0,36337890625.0,190625.0,7816133789062500.0,7200000.0,0.0,0,0,1,0.0,0.0,0
1,0.0,0,2109375.0,2420247.3958333335,490000000,1.8678509182845755,1.9476988686844754,0,3.43e+16,381250.0,72675781250.0,190625.0,1.7157267578125e+16,7200000.0,0.0,0,0,1,0.0,0.0,0
2,0.0,0,1718750.0,2350260.4166666665,735000000,2.946295861057342,3.1629597325192615,0,7.2425e+16,792187.5,144768066406.25,190625.0,3.622697680664062e+16,7200000.0,0.0,0,0,1,0.0,0.0,0
3,0.0,0,1406250.0,2269422.7430555555,980000000,4.060483745148617,4.421211582874401,0,1.3985e+17,1652343.75,632168579101.5625,581250.0,6.998821685791016e+16,7200000.0,0.0,0,0,1,0.0,0.0,0
4,0.0,0,546875.0,2186681.266301026,1225000000,4.987526444551792,7.650467716176135,0,2.49225e+17,3054634.228290766,2312739702764.3545,1255468.75,1.2484377397027643e+17,7200213.086836936,1.4443912732531317e-10,0,0,1,0.0,0.0,0
5,0.0,1,0.0,2101166.4891635515,1470000000,20.177328306802316,125.0,1,2.9245752e+17,4989843.75,6874170532226.5625,1987500.0,1.4691617705322266e+17,7200213.086836936,1.4443912732531317e-10,0,0,1,0.0,0.0,0
6,0.0,2,0.0,1995669.057849885,1715000000,30.49374729919893,126.0,2,4.9916788e+17,7383540.478290766,10012982012334.668,1987500.0,2.5058523820123347e+17,7200213.086836936,1.4443912732531317e-10,0,0,1,0.0,0.0,0
7,0.0,4,0.0,1877207.094984244,1960000000,51.591609976982156,127.0,4,5.9214952e+17,10723437.5,17339593505859.375,2104687.5,2.978087193505859e+17,7200213.086836936,1.4443912732531317e-10,0,0,1,0.0,0.0,0
8,0.0,5,0.0,1723068.0031904948,2205000000,51.38496504117775,128.0,5,4.7947316e+17,15391643.066563431,23172162966602.945,2104687.5,2.420537962966603e+17,7205302.733746274,6.978098099352792e-10,0,0,1,0.0,0.0,0
9,80000000.0,6,0.0,1591422.7666278915,2370000000,51.94848511591737,129.0,6,6.3741536e+17,18837736.81656343,28051424406846.4,2300000.0,3.215128224406847e+17,7205302.733746274,6.978098099352792e-10,0,0,1,0.0,0.0,0
10,0.0,6,0.0,1436975.1736222978,2615000000,53.292650540135334,130.0,7,8.1733076e+17,23181407.514489293,33645025461938.36,2300000.0,4.1202988254619386e+17,7214694.737275141,7.178186933742836e-10,0,0,1,0.0,0.0,0
11,0.0,7,0.0,1323190.6524354962,2860000000,59.76400702843795,131.0,7,7.9344064e+17,26451886.030743018,41272531994205.06,2300000.0,4.008475731994205e+17,7214694.737275141,2.526121534174308e-10,0,0,1,0.0,0.0,0
12,120000000.0,11,0.0,1105171.998069144,2985000000,65.9041050565612,132.0,11,8.26768816723352e+17,32486485.094659798,54700657173034.914,2300000.0,4.188544740789795e+17,7214694.737275141,2.000888343900442e-11,0,0,1,0.0,0.0,0
13,196012050.06930184,14,0.0,955885.3297413401,3033987950,79.11058416259384,133.0,15,8.148951656405644e+17,36566295.47504218,62080279095348.69,2300000.0,4.13655610729817e+17,7214695.369615852,2.000888343900442e-11,0,0,1,0.0,0.0,0
14,0.0,13,0.0,816002.9770075374,3278987950,82.13712746062077,134.0,13,8.619136506830601e+17,40996542.32629987,70009326161049.25,2142968.75,4.3795775795763494e+17,7214695.369615852,2.000888343900442e-11,0,0,1,0.0,0.0,0
15,0.0,14,0.0,730406.6108771525,3523987950,87.3957390254936,135.0,15,8.223660824330519e+17,43966322.51316924,77085026365861.06,2300000.0,4.1889154385311206e+17,7214695.369615852,2.000888343900442e-11,0,0,1,0.0,0.0,0
16,361696630.1897589,18,0.0,645539.6764866998,3407291319,99.04001913562162,136.0,19,6.844769103117929e+17,46477470.195546046,82571083772133.42,2300000.0,3.5049556353310976e+17,7214695.369615852,2.000888343900442e-11,0,0,1,0.0,0.0,0
17,331169151.56565,20,0.0,565943.2343594865,3321122167,101.22450200996417,137.0,21,7.554431247196449e+17,48838190.01708554,87583563734086.02,2300000.0,3.8647991873323104e+17,7214695.369615852,2.000888343900442e-11,0,0,1,0.0,0.0,0
18,189211258.56062913,20,0.0,508305.3576552751,3376910908,96.03802427809312,138.0,20,6.203229906137293e+17,50660078.86428765,90718066720923.27,2300000.0,3.19233301978957e+17,7214695.369615852,2.000888343900442e-11,0,0,1,0.0,0.0,0
19,153939415.42956704,20,0.0,443377.1247280261,3467971492,100.76775250328748,139.0,21,7.686447994068548e+17,52798342.31340927,94370732130362.34,2300000.0,3.937594729164636e+17,7214695.369615852,2.000888343900442e-11,0,0,1,0.0,0.0,0
20,234104122.20373976,23,0.0,391109.41235114634,3478867370,104.01575307171466,140.0,23,6.2432499503766e+17,54366769.50928665,97596928406282.83,2300000.0,3.219221903594583e+17,7214695.369615852,4.939701703232657e-10,0,0,1,0.0,0.0,0
21,153939334.48995608,22,0.0,362006.0846334926,3569928034,102.10634283986326,141.0,23,8.640363452391416e+17,55615814.99055876,101666448958164.83,2300000.0,4.421848175153873e+17,7214695.369615852,1.5006662579253316e-11,0,0,1,0.0,0.0,0
22,252402176.45169497,23,0.0,326734.0166342396,3562525860,118.44262735477668,142.0,23,7.837544326349444e+17,57260260.11198417,103906716059540.05,2300000.0,4.022678879234262e+17,7214695.369615852,2.900159834506866e-10,0,0,1,0.0,0.0,0
23,205139496.36917797,23,0.0,315675.6632036333,3602386363,116.98267599014511,143.0,26,9.065253047750659e+17,58062034.519804776,105910708619539.73,2300000.0,4.638537232494869e+17,7214695.369615852,2.476099325576797e-10,0,0,1,0.0,0.0,0
24,52402216.92150044,24,0.0,289682.6849404204,3794984146,118.923342636909,144.0,27,7.078520500074111e+17,58997781.73728044,107914358362393.36,2300000.0,3.647174608399449e+17,7214695.369615852,2.767137630144134e-10,0,0,1,0.0,0.0,0
25,102392861.1346317,19,0.0,301339.4587335944,3937591285,118.46172093050039,145.0,24,8.612608053351002e+17,58689866.70209538,106798317954224.83,2300000.0,4.4131023446297254e+17,7214813.192806336,4.945377440890297e-10,0,0,1,0.0,0.0,0
26,103602939.61953488,26,0.0,296053.3714079203,4078988347,113.4995471310346,146.0,26,7.577784323824581e+17,58882515.25822147,107085602740578.92,2300000.0,3.89597776465287e+17,7214813.192806336,4.945377440890297e-10,0,0,1,0.0,0.0,0
27,246314116.8592953,24,0.0,274081.8205303531,4077674231,111.17595339624502,147.0,28,8.531558314307296e+17,59673491.08981389,108830675153729.33,2300000.0,4.374609832307377e+17,7214813.192806336,2.326032699784264e-10,0,0,1,0.0,0.0,0
28,74992820.66482621,28,0.0,290877.41847130127,4247681410,121.43706904764431,148.0,28,8.079054216853055e+17,59068849.56393976,108395645498992.31,2300000.0,4.1479227539255194e+17,7220221.36514876,4.327482499682909e-30,0,0,1,0.0,0.0,0
29,206086988.03434688,25,0.0,318979.6484988044,4286594422,120.1308354149436,149.0,27,8.734552398626185e+17,58057169.28294964,106193130078882.81,2300000.0,4.473469329391975e+17,7220221.36514876,2.9103830456733704e-11,0,0,1,0.0,0.0,0
30,132177242.83798552,26,0.0,329025.548354284,4399417177,114.29863533241038,150.0,27,9.15320499893365e+17,57695516.888152376,105615695542594.52,2300000.0,4.6822181950094195e+17,7220221.36514876,4.327482499682909e-30,0,0,1,0.0,0.0,0
31,173035096.34289855,25,0.0,343647.1236649581,4471382080,118.01012750948124,151.0,28,9.235378252781079e+17,57169140.17696811,104868602077904.95,2300000.0,4.722557728468444e+17,7220221.36514876,4.327482499682909e-30,0,0,1,0.0,0.0,0
32,51707322.675149515,24,0.0,382877.4566481036,4664674760,118.66694550138399,152.0,25,1.0014079074503238e+18,55892445.95745156,102152681988628.84,2300000.0,5.109192219240248e+17,7220221.36514876,4.327482499682909e-30,0,0,1,0.0,0.0,0
33,153246198.78939533,25,0.0,394297.94720597926,4756428560,126.62365881038042,153.0,28,9.883040363843622e+17,55884501.58427702,103497889608955.22,2300000.0,5.045018071530767e+17,7223596.2308367295,2.1827872842550278e-11,0,0,1,0.0,0.0,0
34,153592820.6648262,24,0.0,416883.31552245416,4847835739,127.39385018535404,154.0,27,1.0806027261948398e+18,55641291.14450613,103031076682892.25,2300000.0,5.506044707657091e+17,7223596.2308367295,2.1827872842550278e-11,0,0,1,0.0,0.0,0
35,304424660.783874,26,0.0,417711.76201739785,4788411080,120.0155908636432,155.0,27,1.0358664074934525e+18,55811467.07068815,102512707472603.89,2300000.0,5.281844744939867e+17,7223596.2308367295,2.1827872842550278e-11,0,0,1,0.0,0.0,0
36,153592820.6648262,24,0.0,459784.0213854292,4879818259,126.39883639473193,156.0,26,1.0453045749275663e+18,54675745.97913458,100920551873051.33,2300000.0,5.327443426510883e+17,7223596.2308367295,2.6557245291769505e-10,0,0,1,0.0,0.0,0
37,205617481.4487002,25,0.0,459513.96539163735,4919200778,122.47874435635069,157.0,27,1.1762836676983708e+18,54820829.10563804,101285807942150.38,2300000.0,5.982704146434004e+17,7223726.086536512,2.1827872842550278e-11,0,0,1,0.0,0.0,0
38,153584509.90004012,24,0.0,482262.7115229417,5010616267,123.92991729017591,158.0,26,1.1492691992735209e+18,54412948.31872905,100177805071253.98,2300000.0,5.846523801438858e+17,7223726.086536512,3.274891469118302e-11,0,0,1,0.0,0.0,0
39,280617481.4487002,26,0.0,499981.42120256886,4974998787,122.35532715705065,159.0,27,1.1735851068479864e+18,53978268.05717146,100520689886789.33,2300000.0,5.968446224126721e+17,7223726.086536512,2.1827872842550278e-11,0,0,1,0.0,0.0,0
40,153591689.2352139,23,0.0,539414.6092440491,5066407097,126.11496499977049,160.0,24,1.1916149763085914e+18,52876778.61149615,98015199990951.44,2300000.0,6.056090081533908e+17,7223726.086536512,3.274891469118302e-11,0,0,1,0.0,0.0,0
41,256817481.4487002,25,0.0,553574.6493715931,5054589617,121.94226891738523,161.0,26,1.3084803927167263e+18,52912100.36640488,98926183538134.75,2142968.75,6.641328147121766e+17,7223726.086536512,6.184563972055912e-11,0,0,1,0.0,0.0,0
42,102384509.90004012,23,0.0,570633.6968968615,5197205106,121.77079621588923,162.0,24,1.38810305992041e+18,53088862.36346239,98192944731434.73,2300000.0,7.038708244333485e+17,7228388.533478229,3.4795277770172106e-11,0,0,1,0.0,0.0,0
43,153046485.4693468,25,0.0,587604.737926277,5289158623,124.27274800856416,163.0,27,1.3443714134731617e+18,53081595.8320035,100101215036459.31,2300000.0,6.821958282402268e+17,7228388.533478229,4.979483492206782e-11,0,0,1,0.0,0.0,0
44,205082906.50431004,24,0.0,615536.9439681483,5329075714,124.6855905691709,164.0,26,1.405843935284974e+18,53040693.061465874,99641001109870.48,2142968.75,7.12886067753474e+17,7228388.533478229,3.6841640849161195e-11,0,0,1,0.0,0.0,0
45,154776707.02319735,26,0.0,632572.7412050876,5419299008,120.8386011507014,165.0,26,1.4388764794886769e+18,53238951.38114067,100063905794321.03,2300000.0,7.294446303237705e+17,7228388.533478229,2.5920599000528455e-11,0,0,1,0.0,0.0,0
46,168419519.15396667,27,0.0,660757.4445085031,5495879488,125.36984063380278,166.0,27,1.4326626100034637e+18,53031914.75597408,99320965460775.73,2300000.0,7.262634015478094e+17,7228388.533478229,2.3874235921539366e-11,0,0,1,0.0,0.0,0
47,228531368.15293,25,0.0,686368.8103495737,5512348121,122.35426443408626,167.0,25,1.4591667333586683e+18,52518393.817445904,98717561690910.83,2300000.0,7.394551228484252e+17,7228388.533478229,2.3874235921539366e-11,0,0,1,0.0,0.0,0
48,154568404.49398673,26,0.0,715211.5993475723,5602779714,127.31528348429855,168.0,26,1.4647355470089178e+18,52489074.75910409,99596376759270.42,2300000.0,7.423274111803859e+17,7228388.533478229,4.454392410480068e-11,0,0,1,0.0,0.0,0
49,205931368.15293,25,0.0,745903.1088571679,5641848346,125.31547074341157,169.0,26,1.4808589206059814e+18,52256647.22384064,98877757403546.69,2300000.0,7.503172360433454e+17,7228388.533478229,6.184563972055912e-11,0,0,1,0.0,0.0,0
50,51498396.60426992,23,0.0,795761.9175956533,5835349951,137.08135837934915,170.0,25,1.5634660488499965e+18,51683016.193452984,97785786328199.9,2300000.0,7.915116030578182e+17,7228388.533478229,3.274891469118302e-11,0,0,1,0.0,0.0,0
51,230915918.5227756,25,0.0,814117.4232056346,5849434033,125.05728948050995,171.0,27,1.5630707992885494e+18,51923919.046930104,98554369298530.2,2300000.0,7.913908365741277e+17,7228388.533478229,4.2511771880526794e-11,0,0,1,0.0,0.0,0
