t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey,q_sumsq,z_l1,z_sumsq,z_max,lyapunov,key_inflow,key_overflow,cg_iters,cg_columns,cg_converged,obj_lp,obj_greedy,key_blocked_edges
0,245000000.0,0,2109375.0,2435980.902777778,0,0.8751098228663845,0.9476988686844755,0,0.0,571875.0,109013671875.0,190625.0,10901367187500.0,7200000.0,0.0,0,0,1,0.0,0.0,0
1,245000000.0,0,2109375.0,2371961.8055555555,0,1.9150735485434955,1.9476988686844754,0,0.0,571875.0,109013671875.0,190625.0,10901367187500.0,7200000.0,0.0,0,0,1,0.0,0.0,0
2,245000000.0,0,1718750.0,2307942.7083333335,0,3.0002823041962015,3.1629597325192615,0,0.0,762500.0,218027343750.0,381250.0,21802734375000.0,7200000.0,0.0,0,0,1,0.0,0.0,0
3,245000000.0,0,1718750.0,2243923.611111111,0,4.054126679726725,4.162959732519262,0,0.0,753125.0,141865234375.0,190625.0,14186523437500.0,7200000.0,0.0,0,0,1,0.0,0.0,0
4,245000000.0,0,1328125.0,2179957.9060180252,0,4.472517043569744,5.504749365183861,0,0.0,762500.0,218027343750.0,381250.0,21802734375000.0,7201922.116648903,0.0,0,0,1,0.0,0.0,0
5,245000000.0,0,1328125.0,2138214.4231471615,0,5.332621254792477,6.504749365183861,0,0.0,753125.0,141865234375.0,190625.0,14186523437500.0,7201922.116648903,0.0,0,0,1,0.0,0.0,0
6,245000000.0,0,1137500.0,2118693.1624985198,0,6.189922163790837,7.756697408871322,0,0.0,943750.0,319980468750.0,381250.0,31998046875000.0,7201922.116648903,0.0,0,0,1,0.0,0.0,0
7,245000000.0,0,1337500.0,2099171.9018498785,0,6.987357784217664,8.494209936496077,0,0.0,925000.0,171406250000.0,190625.0,17140625000000.0,7201922.116648903,0.0,0,0,1,0.0,0.0,0
8,245000000.0,0,1328125.0,2087688.1898559076,0,7.8546238089690466,9.504749365183862,0,0.0,934375.0,313095703125.0,381250.0,31309570312500.0,7201956.361608522,1.3938006304670125e-10,0,0,1,0.0,0.0,0
9,245000000.0,0,1328125.0,2084834.5471228105,0,8.669694012043179,10.504749365183862,0,0.0,915625.0,168271484375.0,190625.0,16827148437500.0,7201956.361608522,1.3938006304670125e-10,0,0,1,0.0,0.0,0
10,245000000.0,0,1337500.0,2098476.6854993445,0,7.636156111413779,11.494209936496077,0,0.0,915624.9579422551,299326140594.55396,371874.957942255,29932614059455.395,7201956.529839502,2.874318838497203e-10,0,0,1,0.0,0.0,0
11,245000000.0,0,1337500.0,2112289.7141059977,0,8.24428356025864,12.494209936496077,0,0.0,896874.873826765,162001908175.79388,190625.0,16200190817579.389,7201956.529839502,2.874318838497203e-10,0,0,1,0.0,0.0,0
