scheduler,scenario,seed,horizon_s,secure_goodput_bps,secrecy_outage_rate,rekey_events,mean_queue,mean_aos,max_aos,mean_z_l1,final_z_l1,max_z_edge,mean_lyapunov,final_lyapunov,key_inflow_bits,key_overflow_bits,key_overflow_frac,active_overflow_frac,pqc_utilisation,n_active_edges,weight_variant,k_max_bits,aos_T_a,load_scale,cg_mean_iters,cg_max_iters_used,cg_nonconverged,cg_gap_frac,cg_gap_max,key_blocked_edge_slots
shortest_path,nominal,0,600,197010666.66666666,0.197,700,14181636000.0,34.02694863027301,420.0,2629011.1559200473,1900000.0,1900000.0,1.3622925757131974e+20,4.1453606148e+20,4861673609.064459,3.1381166095689754e-06,6.454807257562585e-16,8.695575188339525e-16,0.2912570554465392,11,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
shortest_path,nominal,1,600,197010666.66666666,0.197,670,14181636000.0,33.57905590101188,420.0,2720160.040881638,1900000.0,1900000.0,1.3622927325822496e+20,4.1453606148e+20,4955278005.317129,3.254701859634057e-06,6.5681518900487235e-16,8.412821896839069e-16,0.29814187867885583,11,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
shortest_path,nominal,2,600,197010666.66666666,0.197,675,14181636000.0,33.50348101990917,420.0,2580955.009670246,1900000.0,1900000.0,1.3622924854529553e+20,4.1453606148e+20,4875484398.01806,2.840604423681725e-06,5.826301946195261e-16,8.24354536957678e-16,0.2892228046481519,11,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
shortest_path,nominal,3,600,197010666.66666666,0.197,811,14181636000.0,36.10049812305823,420.0,3067523.786879541,1900000.0,1900000.0,1.3622933684758988e+20,4.1453606148e+20,4887087898.2024975,2.733372689382491e-06,5.593049984609124e-16,7.583378880757426e-16,0.2914843754204728,11,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
shortest_path,nominal,4,600,197010666.66666666,0.197,646,14181636000.0,33.06657406242086,420.0,2447080.5046655945,1900000.0,1900000.0,1.3622922620653653e+20,4.1453606148e+20,4856467176.068578,2.482291371694018e-06,5.111310921498886e-16,7.55705326533881e-16,0.29037612518421657,11,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
shortest_path,nominal,5,600,197010666.66666666,0.197,693,14181636000.0,33.90200297126456,420.0,2529830.3167535528,1900000.0,1900000.0,1.362292437284027e+20,4.1453606148e+20,4936282946.937528,3.0407777585894635e-06,6.160055635538403e-16,7.884354051427833e-16,0.294865508305197,11,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
shortest_path,nominal,6,600,197010666.66666666,0.197,691,14181636000.0,33.682449827295244,420.0,2520540.363823378,1900000.0,1900000.0,1.3622924180137907e+20,4.1453606148e+20,4876614077.985512,2.427205276790299e-06,4.977234691888838e-16,7.894441096612691e-16,0.2947131599177929,11,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
shortest_path,nominal,7,600,197010666.66666666,0.197,669,14181636000.0,33.56834788992039,420.0,2715601.8317042193,1900000.0,1900000.0,1.3622926971076996e+20,4.1453606148e+20,4930233132.777229,2.601670085330084e-06,5.276971727835003e-16,7.269708841051323e-16,0.2940573182969288,11,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
shortest_path,nominal,8,600,197010666.66666666,0.197,655,14181636000.0,33.245798415360696,420.0,2546273.0794348875,1900000.0,1900000.0,1.3622924623322055e+20,4.1453606148e+20,4889189761.362063,2.6631467805267383e-06,5.447010466995703e-16,8.754393068483483e-16,0.29271641166443507,11,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
shortest_path,nominal,9,600,197010666.66666666,0.197,646,14181636000.0,33.04702833892495,420.0,2405603.8545152494,1900000.0,1900000.0,1.362292215277012e+20,4.1453606148e+20,5017269231.560202,2.946203879755291e-06,5.872126337615574e-16,7.473421944890757e-16,0.2999399426601737,11,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
