t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey,q_sumsq,z_l1,z_sumsq,z_max,lyapunov,key_inflow,key_overflow,cg_iters,cg_columns,cg_converged,obj_lp,obj_greedy,key_blocked_edges
0,245000000.0,0,2109375.0,2425672.7430555555,0,0.8678816811621574,0.9476988686844755,0,0.0,571875.0,109013671875.0,190625.0,10901367187500.0,7200000.0,0.0,0,0,1,0.0,0.0,0
1,245000000.0,0,1718750.0,2351345.486111111,0,1.9553749264829172,2.1629597325192615,0,0.0,1143750.0,436054687500.0,381250.0,43605468750000.0,7200000.0,0.0,0,0,1,0.0,0.0,0
2,245000000.0,0,1328125.0,2277018.2291666665,0,3.0760090197024463,3.5047493651838613,0,0.0,1715625.0,981123046875.0,571875.0,98112304687500.0,7200000.0,0.0,0,0,1,0.0,0.0,0
3,245000000.0,0,1137500.0,2219357.638888889,0,4.184985372071511,4.756697408871322,0,0.0,2287500.0,1744218750000.0,762500.0,174421875000000.0,7200000.0,0.0,0,0,1,0.0,0.0,0
4,245000000.0,0,946875.0,2162105.403891981,0,4.753692154210991,6.109982856389292,0,0.0,2859375.0,2725341796875.0,953125.0,272534179687500.0,7214700.790111314,4.092726157978177e-11,0,0,1,0.0,0.0,0
5,245000000.0,0,756250.0,2115964.2800061842,0,5.774026409550909,7.641135688345988,0,0.0,3431250.0,3924492187500.0,1143750.0,392449218750000.0,7214700.790111314,4.092726157978177e-11,0,0,1,0.0,0.0,0
6,245000000.0,0,565625.0,2086489.8227870539,0,6.841735214953316,9.529671299360247,0,0.0,4003125.0,5341669921875.0,1334375.0,534166992187500.0,7214700.790111314,4.092726157978177e-11,0,0,1,0.0,0.0,0
7,245000000.0,0,375000.0,2057015.3655679238,0,8.106696190222355,12.319148936170212,0,0.0,4575000.0,6976875000000.0,1525000.0,697687500000000.0,7214700.790111314,4.092726157978177e-11,0,0,1,0.0,0.0,0
8,245000000.0,0,184375.0,2039291.861627466,0,10.139304394907244,18.78894133513149,0,0.0,5146875.0,8830107421875.0,1715625.0,883010742187500.0,7219790.437020652,0.0,0,0,1,0.0,0.0,0
9,243400000.0,1,0.0,2027146.2834891507,1600000,34.3949787389478,129.0,3,2560000000000.0,5700000.0,10830000000000.0,1900000.0,1084280000000000.0,7219790.437020652,0.0,0,0,1,0.0,0.0,0
10,196200000.0,1,0.0,2046813.134607363,50400000,33.78722132525283,130.0,3,2540160000000000.0,5699549.845808397,10828289616710.705,1900000.0,2352908961671070.5,7221591.053787064,2.2168933355715126e-10,0,0,1,0.0,0.0,0
11,196200000.0,1,0.0,2066748.8236014482,99200000,34.46811467527098,131.0,3,9840640000000000.0,5699099.691616794,10826579638699.002,1900000.0,6002977963869900.0,7221591.053787064,2.2168933355715126e-10,0,0,1,0.0,0.0,0
12,196200000.0,1,0.0,2086684.5125955334,148000000,35.15201761795918,132.0,3,2.1904e+16,5698649.537425191,10824870065964.893,1900000.0,1.203448700659649e+16,7221591.053787064,2.2168933355715126e-10,0,0,1,0.0,0.0,0
13,196200000.0,1,0.0,2106726.1070966558,196800000,33.981295239783044,133.0,3,3.873024e+16,5698199.383233588,10823160898508.375,1900000.0,2.0447436089850836e+16,7225403.652040415,5.688889359589666e-10,0,0,1,0.0,0.0,0
14,196200000.0,1,0.0,2126767.7015977786,245600000,34.52711244993142,134.0,3,6.031936e+16,5697749.229041985,10821452136329.45,1900000.0,3.1241825213632944e+16,7225403.652040415,8.019469532882795e-10,0,0,1,0.0,0.0,0
15,196200000.0,1,0.0,2146809.296098901,294400000,35.0748993503606,135.0,3,8.667136e+16,5697299.074850382,10819743779428.117,1900000.0,4.441765437794281e+16,7225403.652040415,8.019469532882795e-10,0,0,1,0.0,0.0,0
16,196200000.0,1,0.0,2166850.890600024,343200000,35.62441930812098,136.0,3,1.1778624e+17,5696848.920658779,10818035827804.375,1900000.0,5.997492358278044e+16,7225403.652040415,9.755467544891872e-10,0,0,1,0.0,0.0,0
17,196200000.0,1,0.0,2186892.4851011466,392000000,36.175473494157124,137.0,3,1.53664e+17,5696398.766467176,10816328281458.229,1900000.0,7.791363282814582e+16,7225403.652040415,9.755467544891872e-10,0,0,1,0.0,0.0,0
18,196200000.0,1,0.0,2206934.0796022695,440800000,36.72789346960622,138.0,3,1.9430464e+17,5695948.612275573,10814621140389.672,1900000.0,9.823378211403896e+16,7225403.652040415,9.755467544891872e-10,0,0,1,0.0,0.0,0
19,196200000.0,1,0.0,2226975.674103392,489600000,37.28153547322228,139.0,3,2.3970816e+17,5695498.4580839705,10812914404598.709,1900000.0,1.2093537144045987e+17,7225403.652040415,9.163159120362252e-10,0,0,1,0.0,0.0,0
20,196200000.0,1,0.0,2247017.2686045147,538400000,37.83627596741643,140.0,3,2.8987456e+17,5695048.3038923675,10811208074085.34,1900000.0,1.4601840080740854e+17,7225403.652040415,9.163159120362252e-10,0,0,1,0.0,0.0,0
21,196200000.0,1,0.0,2267058.863105637,587200000,38.39200812804141,141.0,3,3.4480384e+17,5694598.149700765,10809502148849.56,1900000.0,1.7348287021488496e+17,7225403.652040415,9.163159120362252e-10,0,0,1,0.0,0.0,0
22,196200000.0,1,0.0,2287100.45760676,636000000,38.94863905052208,142.0,3,4.04496e+17,5694147.995509162,10807796628891.375,1900000.0,2.0332877966288915e+17,7225403.652040415,9.163159120362252e-10,0,0,1,0.0,0.0,0
23,196200000.0,1,0.0,2307142.052107882,684800000,39.50608750586138,143.0,3,4.6895104e+17,5693697.841317559,10806091514210.781,1900000.0,2.355561291514211e+17,7225403.652040415,9.163159120362252e-10,0,0,1,0.0,0.0,0
24,196200000.0,1,0.0,2327183.646609005,733600000,40.0642821231232,144.0,3,5.3816896e+17,5693247.687125956,10804386804807.781,1900000.0,2.7016491868048077e+17,7225403.652040415,9.163159120362252e-10,0,0,1,0.0,0.0,0
25,196200000.0,1,0.0,2347229.101353641,782400000,40.623158542079956,145.0,3,6.1214976e+17,5692797.161364444,10802681094069.295,1900000.0,3.071551481094069e+17,7225542.620806895,4.283720045350492e-10,0,0,1,0.0,0.0,0
26,196200000.0,1,0.0,2367274.5560982767,831200000,41.182662401304924,146.0,3,6.9089344e+17,5692346.635602931,10800975789277.732,1900000.0,3.4652681757892774e+17,7225542.620806895,4.283720045350492e-10,0,0,1,0.0,0.0,0
27,196200000.0,1,0.0,2387320.010896474,880000000,37.88560113566323,147.0,3,7.744e+17,5691896.109841418,10799270890433.094,1900000.0,3.882799270890433e+17,7225542.6227351045,4.283720045350492e-10,0,0,1,0.0,0.0,0
28,196200000.0,1,0.0,2407407.492270583,928800000,38.303336563488266,148.0,3,8.6266944e+17,5691445.584079906,10797566397535.379,1900000.0,4.3241447663975354e+17,7227055.579467896,5.375113687478006e-10,0,0,1,0.0,0.0,0
