t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey
0,245000000.0,0,2134375.0,2450130.2083333335,0,0.8715308868687784,0.9366036410466546,0
1,245000000.0,0,1743750.0,2375260.4166666665,0,1.9772668604511632,2.1462960309499928,0
2,245000000.0,0,1353125.0,2300390.625,0,3.128737482191392,3.476968522108373,0
3,245000000.0,0,962500.0,2225520.8333333335,0,4.376446665175676,5.075765438505449,0
4,245000000.0,0,571875.0,2150651.0416666665,0,5.9052995619606605,7.491162993672267,0
5,245000000.0,0,181250.0,2075781.25,0,9.46865904967183,15.973936899862826,0
6,191400000.0,1,0.0,2024175.3472222222,53600000,46.896732275626185,126.0,4
7,298600000.0,0,0.0,1926041.6666666667,0,8.514238557641608,9.958579881656805,0
8,245000000.0,0,0.0,1851171.875,0,10.948755614061824,23.48886737657309,0
9,141405970.15580046,1,0.0,1822049.9067178387,103594030,23.56902126131956,120.0,1
10,105000000.0,0,0.0,1802549.7948221453,243594030,11.092846331351447,15.297136235722562,0
11,105000000.0,0,0.0,1783049.6829264527,383594030,13.904890103542419,21.973936899862828,0
12,101400000.0,1,0.0,1764330.831771098,527194030,51.18416436106744,132.0,2
13,69423880.62320182,1,0.0,1752551.2426332773,702770149,30.340312456378385,120.0,1
14,55000000.0,0,0.0,1743901.835922367,892770149,12.70937506322489,16.603531038971607,0
15,55000000.0,0,0.0,1735252.4292114573,1082770149,13.775804803708319,18.072196620583718,0
16,55000000.0,0,0.0,1728503.2962623346,1272770149,10.932681323579253,19.746633883620184,0
17,69423880.62320182,1,0.0,1718623.980886302,1448346269,31.23125726569765,120.0,1
18,81269384.48295295,2,0.0,1697622.7947237724,1612076884,35.13146009256004,120.0,3
19,55000000.0,0,0.0,1690873.66177465,1802076884,15.797993987113902,29.973936899862828,0
20,55000000.0,0,0.0,1684860.1887191802,1992076884,22.82587682312685,50.739673390970225,0
21,85483185.89610502,4,0.0,1663680.2090186286,2151593699,49.8859923984436,141.0,5
22,55647615.23011178,1,0.0,1650875.236297312,2340946084,37.05265920132724,120.0,1
23,25000000.0,0,0.0,1651372.179908508,2560946084,19.367801392499654,33.97393689986283,0
24,67172176.13527969,3,0.0,1634165.9436456359,2738773907,39.18218163842535,120.0,3
25,52047615.23011176,3,0.0,1618341.6734007436,2931726291,46.90793805404939,145.0,3
26,28600000.0,0,0.0,1611851.1790248507,3148126291,14.385934599383766,28.795476761139152,0
27,42172176.13527969,3,0.0,1600070.6992193335,3350954116,41.828747097158605,120.0,4
28,28126431.440673597,2,0.0,1593785.7467528703,3567827685,41.30155437997174,120.0,2
29,0.0,0,0.0,1599708.4468214219,3812827685,0.0,0.0,0
30,42172176.13527969,3,0.0,1587927.9670159044,4015655509,41.30789785142088,120.0,4
31,31758034.882243253,2,0.0,1581247.5924777705,4228897474,42.49157069987303,120.0,2
32,28395126.94239541,2,0.0,1572945.7449380085,4445502347,39.94954310887676,120.0,3
33,30100355.12352446,2,0.0,1570435.9761224794,4660401991,52.28353405788297,120.0,2
34,28395126.94239541,2,0.0,1562134.1285827179,4877006865,46.90984994218732,120.0,3
35,14197563.471197706,1,0.0,1563075.48642785,5107809301,48.563873185784416,120.0,1
36,44297918.59472217,3,0.0,1551322.512227427,5308511381,39.45419687406838,120.0,3
37,31805583.30465351,2,0.0,1544621.5003531775,5521705798,44.9048277843739,120.0,2
38,28395126.94239541,2,0.0,1536322.796787944,5738310672,38.33011142319676,120.0,2
39,30100355.12352446,2,0.0,1533816.171946943,5953210316,41.61513623370559,120.0,2
40,28395126.94239541,2,0.0,1525517.468381709,6169815189,48.79407222285875,120.0,3
41,14197563.471197706,1,0.0,1526461.970201369,6400617625,31.322182913673828,120.0,1
42,44297918.59472217,3,0.0,1514712.1399754742,6601319707,36.41053495670877,120.0,3
43,31805583.30465351,2,0.0,1508014.2720757527,6814514124,31.282844802723027,120.0,2
44,28395126.94239541,2,0.0,1499715.5685105184,7031118998,39.365062064974104,120.0,2
45,30100355.12352446,2,0.0,1497208.9436695175,7246018642,42.192275376136244,120.0,2
46,31278891.45518272,2,0.0,1487971.5146769444,7459739751,50.725125883824326,120.0,3
47,17081327.983985014,1,0.0,1488290.199545045,7687658423,31.79174321712616,120.0,1
48,50065447.620296784,3,0.0,1474037.1015129106,7882592976,36.992749841078265,120.0,3
49,33247465.561047163,2,0.0,1467339.2336131888,8094345511,31.819796631234375,120.0,2
50,34162655.96797003,2,0.0,1456537.262241716,8305182855,40.880862778830405,120.0,2
51,32984119.63631177,2,0.0,1453404.8204491555,8517198735,43.61597632773174,120.0,2
52,32984119.63631177,2,0.0,1443370.1253352726,8729214615,52.81105174941306,120.0,3
53,17081327.983985014,1,0.0,1443688.8102033732,8957133287,33.08251430424558,120.0,1
54,51243983.95195504,3,0.0,1428668.435913649,9150889302,38.70705298553662,120.0,3
55,32984119.63631177,2,0.0,1422084.8674604269,9362905182,33.755106252825655,120.0,2
56,34162655.96797003,2,0.0,1411282.8960889538,9573742526,42.66299868884579,120.0,2
57,32984119.63631177,2,0.0,1408150.4542963936,9785758407,51.66660702699835,120.0,3
58,33409403.641668938,2,0.0,1398115.759182511,9997349003,55.917480735859236,120.0,3
59,17931895.994699355,1,0.0,1398249.8589788417,10224417107,49.82836766484215,120.0,2
60,37467612.32641414,2,0.0,1385665.3934550458,10431949494,44.05248281693085,120.0,2
61,15902791.652326755,1,0.0,1386680.180899976,10661046703,61.0508882727596,120.0,2
62,42061365.208995685,2,0.0,1368558.479824347,10863985338,36.761914459008814,120.0,3
63,0.0,0,0.0,1377820.4800566582,11108985338,0.0,0.0,0
64,48258938.42859265,2,0.0,1355663.9005828542,11305726400,37.317425206136754,120.0,3
65,0.0,0,0.0,1364925.9008151651,11550726400,0.0,0.0,0
66,48258938.42859265,2,0.0,1342769.321341361,11747467461,38.04743012734402,120.0,3
67,15280474.624388555,1,0.0,1349905.3098940505,11977186987,66.73953244088541,120.0,1
68,48258938.42859265,2,0.0,1328938.7939629322,12173928048,39.45816291004908,120.0,3
69,0.0,0,0.0,1339390.8577379284,12418928048,0.0,0.0,0
70,46521161.42860255,2,0.0,1319555.7070411784,12617406886,48.03841131697041,190.0,4
71,42822810.67188123,3,0.0,1311508.7224432833,12819584076,38.76782982957942,120.0,4
72,33056759.224072836,2,0.0,1306489.8289242883,13031527317,45.5796536863689,120.0,3
73,24129469.214296326,1,0.0,1301330.6092829846,13252397848,22.54737488856613,120.0,1
74,42127037.41238455,2,0.0,1285741.7301357512,13455270811,31.519119047285745,120.0,3
75,30062302.805236384,2,0.0,1278007.495915047,13670208507,32.75350259517148,120.0,3
76,42459644.2035459,3,0.0,1271130.6217217867,13872748864,52.819311352620474,120.0,5
77,13714246.400463851,1,0.0,1279992.0172786964,14104034617,63.92961739632139,120.0,1
78,30062302.805236384,1,0.0,1272257.7830579914,14318972315,23.847863430128253,120.0,1
79,15031151.402618192,1,0.0,1274309.4546983663,14548941163,24.414348821615732,120.0,1
80,15031151.784744734,1,0.0,1276361.1262558145,14778910011,25.30448708893759,120.0,1
81,28745398.185208585,2,0.0,1275436.615868718,14995164613,36.21477210224295,120.0,2
82,28745398.185208585,2,0.0,1274512.105481621,15211419214,49.342190116107716,120.0,3
83,15031151.784744734,1,0.0,1276563.777039069,15441388063,32.092217199933465,120.0,1
84,15031151.784744734,1,0.0,1278615.4485965173,15671356911,60.49352481889495,120.0,3
85,0.0,0,0.0,1290453.0262638254,15916356911,0.0,0.0,0
86,13714246.400463851,1,0.0,1299314.4219865883,16147642665,62.056953029541695,120.0,1
87,28854436.69673959,2,0.0,1298318.9229852138,16363788228,48.798195736512156,120.0,3
88,0.0,0,0.0,1310156.5006525218,16608788228,0.0,0.0,0
89,0.0,0,0.0,1321994.07831983,16853788228,0.0,0.0,0
90,12808947.689674033,1,0.0,1325492.4973350065,17085979281,34.237900847253904,120.0,2
91,13714246.400463851,1,0.0,1334353.8930577694,17317265034,61.3771034073243,120.0,1
92,13714246.400463851,1,0.0,1343215.2887805323,17548550787,62.394658125736896,120.0,1
93,0.0,0,0.0,1355052.8664478404,17793550787,0.0,0.0,0
94,15863187.12905058,1,0.0,1357558.272431233,18022687600,41.894903474960344,120.0,2
95,0.0,0,1641.1547035910846,1370712.251443889,18267687600,0.0,0.0,0
96,15193359.023634514,1,0.0,1380569.0605295403,18497494241,61.04124365581497,120.0,1
97,15932915.335219845,1,0.0,1390265.375623962,18726561326,62.15841802720379,120.0,1
98,15863088.146090146,1,0.0,1393555.6649243857,18955698238,41.6057963579412,120.0,2
99,27521485.606021468,2,0.0,1395228.3963311953,19173176752,34.09815921602434,120.0,2
