t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey,q_sumsq,z_l1,z_sumsq,z_max,lyapunov,key_inflow,key_overflow,cg_iters,cg_columns,cg_converged,obj_lp,obj_greedy,key_blocked_edges
0,245000000.0,0,2109375.0,2425130.2083333335,0,0.8811589100178921,0.9476988686844755,0,0.0,2695312.5,782012939453.125,390625.0,78201293945312.5,0.0,0.0,0,0,1,0.0,0.0,0
1,245000000.0,0,1718750.0,2350260.4166666665,0,1.9895459465001724,2.1629597325192615,0,0.0,5390625.0,3128051757812.5,781250.0,312805175781250.0,0.0,0.0,0,0,1,0.0,0.0,0
2,245000000.0,0,1328125.0,2275390.625,0,3.1457070394308886,3.5047493651838613,0,0.0,8085937.5,7038116455078.125,1171875.0,703811645507812.5,0.0,0.0,0,0,1,0.0,0.0,0
3,245000000.0,0,937500.0,2200520.8333333335,0,4.403834662756154,5.131060202450719,0,0.0,10781250.0,12512207031250.0,1562500.0,1251220703125000.0,0.0,0.0,0,0,1,0.0,0.0,0
4,245000000.0,0,546875.0,2125743.184627196,0,4.634631302555813,7.650467716176135,0,0.0,13473245.353420947,19541255914516.38,1953125.0,1954125591451638.0,3317.1465790540788,0.0,0,0,1,0.0,0.0,0
5,245000000.0,0,156250.0,2050965.5359210586,0,8.37395189779531,17.71860095389507,0,0.0,16165240.706841892,28130708049348.883,2343750.0,2813070804934888.5,3317.1465790540788,0.0,0,0,1,0.0,0.0,0
6,185000000.0,1,0.0,2002229.5538815882,60000000,44.91213663665733,126.0,4,3600000000000000.0,17919736.060262837,33375669241935.91,2500000.0,5137566924193591.0,3317.1465790540788,5.4569682106375694e-12,0,0,1,0.0,0.0,0
7,305000000.0,0,0.0,1901410.2385087837,0,7.393901087973728,10.194888178913738,0,0.0,21549231.413683783,39061614940159.9,2500000.0,3906161494015990.0,3317.1465790540788,0.0,0,0,1,0.0,0.0,0
8,245000000.0,0,0.0,1826632.5928386052,0,10.499605876539649,33.27646129541864,0,0.0,24241226.657810215,45822273734689.56,2500000.0,4582227373468956.0,3317.2558735695316,6.127720553195104e-11,0,0,1,0.0,0.0,0
9,125000000.0,1,0.0,1799598.002723982,120000000,23.60789741716664,129.0,1,1.04e+16,25214471.901936643,48750419455258.25,2500000.0,1.0075041945525824e+16,3317.2558735695316,6.127720553195104e-11,0,0,1,0.0,0.0,0
10,105000000.0,0,0.0,1776903.6903871382,260000000,7.891626898954004,15.672753057968446,0,4.36e+16,26031467.146063045,51312848976865.87,2500000.0,2.6931284897686588e+16,3317.2558736104975,6.127720553195104e-11,0,0,1,0.0,0.0,0
11,105000000.0,0,0.0,1754209.3780502938,400000000,10.762436855831169,23.71860095389507,0,1e+17,26848462.390189443,54119913862012.51,2500000.0,5.541199138620125e+16,3317.2558736104975,6.411937647499144e-11,0,0,1,0.0,0.0,0
12,95000000.0,1,0.0,1733685.2046023384,550000000,47.220743614477726,132.0,2,1.797e+17,27587332.63431584,56778520455731.055,2500000.0,9.55278520455731e+16,3317.2558736104975,6.411937647499144e-11,0,0,1,0.0,0.0,0
13,55000000.0,0,0.0,1721842.1353611846,740000000,5.288712531499784,14.763960090402955,0,2.86e+17,28013693.002719816,58018192938084.06,2500000.0,1.4880181929380842e+17,3337.00731846331,4.1670666917070776e-10,0,0,1,0.0,0.0,0
14,55000000.0,0,0.0,1709999.066120031,930000000,5.8024939743695025,15.930210815212474,0,4.205e+17,28440053.371123787,59350558480363.98,2500000.0,2.1618505584803638e+17,3337.00731846331,4.1670666917070776e-10,0,0,1,0.0,0.0,0
15,55000000.0,0,0.0,1698155.996878877,1120000000,6.400456527541054,17.13106020245072,0,5.832e+17,28866413.739527762,60775617082570.81,2500000.0,2.976775617082571e+17,3337.00731846331,4.1670666917070776e-10,0,0,1,0.0,0.0,0
16,55000000.0,0,0.0,1686312.9276377233,1310000000,7.134214480203712,18.378563199167502,0,7.741e+17,29292774.107931733,62293368744704.555,2500000.0,3.9327933687447046e+17,3337.00731846331,4.1670666917070776e-10,0,0,1,0.0,0.0,0
17,55000000.0,0,0.0,1674469.8583965695,1500000000,8.112177393460076,19.691110924228408,0,9.932e+17,29719134.476335708,63903813466765.22,2500000.0,5.0299038134667654e+17,3337.00731846331,4.1954884011375477e-10,0,0,1,0.0,0.0,0
18,55000000.0,0,0.0,1662626.7891554157,1690000000,9.613730095743115,21.098223362540544,0,1.2405e+18,30145494.84473968,65606951248752.79,2500000.0,6.268106951248753e+17,3337.00731846331,4.1954884011375477e-10,0,0,1,0.0,0.0,0
19,55000000.0,0,0.0,1650783.719914262,1880000000,12.686411370035675,22.650467716176134,0,1.516e+18,30571855.213143654,67402782090667.28,2500000.0,7.647402782090668e+17,3337.00731846331,4.1954884011375477e-10,0,0,1,0.0,0.0,0
20,55000000.0,0,0.0,1638940.650673108,2070000000,28.921129022449563,49.87282070425967,1,1.8197e+18,30998215.581547625,69291305992508.68,2500000.0,9.167791305992508e+17,3337.00731846331,4.241753615019727e-10,0,0,1,0.0,0.0,0
21,38821450.78695615,1,0.0,1627609.1045278935,2276178549,25.89623124344594,120.0,1,2.1518617454546388e+18,31406156.180636566,70480448539234.86,2500000.0,1.0829789175812429e+18,3337.00731846331,4.1954884011375477e-10,0,0,1,0.0,0.0,0
22,25000000.0,0,0.0,1622276.4519534064,2496178549,18.84602182174614,29.84602182174819,0,2.5138324584074214e+18,31598136.611179315,71322206678392.23,2500000.0,1.26404844987155e+18,3337.00731846331,4.1670666917071437e-10,0,0,1,0.0,0.0,0
23,25000000.0,0,0.0,1616943.7993789192,2716178549,24.218600953889272,35.71860095389507,0,2.9058031713602043e+18,31790117.041722063,72202117292445.44,2500000.0,1.4601217974093466e+18,3337.00731846331,4.1875303224970346e-10,0,0,1,0.0,0.0,0
24,25000000.0,0,0.0,1611611.1468044322,2936178549,45.560566334513624,57.560566334556896,0,3.3277738843129866e+18,31982097.47226481,73120180381394.42,2500000.0,1.6711989601946327e+18,3337.00731846331,4.1670666917071437e-10,0,0,1,0.0,0.0,0
25,15000000.0,1,0.0,1609578.304051937,3166178549,132.5,145.0,2,3.7798445972657695e+18,32061099.650769748,73583085535519.73,2500000.0,1.8972806071864366e+18,44005.160910179344,1.6927970136748627e-10,0,0,1,0.0,0.0,0
26,0.0,0,0.0,1610800.6696327752,3411178549,0.0,0.0,0,4.262940310218552e+18,32022914.329274684,73467279898762.23,2500000.0,2.1388168830991521e+18,44005.160910179344,1.6916601452976465e-10,0,0,1,0.0,0.0,0
27,0.0,0,0.0,1612023.0352136241,3656178549,0.0,0.0,0,4.777286023171335e+18,31984729.007779334,73351834516042.62,2500000.0,2.395978195037272e+18,44005.160910561535,3.457655970369861e-10,0,0,1,0.0,0.0,0
28,0.0,0,0.0,1613245.408368636,3901178549,0.0,0.0,0,5.322881736124117e+18,31946543.41361413,73236748033284.06,2500000.0,2.668764542865387e+18,44005.433580417935,3.473572127650887e-10,0,0,1,0.0,0.0,0
29,0.0,0,0.0,1614467.7815236477,4146178549,0.0,0.0,0,5.8997274490769e+18,31908357.819448926,73122021805469.08,2500000.0,2.957175926718997e+18,44005.433580417935,3.473572127651152e-10,0,0,1,0.0,0.0,0
30,0.0,0,0.0,1615690.154678659,4391178549,0.0,0.0,0,6.507823162029683e+18,31870172.22528372,73007655832597.7,2500000.0,3.261212346598101e+18,44005.433580417935,3.473572127650887e-10,0,0,1,0.0,0.0,0
31,0.0,0,0.0,1616912.5278336706,4636178549,0.0,0.0,0,7.147168874982466e+18,31831986.631118514,72893650114669.92,2500000.0,3.5808738025026995e+18,44005.433580417935,4.325086542186585e-10,0,0,1,0.0,0.0,0
32,0.0,0,0.0,1618134.9009886822,4881178549,0.0,0.0,0,7.817764587935247e+18,31793801.036953308,72780004651685.73,2500000.0,3.916160294432792e+18,44005.433580417935,4.352371383238979e-10,0,0,1,0.0,0.0,0
33,0.0,0,0.0,1619357.274143694,5126178549,0.0,0.0,0,8.51961030088803e+18,31755615.442788098,72666719443645.14,2500000.0,4.2670718223883796e+18,44005.43358042094,4.5251753765758354e-10,0,0,1,0.0,0.0,0
34,0.0,0,0.0,1620579.6472987058,5371178549,0.0,0.0,0,9.252706013840814e+18,31721657.95208236,72553776613689.28,2500000.0,4.633608384581776e+18,44005.43358042094,4.5251753765758354e-10,0,0,1,0.0,0.0,0
35,0.0,0,0.0,1621802.020453717,5616178549,0.0,0.0,0,1.0017051726793595e+19,31689292.197332267,72441128831238.73,2500000.0,5.015769976279922e+18,44005.43358042094,4.5251753765758354e-10,0,0,1,0.0,0.0,0
36,0.0,0,0.0,1623024.3936087291,5861178549,0.0,0.0,0,1.0812647439746378e+19,31656926.44258217,72328773562670.16,2500000.0,5.413556597229456e+18,44005.43358042094,4.525175376577688e-10,0,0,1,0.0,0.0,0
37,0.0,0,0.0,1624530.3362429338,6106178549,0.0,0.0,0,1.163949315269916e+19,31622044.174042575,72197352233284.3,2500000.0,5.826966311572909e+18,54213.934831366874,2.7880404961913953e-10,0,0,1,0.0,0.0,0
38,0.0,0,0.0,1626036.2788771382,6351178549,0.0,0.0,0,1.2497588865651943e+19,31588926.305511046,72066333525747.94,2500000.0,6.256001066178547e+18,54213.934831366874,2.7880404961913953e-10,0,0,1,0.0,0.0,0
39,0.0,0,0.0,1627542.2215113428,6596178549,0.0,0.0,0,1.3386934578604726e+19,31555808.436979517,71935714326953.66,2500000.0,6.700660860735059e+18,54213.934831366874,2.751660708120478e-10,0,0,1,0.0,0.0,0
40,0.0,0,0.0,1629048.1641455474,6841178549,0.0,0.0,0,1.430753029155751e+19,31522690.568447985,71805494636901.47,2500000.0,7.160945695242445e+18,54213.934831366874,2.7334708140850196e-10,0,0,1,0.0,0.0,0
41,0.0,0,0.0,1630554.1067797523,7086178549,0.0,0.0,0,1.5259376004510292e+19,31489572.699916456,71675674455591.38,2500000.0,7.636855569700705e+18,54213.934831366874,2.7459763662343974e-10,0,0,1,0.0,0.0,0
42,0.0,0,0.0,1632060.0495079958,7331178549,0.0,0.0,0,1.6242471717463075e+19,31456454.83053858,71546253778791.62,2500000.0,8.128390484109416e+18,54213.93821676794,7.761677640686675e-10,0,0,1,0.0,0.0,0
43,0.0,0,0.0,1633565.9922362391,7576178549,0.0,0.0,0,1.7256817430415858e+19,31423336.9611607,71417232610733.97,2500000.0,8.635550438469002e+18,54213.93821676794,7.744624615028433e-10,0,0,1,0.0,0.0,0
44,0.0,0,0.0,1635071.9349644827,7821178549,0.0,0.0,0,1.8302413143368638e+19,31390219.09178282,71288610951418.39,2500000.0,9.158335432779461e+18,54213.93821676794,7.761677640686675e-10,0,0,1,0.0,0.0,0
45,0.0,0,0.0,1636577.8776927264,8066178549,0.0,0.0,0,1.937925885632142e+19,31357101.222404942,71160388800844.9,2500000.0,9.696745467040795e+18,54213.93821676794,7.761677640686675e-10,0,0,1,0.0,0.0,0
46,0.0,0,0.0,1638083.82042097,8311178549,0.0,0.0,0,2.0487354569274204e+19,31323983.35302706,71032566159013.52,2500000.0,1.0250780541253003e+19,54213.93821676794,7.761677640686675e-10,0,0,1,0.0,0.0,0
47,0.0,0,0.0,1639589.7631492135,8556178549,0.0,0.0,0,2.1626700282226987e+19,31290865.483649183,70905143025924.22,2500000.0,1.0820440655416087e+19,54213.93821676794,7.761677640686675e-10,0,0,1,0.0,0.0,0
48,0.0,0,0.0,1641095.7058774573,8801178549,0.0,0.0,0,2.279729599517977e+19,31257747.614271306,70778119401577.02,2500000.0,1.1405725809530042e+19,54213.93821676794,7.761677640686675e-10,0,0,1,0.0,0.0,0
49,0.0,0,0.0,1642601.6486057006,9046178549,0.0,0.0,0,2.3999141708132553e+19,31224629.744893424,70651495285971.9,2500000.0,1.2006636003594873e+19,54213.93821676794,7.761677640686675e-10,0,0,1,0.0,0.0,0
50,0.0,0,0.0,1644107.5913339441,9291178549,0.0,0.0,0,2.5232237421085336e+19,31191511.875515547,70525270679108.88,2500000.0,1.2623171237610578e+19,54213.93821676794,7.761677640686675e-10,0,0,1,0.0,0.0,0
51,0.0,0,0.0,1645613.5340621877,9536178549,0.0,0.0,0,2.649658313403812e+19,31158394.006137665,70399445580987.94,2500000.0,1.3255331511577158e+19,54213.93821676794,7.761677640686675e-10,0,0,1,0.0,0.0,0
52,0.0,0,0.0,1647119.476790431,9781178549,0.0,0.0,0,2.77921788469909e+19,31125276.136759788,70274019991609.1,2500000.0,1.3903116825494612e+19,54213.93821676794,7.761677640686675e-10,0,0,1,0.0,0.0,0
