t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey
0,245000000.0,0,2134375.0,2450130.2083333335,0,0.8715308868687784,0.9366036410466546,0
1,245000000.0,0,1743750.0,2375260.4166666665,0,1.9772668604511632,2.1462960309499928,0
2,245000000.0,0,1353125.0,2300390.625,0,3.128737482191392,3.476968522108373,0
3,245000000.0,0,962500.0,2225520.8333333335,0,4.376446665175676,5.075765438505449,0
4,245000000.0,0,571875.0,2150651.0416666665,0,5.9052995619606605,7.491162993672267,0
5,245000000.0,0,181250.0,2075781.25,0,9.46865904967183,15.973936899862826,0
6,191400000.0,1,0.0,2024175.3472222222,53600000,46.896732275626185,126.0,4
7,298600000.0,0,0.0,1926041.6666666667,0,8.514238557641608,9.958579881656805,0
8,245000000.0,0,0.0,1851171.875,0,10.948755614061824,23.48886737657309,0
9,141405970.15580046,1,0.0,1822049.9067178387,103594030,23.56902126131956,120.0,1
10,105000000.0,0,0.0,1802290.4183128779,243594030,11.092846331351447,15.297136235722562,0
11,105000000.0,0,0.0,1782530.929907918,383594030,13.904890103542419,21.973936899862828,0
12,101400000.0,1,0.0,1763552.6915164483,527194030,51.18416436106744,132.0,2
13,69423880.62320182,1,0.0,1751513.7151425139,702770149,30.340312456378385,120.0,1
14,55000000.0,0,0.0,1742604.9211954896,892770149,12.70937506322489,16.603531038971607,0
15,55000000.0,0,0.0,1733696.1272484655,1082770149,13.775804803708319,18.072196620583718,0
16,55000000.0,0,0.0,1726687.607063228,1272770149,10.932681323579253,19.746633883620184,0
17,69423880.62320182,1,0.0,1716548.9044510813,1448346269,31.23125726569765,120.0,1
18,81269384.48295295,2,0.0,1695288.3310524374,1612076884,35.13305656216462,120.0,3
19,55000000.0,0,0.0,1688279.8108672004,1802076884,15.797993987113902,29.973936899862828,0
20,55000000.0,0,0.0,1681298.5498238036,1992076884,22.833476213353315,50.739673390970225,0
21,82218875.23175317,4,0.0,1659859.1828871379,2154858010,50.130412654561454,141.0,5
22,55647615.23011178,1,0.0,1646086.422177894,2344210395,37.07950676987101,120.0,1
23,25000000.0,0,0.0,1645615.577801164,2564210395,19.521702911633415,33.97393689986283,0
24,51269384.48295294,2,0.0,1630892.6802110262,2757941010,33.5973526941683,120.0,2
25,66722716.10451043,4,0.0,1610915.921267617,2936218293,51.15895718429341,145.0,4
26,28600000.0,0,0.0,1603784.9754163797,3152618293,27.326520552709496,80.56036006719495,1
27,13134692.241476469,1,0.0,1603366.4027242244,3384483601,37.49716901371537,120.0,1
28,39706417.934043266,3,0.0,1588564.552335322,3589777183,44.30862468789952,120.0,4
29,14675100.874398667,1,0.0,1590854.1600118373,3820102083,61.41463360355878,120.0,1
30,13134692.241476469,1,0.0,1590627.6471135798,4051967391,38.26216529195152,120.0,1
31,31710486.459832996,2,0.0,1580078.7102375124,4265256904,48.17524419547564,120.0,3
32,28872664.345596373,2,0.0,1574202.2749800184,4481384239,38.77176370503196,120.0,2
33,43070227.81679408,3,0.0,1562267.3350482204,4683314011,49.15230420307282,120.0,4
34,14197563.471197706,1,0.0,1562760.3012119068,4914116448,39.30181358511453,120.0,1
35,28395126.94239541,2,0.0,1554010.0619906993,5130721321,49.841474239328775,120.0,3
36,28872664.345596373,2,0.0,1548133.626733205,5346848656,39.830042626131856,120.0,2
37,41916730.66470106,3,0.0,1539530.0801658367,5549931926,64.46739335670165,120.0,5
38,14197563.471197706,1,0.0,1540023.4544552835,5780734363,40.34616006386839,120.0,1
39,29548624.094488434,2,0.0,1530772.973554239,5996185739,43.70580061756719,120.0,3
40,28872664.345596373,2,0.0,1524896.9464225052,6212313074,35.889893584909935,120.0,2
41,43070227.81679408,3,0.0,1512962.4146164672,6414242845,41.13331160890702,120.0,4
42,14197563.471197706,1,0.0,1513455.7889059132,6645045282,41.397496715166085,120.0,1
43,28395126.94239541,2,0.0,1504705.9578104655,6861650155,44.610602490779385,120.0,3
44,28872664.345596373,2,0.0,1498829.9306787313,7077777491,36.47291262744424,120.0,2
45,43070227.81679408,3,0.0,1486895.398872693,7279707264,41.32331957446473,120.0,4
46,14197563.494614147,1,0.0,1487388.7731621393,7510509700,42.45802886280565,120.0,1
47,28395127.03606118,2,0.0,1478638.9420260382,7727114573,45.55778822782018,120.0,3
48,28872664.392429255,2,0.0,1472762.9148841407,7943241908,37.07754817678757,120.0,2
49,43070227.910459846,3,0.0,1463909.451509244,8145171679,61.153804273091986,120.0,5
50,14197563.51803059,1,0.0,1464402.825788527,8375974116,43.531112637189594,120.0,1
51,28395127.03606118,2,0.0,1455652.9946524252,8592578990,46.51384854611389,120.0,3
52,28872664.392429255,2,0.0,1449776.967510528,8808706325,37.6902544349618,120.0,2
53,43070227.910459846,3,0.0,1437842.4356638365,9010636097,41.91318418658817,120.0,4
54,14197563.51803059,1,0.0,1438335.809943119,9241438534,44.62215663030998,120.0,1
55,28395127.03606118,2,0.0,1429585.9788070177,9458043407,47.663537160592206,120.0,3
56,28872664.392429255,2,0.0,1423709.9516651207,9674170742,38.36926757492585,120.0,2
57,43070227.910459846,3,0.0,1411775.4198184288,9876100513,42.76096925146683,120.0,4
58,16804837.922253605,1,0.0,1412268.7940977118,10104295675,45.752283461467385,120.0,1
59,38824224.652953245,2,0.0,1398992.4448987227,10310471451,49.67463302834612,120.0,3
60,33496399.236873753,2,0.0,1389184.732038327,10521975052,55.42060174341749,120.0,3
61,29220704.58542432,2,0.0,1390630.5740387654,10737754347,86.24402594421608,120.0,3
62,53398889.06256166,3,0.0,1371028.567517241,10929355459,46.360274025903834,120.0,4
63,0.0,0,0.0,1378816.0120218827,11174355459,0.0,0.0,0
64,70316375.51160319,4,0.0,1351871.1945682715,11349039084,48.783516347272375,120.0,6
65,14675100.874398667,1,0.0,1356473.938362323,11579363983,62.78247472402236,120.0,1
66,38827024.16084542,2,0.0,1338983.3723455807,11785536959,46.83013044326748,120.0,4
67,0.0,0,0.0,1346773.8751862813,12030536959,0.0,0.0,0
68,34088612.95482138,2,0.0,1332371.2706345196,12241448345,51.91194349332559,120.0,4
69,14675100.874398667,1,0.0,1336977.0727646304,12471773244,63.116592358058426,120.0,1
70,43565435.366869465,2,0.0,1316404.661955025,12673207809,45.774324739386145,120.0,3
71,0.0,0,0.0,1324254.4055994158,12918207809,0.0,0.0,0
72,60758367.78631362,4,0.0,1305741.0744582023,13102449442,56.60827219145778,192.0,6
73,15084573.309505144,1,0.0,1310317.2561864678,13332364868,63.561732388373876,120.0,1
74,50992826.708447054,2,0.0,1286256.052232247,13526372041,27.95076748507714,120.0,3
75,0.0,0,0.0,1295393.3031663378,13771372041,0.0,0.0,0
76,40567409.79257007,2,0.0,1278119.4800167244,13975804631,30.87677493823556,120.0,4
77,15221064.121207304,1,0.0,1283953.5486328453,14205583567,64.1644444482938,120.0,1
78,60817972.89288099,2,0.0,1253495.7651314673,14389765595,28.295830252093282,120.0,3
79,0.0,0,0.0,1262633.0160655577,14634765595,0.0,0.0,0
80,40609241.95341522,2,0.0,1245350.114756039,14839156353,32.52038678625076,120.0,4
81,15221064.121207304,1,0.0,1251202.339691971,15068935289,65.01268495131349,120.0,1
82,61027133.697106756,2,0.0,1220626.5401118193,15252908155,41.164107488505074,120.0,5
83,13251462.115723481,1,0.0,1226906.1960385249,15484656693,88.11055216284501,120.0,2
84,0.0,0,0.0,1236061.6032924273,15729656693,0.0,0.0,0
85,28560463.237535156,2,0.0,1233229.3235953331,15946096230,46.4940915663136,120.0,3
86,0.0,0,0.0,1242384.7308492358,16191096230,0.0,0.0,0
87,0.0,0,0.0,1251540.138103138,16436096230,0.0,0.0,0
88,0.0,0,0.0,1260695.5453570401,16681096230,0.0,0.0,0
89,28693738.482228227,2,0.0,1257776.497922516,16897402491,43.37491051370366,120.0,3
90,0.0,0,0.0,1266931.9051764184,17142402491,0.0,0.0,0
91,0.0,0,0.0,1276087.3124303208,17387402491,0.0,0.0,0
92,0.0,0,0.0,1285242.719684223,17632402491,0.0,0.0,0
93,28693738.482228227,2,0.0,1282323.6722496985,17848708753,43.06339764873803,120.0,3
94,13251462.115723481,1,0.0,1289598.752279631,18080457291,61.88622951326183,120.0,1
95,0.0,0,113.86708699953088,1299824.3493803262,18325457291,0.0,0.0,0
96,0.0,0,117.54021883822543,1310049.9464810216,18570457291,0.0,0.0,0
97,28693738.38897354,2,0.0,1308201.0889540028,18786763553,45.88021408213893,120.0,4
98,0.0,0,124.88648251561452,1319573.8874608683,19031763553,0.0,0.0,0
99,27521485.606021468,2,0.0,1319001.5967290094,19249242067,43.73120617467865,120.0,4
100,13852629.2539013,1,0.0,1327368.1822901496,19480389438,104.53238851712297,120.0,2
