t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey
0,245000000.0,0,2134375.0,2450130.2083333335,0,0.8715308868687784,0.9366036410466546,0
1,245000000.0,0,1743750.0,2375260.4166666665,0,1.9772668604511632,2.1462960309499928,0
2,245000000.0,0,1353125.0,2300390.625,0,3.128737482191392,3.476968522108373,0
3,245000000.0,0,962500.0,2225520.8333333335,0,4.376446665175676,5.075765438505449,0
4,245000000.0,0,571875.0,2150651.0416666665,0,5.9052995619606605,7.491162993672267,0
5,245000000.0,0,181250.0,2075781.25,0,9.46865904967183,15.973936899862826,0
6,191400000.0,1,0.0,2024175.3472222222,53600000,46.896732275626185,126.0,4
7,298600000.0,0,0.0,1926041.6666666667,0,8.514238557641608,9.958579881656805,0
8,245000000.0,0,0.0,1851171.875,0,10.948755614061824,23.48886737657309,0
9,137928359.46236947,1,0.0,1821295.2168972155,107071641,23.56691741099869,120.0,1
10,105000000.0,0,0.0,1798955.8926705702,247071641,11.097058451793648,15.297136235722562,0
11,105000000.0,0,0.0,1776616.5684439247,387071641,13.912066322687329,21.973936899862828,0
12,101400000.0,1,0.0,1755121.344990278,530671641,51.1951274468154,132.0,2
13,55000000.0,0,0.0,1743695.5659810763,720671641,11.741485834330355,15.258929831992093,0
14,55000000.0,0,0.0,1732269.7869718743,910671641,12.742801757329069,16.603531038971607,0
15,55000000.0,0,0.0,1720844.0079626723,1100671641,13.822097495991857,18.072196620583718,0
16,55000000.0,0,0.0,1709798.283705828,1290671641,11.019633212143729,19.746633883620184,0
17,55000000.0,0,0.0,1698752.5594489835,1480671641,12.178816696166187,21.8004800480048,0
18,55000000.0,0,0.0,1687706.835192139,1670671641,13.77008870062335,24.679190148194532,0
19,55000000.0,0,0.0,1676661.110935295,1860671641,16.53264905828472,29.973936899862828,0
20,55000000.0,0,0.0,1665647.2034426886,2050671641,25.860758456006288,50.739673390970225,0
21,41400000.0,1,0.0,1657584.6848389711,2254271641,66.35516443247677,141.0,2
22,25000000.0,0,0.0,1653081.194013032,2474271641,18.047441505971527,29.145249525510774,0
23,25000000.0,0,0.0,1648577.7031870922,2694271641,22.22486134730454,33.97393689986283,0
24,25000000.0,0,0.0,1644074.2123611523,2914271641,34.45407591030174,47.64240857037311,0
25,21400000.0,1,0.0,1640351.971535213,3137871641,132.5,145.0,2
26,0.0,0,0.0,1641339.3770810387,3382871641,0.0,0.0,0
27,0.0,0,0.0,1642326.7826268645,3627871641,0.0,0.0,0
28,0.0,0,0.0,1643314.1881726903,3872871641,0.0,0.0,0
29,0.0,0,0.0,1644302.5752171462,4117871641,0.0,0.0,0
30,39404076.72442943,3,0.0,1625338.0877628317,4323467564,45.64798413431146,120.0,4
31,0.0,0,0.0,1626562.6337472566,4568467564,0.0,0.0,0
32,0.0,0,0.0,1627787.1797316815,4813467564,0.0,0.0,0
33,0.0,0,0.0,1629011.7257161064,5058467564,0.0,0.0,0
34,0.0,0,0.0,1630236.271700531,5303467564,0.0,0.0,0
35,0.0,0,0.0,1631460.817684956,5548467564,0.0,0.0,0
36,0.0,0,0.0,1632685.363669381,5793467564,0.0,0.0,0
37,0.0,0,0.0,1633909.9096538054,6038467564,0.0,0.0,0
38,0.0,0,0.0,1635343.0370355984,6283467564,0.0,0.0,0
39,0.0,0,0.0,1636776.1644173914,6528467564,0.0,0.0,0
40,42592690.41359312,3,0.0,1616641.812567764,6730874873,43.521052906008094,120.0,4
41,0.0,0,0.0,1618074.9399495567,6975874873,0.0,0.0,0
42,0.0,0,0.0,1619508.0673313492,7220874873,0.0,0.0,0
43,0.0,0,0.0,1620941.1947131422,7465874873,0.0,0.0,0
44,0.0,0,0.0,1622374.322094935,7710874873,0.0,0.0,0
45,0.0,0,0.0,1623807.4494767275,7955874873,0.0,0.0,0
46,0.0,0,0.0,1625265.5542014884,8200874873,0.0,0.0,0
47,0.0,0,0.0,1626723.658926249,8445874873,0.0,0.0,0
48,0.0,0,0.0,1628181.7636510092,8690874873,0.0,0.0,0
49,39023994.95060551,3,0.0,1609879.4542659437,8896850879,45.46427157770311,120.0,4
50,0.0,0,0.0,1611337.5589907037,9141850879,0.0,0.0,0
51,0.0,0,0.0,1612795.6637154643,9386850879,0.0,0.0,0
52,0.0,0,0.0,1614253.7684402252,9631850879,0.0,0.0,0
53,0.0,0,0.0,1615711.8731649853,9876850879,0.0,0.0,0
54,0.0,0,0.0,1617169.977889746,10121850879,0.0,0.0,0
55,0.0,0,0.0,1618628.0826145066,10366850879,0.0,0.0,0
56,0.0,0,0.0,1620086.1873392672,10611850879,0.0,0.0,0
57,0.0,0,0.0,1621544.2920640276,10856850879,0.0,0.0,0
58,42310412.12790869,3,0.0,1601928.4323438602,11059540466,47.409900406407154,120.0,4
59,0.0,0,0.0,1603737.1158018874,11304540466,0.0,0.0,0
60,0.0,0,0.0,1605545.7992599143,11549540466,0.0,0.0,0
61,0.0,0,0.0,1607354.4827179415,11794540466,0.0,0.0,0
62,0.0,0,0.0,1609163.1661759685,12039540466,0.0,0.0,0
63,0.0,0,0.0,1610971.8496339957,12284540466,0.0,0.0,0
64,41130675.84174489,3,0.0,1591953.3679522506,12488409791,48.7151811466209,120.0,4
65,0.0,0,0.0,1593762.0514102774,12733409791,0.0,0.0,0
66,0.0,0,0.0,1595570.7348683043,12978409791,0.0,0.0,0
67,0.0,0,0.0,1597379.5924843363,13223409791,0.0,0.0,0
68,0.0,0,0.0,1599188.4501003681,13468409791,0.0,0.0,0
69,0.0,0,0.0,1600997.3077164001,13713409791,0.0,0.0,0
70,41130675.84174504,3,0.0,1581979.0001926592,13917279115,50.02181133284387,120.0,4
71,0.0,0,0.0,1583797.4885945788,14162279115,0.0,0.0,0
72,0.0,0,0.0,1585615.9769964977,14407279115,0.0,0.0,0
73,0.0,0,0.0,1587434.465398417,14652279115,0.0,0.0,0
74,0.0,0,0.0,1589281.115563696,14897279115,0.0,0.0,0
75,12816156.821244711,1,0.0,1588346.4816965861,15129462958,104.89997904397521,120.0,2
76,54626290.14349327,4,0.0,1569285.8123500913,15319836667,56.74573057459997,120.0,6
77,0.0,0,0.0,1571132.46251537,15564836667,0.0,0.0,0
78,0.0,0,0.0,1572979.1126806487,15809836667,0.0,0.0,0
79,0.0,0,0.0,1574825.7628459267,16054836667,0.0,0.0,0
80,0.0,0,0.0,1576734.4638496074,16299836667,0.0,0.0,0
81,0.0,0,0.0,1578643.1648532883,16544836667,0.0,0.0,0
82,43585286.67687779,3,0.0,1558481.7698834338,16746251380,52.63178540488024,120.0,4
83,0.0,0,0.0,1560390.4708871143,16991251380,0.0,0.0,0
84,0.0,0,0.0,1562299.171890795,17236251380,0.0,0.0,0
85,0.0,0,0.0,1564207.8728944755,17481251380,0.0,0.0,0
86,0.0,0,0.0,1566116.573898156,17726251380,0.0,0.0,0
87,0.0,0,0.0,1568025.2749018366,17971251380,0.0,0.0,0
88,44871972.86198286,3,0.0,1547212.3461287608,18171379408,53.945857241180875,120.0,4
89,0.0,0,0.0,1549121.047132441,18416379408,0.0,0.0,0
90,0.0,0,0.0,1551029.748136122,18661379408,0.0,0.0,0
91,0.0,0,0.0,1552938.4491398025,18906379408,0.0,0.0,0
92,0.0,0,0.0,1554847.150143483,19151379408,0.0,0.0,0
93,0.0,0,0.0,1556755.8511471637,19396379408,0.0,0.0,0
94,44871972.86198286,3,0.0,1536142.0071947332,19596507436,35.11969362406555,120.0,4
95,0.0,0,3583.526771617379,1538212.153801932,19841507436,0.0,0.0,0
96,0.0,0,5375.290157426069,1540282.3004091308,20086507436,0.0,0.0,0
97,0.0,0,7167.053543234758,1542352.4470163295,20331507436,0.0,0.0,0
98,0.0,0,8958.816929043447,1544713.6088283167,20576507436,0.0,0.0,0
99,0.0,0,10750.580314852137,1547074.7706403038,20821507436,0.0,0.0,0
100,44871972.86198286,3,0.0,1526714.302675535,21021635464,35.15237060905089,120.0,4
101,0.0,0,9737.841332895585,1529075.4644875224,21266635464,0.0,0.0,0
102,0.0,0,16125.870472278208,1531436.626299509,21511635464,0.0,0.0,0
103,0.0,0,17917.633858086898,1533797.7882556412,21756635464,0.0,0.0,0
104,0.0,0,19974.17185504186,1536188.3696130114,22001635464,0.0,0.0,0
105,0.0,0,22030.70985199682,1538578.9876658628,22246635464,0.0,0.0,0
106,56011334.50064393,4,0.0,1519076.5268639768,22435624128,56.83779920181059,120.0,7
107,13644483.471964072,1,0.0,1518506.1024966964,22666979645,61.06442221378375,120.0,1
108,0.0,0,1655.1576301575233,1520896.7205495476,22911979645,0.0,0.0,0
109,0.0,0,2482.736445236285,1523287.3386023988,23156979645,0.0,0.0,0
