t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey,q_sumsq,z_l1,z_sumsq,z_max,lyapunov,key_inflow,key_overflow,cg_iters,cg_columns,cg_converged,obj_lp,obj_greedy,key_blocked_edges
0,245000000.0,0,2109375.0,2425130.2083333335,0,0.8811589100178921,0.9476988686844755,0,0.0,2695312.5,782012939453.125,390625.0,78201293945312.5,0.0,0.0,0,0,1,0.0,0.0,0
1,245000000.0,0,1718750.0,2350260.4166666665,0,1.9895459465001724,2.1629597325192615,0,0.0,5390625.0,3128051757812.5,781250.0,312805175781250.0,0.0,0.0,0,0,1,0.0,0.0,0
2,245000000.0,0,1328125.0,2275390.625,0,3.1457070394308886,3.5047493651838613,0,0.0,8085937.5,7038116455078.125,1171875.0,703811645507812.5,0.0,0.0,0,0,1,0.0,0.0,0
3,245000000.0,0,937500.0,2200520.8333333335,0,4.403834662756154,5.131060202450719,0,0.0,10781250.0,12512207031250.0,1562500.0,1251220703125000.0,0.0,0.0,0,0,1,0.0,0.0,0
4,245000000.0,0,546875.0,2126059.3969475366,0,4.631164212216352,7.650467716176135,0,0.0,13461861.709888685,19510180041674.977,1953125.0,1951018004167497.8,14700.790111313656,8.185452315956354e-11,0,0,1,0.0,0.0,0
5,245000000.0,0,156250.0,2051597.96056174,0,8.30059080182285,17.71860095389507,0,0.0,16142473.419777373,28056207998436.902,2343750.0,2805620799843690.0,14700.790111313656,8.185452315956354e-11,0,0,1,0.0,0.0,0
6,185000000.0,1,0.0,2003178.1908426094,60000000,44.910543066167286,126.0,4,3600000000000000.0,17885585.12966606,33253400832082.79,2500000.0,5125340083208279.0,14700.790111313656,4.092726157978177e-11,0,0,1,0.0,0.0,0
7,305000000.0,0,0.0,1902675.087790146,0,7.3910204286761925,10.194888178913738,0,0.0,21503696.839554746,38891680726249.88,2500000.0,3889168072624988.5,14700.790111313656,4.18367562815547e-11,0,0,1,0.0,0.0,0
8,245000000.0,0,0.0,1828355.030485164,0,10.49385880093021,33.27646129541864,0,0.0,24179218.902534094,45581531406492.586,2500000.0,4558153140649259.0,19790.437020651934,1.8189894035458565e-12,0,0,1,0.0,0.0,0
9,125000000.0,1,0.0,1801778.0287357378,120000000,23.589683184311493,129.0,1,1.04e+16,25135990.96551344,48433911472271.31,2500000.0,1.0043391147227132e+16,19790.437020651934,0.0,0,0,1,0.0,0.0,0
10,105000000.0,0,0.0,1779591.3218964892,260000000,7.828533545118927,15.672753057968446,0,4.36e+16,25935162.56591798,50911486131696.734,2500000.0,2.689114861316967e+16,21591.05378706404,2.2168933355715126e-10,0,0,1,0.0,0.0,0
11,105000000.0,0,0.0,1757404.6150572412,400000000,10.45930132113986,23.71860095389507,0,1e+17,26734334.16632252,53628563988509.875,2500000.0,5.536285639885099e+16,21591.05378706404,2.2714630176778883e-10,0,0,1,0.0,0.0,0
12,95000000.0,1,0.0,1737388.0471068819,550000000,35.45270880403448,132.0,2,1.797e+17,27455380.766727056,56194549443990.97,2500000.0,9.54694549443991e+16,21591.05378706404,2.353317540837452e-10,0,0,1,0.0,0.0,0
13,55000000.0,0,0.0,1726157.9402191157,740000000,5.264411524883084,14.763960090402955,0,2.86e+17,27862021.06800492,57342466791661.42,2500000.0,1.4873424667916614e+17,25403.65204041544,6.832578947069123e-10,0,0,1,0.0,0.0,0
14,55000000.0,0,0.0,1714927.8333313493,930000000,5.766013580871716,15.930210815212474,0,4.205e+17,28268661.369282786,58580721610943.734,2500000.0,2.1610807216109437e+17,25403.65204041544,6.834852683823556e-10,0,0,1,0.0,0.0,0
15,82792212.04614016,2,0.0,1688619.4864011896,1092207788,34.40685558725806,120.0,3,5.7191347446582995e+17,29217165.162523486,60851374920221.36,2500000.0,2.920418747249371e+17,25403.65204041544,6.095888238633052e-10,0,0,1,0.0,0.0,0
16,55000000.0,0,0.0,1677389.3795134232,1282207788,7.042650119189303,18.378563199167502,0,7.603121753816773e+17,29622852.31423801,62268592544337.0,2500000.0,3.863829469452724e+17,25403.65204041544,6.095888238633052e-10,0,0,1,0.0,0.0,0
17,55000000.0,0,0.0,1666159.272625657,1472207788,7.950660567414948,19.691110924228408,0,9.769108762975247e+17,30028539.465952534,63776149457052.68,2500000.0,4.9483305309446765e+17,25403.65204041544,5.524043444893323e-10,0,0,1,0.0,0.0,0
18,55000000.0,0,0.0,1654929.1657378909,1662207788,9.284339685546216,21.098223362540544,0,1.2217095772133722e+18,30434226.61766706,65374045658368.39,2500000.0,6.173921931725229e+17,25403.65204041544,5.551328285946511e-10,0,0,1,0.0,0.0,0
19,55000000.0,0,0.0,1643699.0588501245,1852207788,11.779515138437343,22.650467716176134,0,1.4947082781292196e+18,30839913.769381586,67062281148284.13,2500000.0,7.540603671794382e+17,25403.65204041544,5.524043444893323e-10,0,0,1,0.0,0.0,0
20,55000000.0,0,0.0,1632468.9519623583,2042207788,21.892725528743593,41.93953884350227,1,1.7959069790450668e+18,31245600.921096113,68840855926799.914,2500000.0,9.048375751152133e+17,25403.65204041544,5.660467650159262e-10,0,0,1,0.0,0.0,0
21,55000000.0,0,0.0,1614728.4284079252,2232207788,25.898169985204746,120.0,1,2.1253056799609142e+18,31884259.769055698,70398907400052.34,2500000.0,1.0696927307204623e+18,25403.65204041544,5.680931280949153e-10,0,0,1,0.0,0.0,0
22,25000000.0,0,0.0,1610008.738186826,2452207788,18.757980591709767,29.84602182174819,0,2.4838043808767616e+18,32054168.617015284,71145064546086.12,2500000.0,1.2490166968929894e+18,25403.65204041544,5.762785804108717e-10,0,0,1,0.0,0.0,0
23,25000000.0,0,0.0,1605289.0479657261,2672207788,23.9735578982857,35.71860095389507,0,2.872303081792609e+18,32224077.464974865,71929397543056.9,2500000.0,1.4433444806506102e+18,25403.65204041544,5.524043444893323e-10,0,0,1,0.0,0.0,0
24,25000000.0,0,0.0,1600569.3577446267,2892207788,43.8527676023903,57.560566334556896,0,3.2908017827084564e+18,32393986.31293445,72751906390964.66,2500000.0,1.6526760819933248e+18,25403.65204041544,5.524043444893323e-10,0,0,1,0.0,0.0,0
25,15000000.0,1,0.0,1598023.666655929,3122207788,132.5,145.0,2,3.7394004836243036e+18,32485631.192127556,73219192161746.72,2500000.0,1.8770221610283264e+18,25542.620806895018,3.112745616817847e-10,0,0,1,0.0,0.0,0
26,27864935.325077925,2,0.0,1583615.4889542337,3339342852,52.252343141036974,120.0,3,4.180897281233333e+18,33004325.58938859,74105002044927.23,2500000.0,2.0978591408211594e+18,25542.620806895018,3.1172930903267115e-10,0,0,1,0.0,0.0,0
27,0.0,0,0.0,1584325.006252431,3584342852,0.0,0.0,0,4.689263137969923e+18,32978782.966653485,73992695471385.84,2500000.0,2.3520308385321e+18,25542.62273510447,3.4297273094480163e-10,0,0,1,0.0,0.0,0
28,0.0,0,0.0,1585076.5501265393,3829342852,0.0,0.0,0,5.228878994706514e+18,32951727.38718559,73873083017955.6,2500000.0,2.6218268056550523e+18,27055.579467896816,3.4297273094480163e-10,0,0,1,0.0,0.0,0
29,0.0,0,0.0,1585828.0940006473,4074342852,0.0,0.0,0,5.799744851443104e+18,32924671.807717692,73753706907174.67,2500000.0,2.9072477964122696e+18,27055.579467896816,3.4297273094480163e-10,0,0,1,0.0,0.0,0
30,13185413.255592098,1,0.0,1583718.2200675523,4306157439,120.0,120.0,2,6.394914440144395e+18,33000627.269309107,74143809903508.62,2500000.0,3.2048716010625485e+18,27055.579467896816,3.4297273094480163e-10,0,0,1,0.0,0.0,0
31,0.0,0,0.0,1584469.7639416608,4551157439,0.0,0.0,0,7.02748917208565e+18,32973571.689841207,74024256131351.86,2500000.0,3.5211470116559606e+18,27055.579467896816,3.4297273094480163e-10,0,0,1,0.0,0.0,0
32,0.0,0,0.0,1585221.307815769,4796157439,0.0,0.0,0,7.691313904026905e+18,32946516.11037331,73904938701844.44,2500000.0,3.8530474458836367e+18,27055.579467896816,3.4297273094480163e-10,0,0,1,0.0,0.0,0
33,0.0,0,0.0,1585972.9708768865,5041157439,0.0,0.0,0,8.38638863596816e+18,32919456.24017308,73785844288569.47,2500000.0,4.2005729024129367e+18,27059.870200232133,3.462696492387285e-10,0,0,1,0.0,0.0,0
34,0.0,0,0.0,1586724.6339380043,5286157439,0.0,0.0,0,9.112713367909415e+18,32892396.369972844,73666986225685.36,2500000.0,4.563723382577276e+18,27059.870200232133,3.462696492387285e-10,0,0,1,0.0,0.0,0
35,0.0,0,0.0,1587476.2969991218,5531157439,0.0,0.0,0,9.87028809985067e+18,32865336.499772612,73548364513192.14,2500000.0,4.942498886376654e+18,27059.870200232133,3.462696492387285e-10,0,0,1,0.0,0.0,0
36,27074685.54261126,2,0.0,1573539.0030601246,5749082755,54.67369688448083,120.0,3,1.0598443727250383e+19,33367079.081576504,74448583000880.8,2500000.0,5.30666672192528e+18,27059.870200232133,3.462696492387285e-10,0,0,1,0.0,0.0,0
37,0.0,0,0.0,1574347.380017081,5994082755,0.0,0.0,0,1.1416081737492804e+19,33337977.511126082,74324365456458.47,2500000.0,5.715473305292047e+18,29101.57045042132,1.327657679975336e-10,0,0,1,0.0,0.0,0
38,0.0,0,0.0,1575155.7569740368,6239082755,0.0,0.0,0,1.2264969747735222e+19,33308875.94067566,74200394411577.81,2500000.0,6.139904913308769e+18,29101.57045042132,1.327657679975336e-10,0,0,1,0.0,0.0,0
39,0.0,0,0.0,1575964.1339309933,6484082755,0.0,0.0,0,1.3145107757977643e+19,33279774.37022524,74076669866238.81,2500000.0,6.579961545975446e+18,29101.57045042132,1.327657679975336e-10,0,0,1,0.0,0.0,0
40,13634172.00220434,1,0.0,1570854.9015119923,6715448583,30.80139380189058,120.0,1,1.404149824716823e+19,33463706.73730926,74366030761561.92,2500000.0,7.028185726660271e+18,29101.57045042132,1.327657679975336e-10,0,0,1,0.0,0.0,0
41,0.0,0,0.0,1571663.2784689488,6960448583,0.0,0.0,0,1.4983318207090516e+19,33434605.166858837,74241976159692.5,2500000.0,7.499083301161227e+18,29101.57045042132,1.3231102064664713e-10,0,0,1,0.0,0.0,0
42,0.0,0,0.0,1572601.1678409528,7205448583,0.0,0.0,0,1.5956388167012805e+19,33402006.761202127,74111213998131.89,2500000.0,7.985605204906215e+18,33764.017392138856,1.3231102064664713e-10,0,0,1,0.0,0.0,0
43,0.0,0,0.0,1573539.0572129567,7450448583,0.0,0.0,0,1.6960708126935091e+19,33369408.355545416,73980706488017.27,2500000.0,8.487752134116347e+18,33764.017392138856,1.323110223813706e-10,0,0,1,0.0,0.0,0
44,0.0,0,0.0,1574476.9465849602,7695448583,0.0,0.0,0,1.799627808685738e+19,33336809.949888702,73850453629348.6,2500000.0,9.005524088791625e+18,33764.017392138856,1.323110223813706e-10,0,0,1,0.0,0.0,0
45,0.0,0,0.0,1575414.8359569642,7940448583,0.0,0.0,0,1.9063098046779666e+19,33304211.544231992,73720455422125.9,2500000.0,9.538921068932045e+18,33764.017392138856,1.3253839605681383e-10,0,0,1,0.0,0.0,0
46,27268344.00440868,2,0.0,1561558.7018890763,8158180239,45.895849596830615,120.0,3,2.0076264363820184e+19,33804197.98241139,74663958264700.98,2500000.0,1.0045598577736563e+19,33764.017392138856,1.3356157759630838e-10,0,0,1,0.0,0.0,0
47,0.0,0,0.0,1562496.5912610802,8403180239,0.0,0.0,0,2.120313017278207e+19,33771599.57675468,74532235451749.98,2500000.0,1.060901830993621e+19,33764.017392138856,1.3458475913580292e-10,0,0,1,0.0,0.0,0
48,0.0,0,0.0,1563434.480633084,8648180239,0.0,0.0,0,2.2361245981743964e+19,33739001.17109797,74400767290244.95,2500000.0,1.1188063067601007e+19,33764.017392138856,1.3458475913580292e-10,0,0,1,0.0,0.0,0
49,0.0,0,0.0,1564372.3700050877,8893180239,0.0,0.0,0,2.3550611790705857e+19,33706402.76544126,74269553780185.9,2500000.0,1.1782732850730947e+19,33764.017392138856,1.343573854603597e-10,0,0,1,0.0,0.0,0
50,13634172.00220434,1,0.0,1559392.650001135,9124546067,30.823741182181173,120.0,1,2.474842135670696e+19,33886838.29731899,74565895035826.39,2500000.0,1.2381667267857062e+19,33764.017392138856,1.3458475913580292e-10,0,0,1,0.0,0.0,0
51,0.0,0,0.0,1560330.5393731387,9369546067,0.0,0.0,0,2.599946911534872e+19,33854239.89166228,74434367773045.53,2500000.0,1.3007177994451665e+19,33764.017392138856,1.3458475913580292e-10,0,0,1,0.0,0.0,0
52,0.0,0,0.0,1561268.4287451426,9614546067,0.0,0.0,0,2.728176687399048e+19,33821641.48600557,74303095161710.64,2500000.0,1.3648313746511411e+19,33764.017392138856,1.3685849589023524e-10,0,0,1,0.0,0.0,0
