t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey
0,245000000.0,0,2334375.0,2660980.902777778,0,0.7964987229967943,0.8563935128191404,0
1,245000000.0,0,2143750.0,2796961.8055555555,0,1.8051493692225913,1.93250961650542,0
2,245000000.0,0,1953125.0,2932942.7083333335,0,2.8185597193609215,3.0234759802980875,0
3,245000000.0,0,1762500.0,3068923.611111111,0,3.837977904954242,4.134108307343351,0
4,245000000.0,0,1571875.0,3204904.513888889,0,4.865296786758442,5.271556862433442,0
5,245000000.0,0,1381250.0,3340885.4166666665,0,5.903491764665019,6.446916259721469,0
6,245000000.0,0,1190625.0,3476866.3194444445,0,6.9574802016480195,7.678380362949754,0
7,245000000.0,0,1000000.0,3612847.222222222,0,8.035964152958949,8.998001998001998,0
8,245000000.0,0,809375.0,3748828.125,0,9.155875202702008,10.467993213018664,0
9,245000000.0,0,618750.0,3884816.7161233705,0,8.718657572959515,12.227107704719645,0
10,245000000.0,0,428125.0,4020815.982731743,0,9.011090968810844,14.66064666472473,0
11,245000000.0,0,237500.0,4156815.249340115,0,10.746584449477695,19.38574423480084,0
12,245000000.0,0,46875.0,4206048.127326742,0,20.341754999681992,53.775456919060055,3
13,208200000.0,1,0.0,4215204.384392593,36800000,42.62850801876744,133.0,3
14,196200000.0,1,0.0,4228266.891458445,85600000,43.34944963722896,134.0,3
15,196200000.0,1,0.0,4241329.3985242965,134400000,44.07064255555307,135.0,3
16,196200000.0,1,0.0,4254391.905590149,183200000,41.88298003466829,136.0,3
17,196200000.0,1,0.0,4267454.412655999,232000000,41.21672210980188,137.0,3
18,196200000.0,1,0.0,4280516.919721851,280800000,40.4469011837765,138.0,3
19,196200000.0,1,0.0,4293579.426787703,329600000,39.98886285097001,139.0,3
20,196200000.0,1,0.0,4306643.223862,378400000,39.743233654075695,140.0,3
21,196200000.0,1,0.0,4319707.020936298,427200000,39.648830025904736,141.0,3
22,196200000.0,1,0.0,4332770.818010595,476000000,39.66591866773228,142.0,3
23,196200000.0,1,0.0,4341419.523216471,524800000,39.76875598438476,143.0,3
24,196200000.0,1,0.0,4348794.989311258,573600000,39.93755051689655,144.0,3
25,196200000.0,1,0.0,4356170.455406046,622400000,40.15830659604564,145.0,3
26,196200000.0,1,0.0,4363709.794374691,671200000,35.693583693428735,146.0,3
27,196200000.0,1,0.0,4371249.133343335,720000000,35.80853288165095,147.0,3
28,196200000.0,1,0.0,4376112.107445639,768800000,35.95253978498811,148.0,3
29,196200000.0,1,0.0,4378980.600158725,817600000,36.12077524160304,149.0,2
30,196200000.0,1,0.0,4381849.09287181,866400000,36.309033121132074,150.0,2
31,196200000.0,1,0.0,4385012.784259856,915200000,36.51410439100666,151.0,2
32,196200000.0,1,0.0,4388176.475647903,964000000,36.73387077182249,152.0,2
33,196200000.0,1,0.0,4391340.167035949,1012800000,36.9663678769913,153.0,2
34,196200000.0,1,0.0,4394503.858423997,1061600000,37.20996688547532,154.0,2
35,196200000.0,1,0.0,4397667.549812043,1110400000,37.46330580585706,155.0,2
36,196200000.0,1,0.0,4400831.241200089,1159200000,37.72523697198116,156.0,2
37,196200000.0,1,0.0,4403994.932588135,1208000000,37.99478646761753,157.0,2
38,196200000.0,1,0.0,4407419.350722892,1256800000,31.3620315243703,158.0,2
39,196200000.0,1,0.0,4410843.768857649,1305600000,29.74911909439711,159.0,2
40,196200000.0,1,0.0,4414268.186992406,1354400000,26.895088151042355,160.0,2
41,196200000.0,1,0.0,4417692.605127162,1403200000,25.487613994389974,161.0,2
42,196200000.0,1,0.0,4421117.023261918,1452000000,24.67929140178843,162.0,2
43,196200000.0,1,0.0,4424541.441396675,1500800000,24.177546656385097,163.0,1
44,196200000.0,1,0.0,4427965.859531431,1549600000,23.854302683802192,164.0,1
45,196200000.0,1,0.0,4431390.277666189,1598400000,23.644542980966108,165.0,1
46,196200000.0,1,0.0,4434867.7979315845,1647200000,23.511664109804407,166.0,1
47,196200000.0,1,0.0,4438345.318196981,1696000000,23.433535027306103,167.0,1
48,196200000.0,1,0.0,4441822.838462378,1744800000,23.395904498340965,168.0,1
49,196200000.0,1,0.0,4445300.358727773,1793600000,23.38917887326056,169.0,1
50,196200000.0,1,0.0,4448777.87899317,1842400000,23.406651238524788,170.0,1
51,196200000.0,1,0.0,4451069.283282472,1891200000,23.443810826846615,171.0,1
