t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey
0,245000000.0,0,2334375.0,2660980.902777778,0,0.7964987229967943,0.8563935128191404,0
1,245000000.0,0,2143750.0,2796961.8055555555,0,1.8051493692225913,1.93250961650542,0
2,245000000.0,0,1953125.0,2932942.7083333335,0,2.8185597193609215,3.0234759802980875,0
3,245000000.0,0,1762500.0,3068923.611111111,0,3.837977904954242,4.134108307343351,0
4,245000000.0,0,1571875.0,3204904.513888889,0,4.865296786758442,5.271556862433442,0
5,245000000.0,0,1381250.0,3340885.4166666665,0,5.903491764665019,6.446916259721469,0
6,245000000.0,0,1190625.0,3476866.3194444445,0,6.9574802016480195,7.678380362949754,0
7,245000000.0,0,1000000.0,3612847.222222222,0,8.035964152958949,8.998001998001998,0
8,245000000.0,0,809375.0,3748828.125,0,9.155875202702008,10.467993213018664,0
9,245000000.0,0,618750.0,3885122.0460204687,0,8.718561112166874,12.227107704719645,0
10,245000000.0,0,428125.0,4021807.3895754167,0,9.007550807940401,14.66064666472473,0
11,245000000.0,0,237500.0,4158492.7331303637,0,10.725057148102707,19.38574423480084,0
12,245000000.0,0,46875.0,4206865.783958097,0,19.88677066383409,53.775456919060055,2
13,208200000.0,1,0.0,4216191.329284918,36800000,42.628096743454556,133.0,3
14,196200000.0,1,0.0,4229423.124611739,85600000,42.20769396033071,134.0,3
15,196200000.0,1,0.0,4242654.919938561,134400000,41.374400221556826,135.0,3
16,196200000.0,1,0.0,4255985.947534321,183200000,38.05900055661702,136.0,3
17,196200000.0,1,0.0,4269316.975130081,232000000,37.74334408500796,137.0,3
18,196200000.0,1,0.0,4282648.0027258415,280800000,37.61217124442671,138.0,3
19,196200000.0,1,0.0,4295979.030321602,329600000,37.61171422809136,139.0,3
20,196200000.0,1,0.0,4309329.177333508,378400000,37.70725383544989,140.0,3
21,196200000.0,1,0.0,4322679.324345412,427200000,37.87538751588866,141.0,3
22,196200000.0,1,0.0,4335556.270050349,476000000,38.09987961622673,142.0,3
23,196200000.0,1,0.0,4343783.880571286,524800000,38.37005280259087,143.0,3
24,196200000.0,1,0.0,4351360.449425558,573600000,38.676086509396406,144.0,2
25,196200000.0,1,0.0,4358937.018279829,622400000,39.011240979564256,145.0,2
26,196200000.0,1,0.0,4366513.5871341,671200000,34.643199690129975,146.0,2
27,196200000.0,1,0.0,4374090.15598837,720000000,34.84074895417257,147.0,2
28,196200000.0,1,0.0,4378591.159538981,768800000,35.05614434036517,148.0,2
29,196200000.0,1,0.0,4381576.291033896,817600000,35.28640986799587,149.0,2
30,196200000.0,1,0.0,4384561.422528812,866400000,35.529102500793876,150.0,2
31,196200000.0,1,0.0,4387547.92544981,915200000,35.7825508330664,151.0,2
32,196200000.0,1,0.0,4390534.42837081,964000000,36.04537272962264,152.0,2
33,196200000.0,1,0.0,4393520.93129181,1012800000,36.31641257470191,153.0,2
34,196200000.0,1,0.0,4396507.4342128085,1061600000,36.5946974765926,154.0,2
35,196200000.0,1,0.0,4399493.937133809,1110400000,36.879402513145834,155.0,2
36,196200000.0,1,0.0,4402480.440054809,1159200000,37.16982361982003,156.0,2
37,196200000.0,1,0.0,4405466.942975808,1208000000,37.46535622882395,157.0,2
38,196200000.0,1,0.0,4408505.5912461495,1256800000,30.856387375549627,158.0,2
39,196200000.0,1,0.0,4411544.239516491,1305600000,30.978827533457867,159.0,2
40,196200000.0,1,0.0,4414582.887786833,1354400000,31.105008697257833,160.0,2
41,196200000.0,1,0.0,4417621.536057174,1403200000,31.234584511696166,161.0,2
42,196200000.0,1,0.0,4420660.184327516,1452000000,31.367250197571078,162.0,2
43,196200000.0,1,0.0,4423698.832597856,1500800000,31.502736490607695,163.0,2
44,196200000.0,1,0.0,4426737.480868199,1549600000,31.64080461088378,164.0,2
45,196200000.0,1,0.0,4429776.1291385405,1598400000,31.781242063998153,165.0,2
46,196200000.0,1,0.0,4432814.779158183,1647200000,31.174993690335928,166.0,2
47,196200000.0,1,0.0,4435853.429177826,1696000000,30.354983946013316,167.0,2
48,196200000.0,1,0.0,4438892.079197469,1744800000,29.7041183924414,168.0,2
49,196200000.0,1,0.0,4441930.729217112,1793600000,29.182215318225154,169.0,2
50,196200000.0,1,0.0,4443816.892293808,1842400000,28.761261244866127,170.0,2
51,196200000.0,1,0.0,4445413.643994866,1891200000,28.420454935263738,171.0,2
