t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey
0,245000000.0,0,2334375.0,2660980.902777778,0,0.7964987229967943,0.8563935128191404,0
1,245000000.0,0,2143750.0,2796961.8055555555,0,1.8051493692225913,1.93250961650542,0
2,245000000.0,0,1953125.0,2932942.7083333335,0,2.8185597193609215,3.0234759802980875,0
3,245000000.0,0,1762500.0,3068923.611111111,0,3.837977904954242,4.134108307343351,0
4,245000000.0,0,1571875.0,3204904.513888889,0,4.865296786758442,5.271556862433442,0
5,245000000.0,0,1381250.0,3340885.4166666665,0,5.903491764665019,6.446916259721469,0
6,245000000.0,0,1190625.0,3476866.3194444445,0,6.9574802016480195,7.678380362949754,0
7,245000000.0,0,1000000.0,3612847.222222222,0,8.035964152958949,8.998001998001998,0
8,245000000.0,0,809375.0,3748828.125,0,9.155875202702008,10.467993213018664,0
9,245000000.0,0,618750.0,3885087.585638823,0,8.718571990658548,12.227107704719645,0
10,245000000.0,0,428125.0,4023304.15895004,0,8.994316132338035,14.66064666472473,0
11,245000000.0,0,237500.0,4161520.7322612554,0,10.648850460362858,19.38574423480084,0
12,245000000.0,0,46875.0,4208049.69424819,0,18.531724951917298,53.775456919060055,2
13,208200000.0,1,0.0,4217827.995368616,36800000,34.0768784477705,133.0,2
14,196200000.0,1,0.0,4231512.546489041,85600000,34.30368870389488,134.0,2
15,196200000.0,1,0.0,4245197.097609466,134400000,34.70194526289103,135.0,2
16,196200000.0,1,0.0,4259831.785610785,183200000,32.28605068744826,136.0,2
17,196200000.0,1,0.0,4274466.473612105,232000000,32.65622958067959,137.0,2
18,196200000.0,1,0.0,4289101.161613424,280800000,33.06517046317283,138.0,2
19,196200000.0,1,0.0,4303735.849614743,329600000,33.50103186846195,139.0,2
20,196200000.0,1,0.0,4318450.079526658,378400000,33.956331952294256,140.0,2
21,196200000.0,1,0.0,4333164.309438573,427200000,34.4261851434653,141.0,2
22,196200000.0,1,0.0,4347435.315637603,476000000,34.90732886568928,142.0,2
23,196200000.0,1,0.0,4357005.412906737,524800000,35.39848875016934,143.0,2
24,196200000.0,1,0.0,4365924.468509205,573600000,35.896776926148455,144.0,2
25,196200000.0,1,0.0,4374843.524111671,622400000,36.40070810149932,145.0,2
26,196200000.0,1,0.0,4382086.116409746,671200000,32.182448882461806,146.0,2
27,196200000.0,1,0.0,4388393.629223403,720000000,32.51375002070361,147.0,2
28,196200000.0,1,0.0,4393240.054948494,768800000,32.84868798539915,148.0,2
29,196200000.0,1,0.0,4397166.510976286,817600000,33.186613031094964,149.0,2
30,196200000.0,1,0.0,4401092.967004078,866400000,33.526880535041116,150.0,2
31,196200000.0,1,0.0,4405314.621706831,915200000,33.86895015213606,151.0,2
32,196200000.0,1,0.0,4409536.276409584,964000000,34.21278800689602,152.0,2
33,196200000.0,1,0.0,4413757.931112338,1012800000,34.55817475135339,153.0,2
34,196200000.0,1,0.0,4417979.585815091,1061600000,34.90492629507858,154.0,2
35,196200000.0,1,0.0,4422201.2405178435,1110400000,35.25288697348006,155.0,2
36,196200000.0,1,0.0,4426422.895220598,1159200000,35.60192424663875,156.0,2
37,196200000.0,1,0.0,4430644.54992335,1208000000,35.951924542943985,157.0,2
38,196200000.0,1,0.0,4435126.931372814,1256800000,29.393699059955825,158.0,2
39,196200000.0,1,0.0,4439609.312822278,1305600000,27.85002470909907,159.0,2
40,196200000.0,1,0.0,4444091.69427174,1354400000,25.06048419986921,160.0,2
41,196200000.0,1,0.0,4448574.075721203,1403200000,23.713224601899142,161.0,2
42,196200000.0,1,0.0,4453056.457170667,1452000000,22.961252014746034,162.0,2
43,196200000.0,1,0.0,4457538.83862013,1500800000,22.512352972423606,163.0,1
44,196200000.0,1,0.0,4462021.220069593,1549600000,22.238767263948244,164.0,1
45,196200000.0,1,0.0,4466503.601519056,1598400000,22.075758199710254,165.0,1
46,196200000.0,1,0.0,4471017.204647229,1647200000,21.986994005458833,166.0,1
47,196200000.0,1,0.0,4475530.8077754015,1696000000,21.950540360428732,167.0,1
48,196200000.0,1,0.0,4480044.410903575,1744800000,21.95234292071516,168.0,1
49,196200000.0,1,0.0,4484155.50063044,1793600000,21.983096222331678,169.0,1
50,196200000.0,1,0.0,4487344.415560276,1842400000,22.036391451705203,170.0,1
51,196200000.0,1,0.0,4489590.042822118,1891200000,22.107534982935054,171.0,1
