t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey,q_sumsq,z_l1,z_sumsq,z_max,lyapunov,key_inflow,key_overflow
0,0.0,0,2500000.0,2500000.0,245000000,0.0,0.0,0,1.5625e+16,0.0,0.0,0.0,7812500000000000.0,7200000.0,0.0
1,0.0,0,2500000.0,2500000.0,490000000,0.0,0.0,0,6.25e+16,0.0,0.0,0.0,3.125e+16,7200000.0,0.0
2,0.0,0,2500000.0,2500000.0,735000000,0.0,0.0,0,1.40625e+17,0.0,0.0,0.0,7.03125e+16,7200000.0,0.0
3,0.0,0,2500000.0,2500000.0,980000000,0.0,0.0,0,2.5e+17,0.0,0.0,0.0,1.25e+17,7200000.0,0.0
4,0.0,0,2500000.0,2500014.364565372,1225000000,0.0,0.0,0,3.90625e+17,0.0,0.0,0.0,1.953125e+17,7200517.124353389,0.0
5,0.0,0,2500000.0,2500028.729130744,1470000000,0.0,0.0,0,5.625e+17,0.0,0.0,0.0,2.8125e+17,7200517.124353389,0.0
6,0.0,0,2500000.0,2500043.0936961155,1715000000,0.0,0.0,0,7.65625e+17,0.0,0.0,0.0,3.828125e+17,7200517.124353389,0.0
7,0.0,0,2500000.0,2500057.458261488,1960000000,0.0,0.0,0,1e+18,0.0,0.0,0.0,5e+17,7200517.124353389,0.0
8,0.0,0,2500000.0,2500249.7558064084,2205000000,0.0,0.0,0,1.265625e+18,0.0,0.0,0.0,6.328125e+17,7206922.711617138,0.0
9,0.0,0,2500000.0,2500442.0533513287,2450000000,0.0,0.0,0,1.5625e+18,0.0,0.0,0.0,7.8125e+17,7206922.711617138,0.0
10,640000000.0,1,0.0,2224161.018053036,2055000000,122.5,130.0,4,8.92225e+17,9184798.639780346,21090217561185.188,2300000.0,4.482215217561185e+17,7253882.729261473,9.458744898438454e-11
11,0.0,0,200000.0,2247879.9827547437,2300000000,0.0,0.0,0,1.1236e+18,8369597.2795606945,17512883846937.273,2100000.0,5.635512883846937e+17,7253882.729261473,7.275957614183426e-11
12,0.0,0,400000.0,2271598.9474564516,2545000000,0.0,0.0,0,1.386225e+18,7554395.919341042,14267998857256.26,1900000.0,6.945392998857256e+17,7253882.729261473,7.09405867382884e-11
13,420000000.0,0,600000.0,2204173.078497069,2370000000,2.3100134137062796,2.3245434676341734,0,1.5037e+18,9618704.884166915,15501353930256.521,1700000.0,7.534001353930257e+17,7253918.717462234,5.444746875582496e-10
14,0.0,0,800000.0,2239004.153982131,2615000000,0.0,0.0,0,1.803625e+18,8401763.848992787,11845254677191.174,1500000.0,9.029970254677192e+17,7253918.717462234,5.047624540566176e-10
15,0.0,0,1000000.0,2273835.229467193,2860000000,0.0,0.0,0,2.1348e+18,7184822.813818659,8683001879310.216,1300000.0,1.068268300187931e+18,7253918.717462234,4.862670266447822e-10
16,0.0,0,1200000.0,2308666.3049522555,3105000000,0.0,0.0,0,2.497225e+18,5967881.778644531,6014595536613.65,1100000.0,1.2492139595536614e+18,7253918.717462234,4.862670266447822e-10
17,358400000.0,1,0.0,2187941.824881762,2991600000,92.64153634227476,137.0,3,2.18786256e+18,10350940.743470402,21419525180181.254,2300000.0,1.0960732325180182e+18,7253918.717462234,4.862670266447822e-10
18,150000000.0,0,200000.0,2190220.81703349,3086600000,1.557428920208371,1.5692533279146952,0,2.51860756e+18,10305874.708296275,19163376201277.29,2100000.0,1.2612201176201277e+18,7253918.717462234,4.917239948554197e-10
19,0.0,0,400000.0,2225051.8925185525,3331600000,0.0,0.0,0,2.89410256e+18,9088933.673122147,15223156733931.59,1900000.0,1.4485735956733932e+18,7253918.717462234,4.862670266447822e-10
