t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey,q_sumsq,z_l1,z_sumsq,z_max,lyapunov,key_inflow,key_overflow,cg_iters,cg_columns,cg_converged,obj_lp,obj_greedy,key_blocked_edges
0,1960000000.0,0,0.0,1905381.9444444445,0,13.511688175234829,120.0,2,0.0,17806250.0,23773710937500.0,2300000.0,2377371093750000.0,7200000.0,0.0,3,7,1,9.997949287644942e+17,8.718243679968013e+17,2
1,1691200000.0,1,0.0,1373784.7222222222,268800000,30.780917294670562,121.0,5,7.225344e+16,33143750.0,47011601562500.0,2300000.0,4.082788015625e+16,7200000.0,0.0,2,13,1,7.839274378329498e+17,7.431763653633088e+17,5
2,1262400000.0,1,0.0,1151983.7962962962,966400000,38.129630520366206,122.0,6,9.3392896e+17,39218750.0,62966914062500.0,2300000.0,4.7326117140625e+17,7200000.0,0.0,2,16,1,4.671947071047531e+17,3.898247549309187e+17,6
3,1198400000.0,2,0.0,933581.0185185184,1728000000,55.14215810019076,123.0,8,2.772992e+18,45881250.0,76602304687500.0,2300000.0,1.39415623046875e+18,7200000.0,0.0,2,19,1,5.129836061816212e+17,4.0251661417966784e+17,8
4,964800000.0,2,0.0,855028.534719755,2723200000,61.50368279094979,124.0,12,5.70790912e+18,48709139.41675548,88352357620283.62,2300000.0,2.8627897957620285e+18,7209610.583244515,1.1641532182693481e-10,3,21,1,4.969646579596363e+17,3.1110520220279494e+17,9
5,785600000.0,3,0.0,778978.2383197352,3897600000,67.96077666905508,125.0,15,9.82536192e+18,51275973.541888714,94775566778613.14,2300000.0,4.922158516677861e+18,7209610.583244515,8.640199666842818e-11,1,20,1,5.419360692955309e+17,3.253821896038743e+17,12
6,747200000.0,3,0.0,752081.6040555415,5110400000,68.18945486995902,126.0,18,1.518646272e+19,52244252.37539969,100033719684367.1,2300000.0000000005,7.603234731968436e+18,7209610.583244515,8.640199666842818e-11,3,23,1,6.497496334282235e+17,3.5789756729770816e+17,15
7,695160888.8888888,4,0.0,678006.7657080097,6375239111,66.40638522099252,127.0,17,2.1795394149085233e+19,54910946.55591083,106048556630589.56,2300000.0,1.0908301930205676e+19,7209610.583244515,2.4692781153135e-10,2,25,1,7.615313214758778e+17,4.107127417139589e+17,14
8,609600000.0,4,0.0,663695.1492647489,7725639111,80.6557532022842,128.0,18,2.967999499246301e+19,55426164.74786822,107256903070302.78,2300000.0,1.4850723186538537e+19,7209781.808042611,5.820766091346741e-11,2,26,1,8.706204030529978e+17,4.4338037002537734e+17,14
9,555200000.0,5,0.0,683237.6994881547,9130439111,86.77360439145693,129.0,22,3.885054527584079e+19,54722632.93982561,107125792494822.69,2300000.000000001,1.943598521716988e+19,7209781.808042611,0.0,2,26,1,9.981141253058518e+17,5.033596469051804e+17,18
10,512000000.0,5,0.0,716842.7730769744,10578439111,83.03915492166131,130.0,25,4.932127091921857e+19,53512850.29062809,106067007720189.77,2300000.000000001,2.4671242160381305e+19,7209782.64919751,0.0,2,26,1,1.1334536076001647e+18,5.668501080944403e+17,16
11,512000000.0,5,0.0,728361.4887299617,12026439111,74.48967077244944,131.0,24,6.109403816259635e+19,53098176.52712056,104776743109993.06,2300000.000000001,3.0557496755609174e+19,7209782.64919751,2.9103830456733704e-11,1,26,1,1.2817855930184968e+18,6.409859160944403e+17,16
12,512000000.0,5,0.0,728701.1698906732,13474439111,69.62132432964769,132.0,23,7.416884700597412e+19,53085948.00533495,103601229959211.33,2300000.000000001,3.7094783625982984e+19,7209782.64919751,2.9103830456733704e-11,2,28,1,1.4300577413655094e+18,7.15129759599613e+17,16
13,513721107.32782763,5,0.0,756725.2410978536,14920718004,75.26576103349713,133.0,25,8.854267938935169e+19,52077081.44187644,102510459193288.89,2300000.000000001,4.428159074059517e+19,7223228.800196163,0.0,2,29,1,1.5800207119391306e+18,7.900946573846196e+17,15
14,513721107.32782763,5,0.0,779168.3157647485,16366996896,76.84114457727865,134.0,25,1.0421761199967689e+20,51269130.75386823,101560803735493.45,2300000.000000001,5.211896208021199e+19,7223228.800196163,2.332853910047561e-10,1,29,1,1.728374149200507e+18,8.642623204041901e+17,15
15,513721107.32782763,5,0.0,796149.2109246895,17813275789,71.62763619853409,135.0,23,1.2119364483694972e+20,50745833.45530406,100621850311381.55,2300000.000000001,6.0606884603506e+19,7223228.800196163,3.3306690738754696e-16,1,29,1,1.876724366793757e+18,9.384317071165871e+17,15
16,513721107.32782763,5,0.0,790814.5136551601,19259554682,68.6456253260839,136.0,24,1.3947077790117018e+20,50937882.55700712,99966723406799.66,2300000.000000001,6.974538562292577e+19,7223228.800196163,3.3306690738754696e-16,2,30,1,2.025067845354759e+18,1.0126002309409032e+18,15
17,513721107.32782763,5,0.0,824300.7643692945,20705833574,83.12357699319574,137.0,22,1.590490111923383e+20,49761856.39835712,99054385026129.42,2300000.000000001,7.953441103467176e+19,7223228.800196163,3.3306690738754696e-16,1,30,1,2.1734084989120038e+18,1.0867693086443299e+18,13
18,513721107.32782763,5,0.0,841281.6536878819,22152112467,78.02136482285644,138.0,23,1.7992834471045402e+20,49177589.30721949,98263835820222.25,2300000.000000001,8.997399873880903e+19,7223228.800196163,3.1835645231126364e-12,1,30,1,2.321756370124625e+18,1.1609338151126052e+18,14
19,513721107.32782763,5,0.0,863631.3581475285,23598391360,76.88216169046555,139.0,25,2.0210877845551736e+20,48703483.1085127,97773969221873.69,2300000.000000001,1.0106416662468087e+20,7223228.800196163,3.1835645231126364e-12,1,30,1,2.4700829570031775e+18,1.2351018820535736e+18,15
20,513721107.32782763,5,0.0,886006.4977505518,25044670252,77.88456348064389,140.0,20,2.2559031242752836e+20,48295533.261659384,97209251973481.67,2300000.000000001,1.1280487713896153e+20,7223228.800196163,3.1835645231126364e-12,1,30,1,2.618436500900253e+18,1.3092663879424364e+18,13
21,513721107.3278277,5,0.0,897431.8315135838,26490949145,72.94780595425719,141.0,21,2.5037294662648696e+20,48084221.24619023,96686683467136.61,2300000.000000001,1.251961419815902e+20,7223228.800196163,3.1835645231126364e-12,1,30,1,2.766782432057074e+18,1.3834408380647747e+18,14
22,513721107.32782763,5,0.0,919756.0891471466,27937228038,78.76719518618644,142.0,25,2.7645668105239324e+20,47480547.761093244,96159680973056.78,2300000.000000001,1.3823795649429393e+20,7223228.800196163,3.2742142330732804e-11,2,31,1,2.915118825506364e+18,1.4576120058876014e+18,15
23,513721107.32782763,5,0.0,947780.1603543272,29383506931,81.17786898370221,143.0,22,3.0384151570524714e+20,46871681.82850093,95795602279083.95,2300000.000000001,1.5193033741285147e+20,7223228.800196163,3.6383118739991005e-12,1,31,1,3.063456300398602e+18,1.5317764737728934e+18,14
24,513721107.32782763,5,0.0,948094.4005303085,30829785823,73.40094626973335,144.0,23,3.325274505850486e+20,47060369.18216559,95332137927944.6,2300000.000000001,1.662732585063171e+20,7223228.800196163,3.1835645231126364e-12,1,31,1,3.211800919392892e+18,1.605949137099614e+18,15
25,513774000.39514154,5,0.0,971022.9035234062,32276011823,79.97052163541277,145.0,23,3.6251422054538156e+20,46238304.822452456,94811334292171.02,2300000.000000001,1.8126659140612e+20,7237787.653914555,5.4569682106375694e-12,1,31,1,3.3602740793443226e+18,1.680179519157194e+18,15
26,513774000.39514154,5,0.0,1004896.3490454797,33722237822,88.31423168638347,146.0,23,3.9380206199005184e+20,45619952.369170845,94574314980835.61,2300000.000000001,1.9691048842652402e+20,7237787.653914555,5.4569682106375694e-12,1,31,1,3.508623035650849e+18,1.7543448429524946e+18,14
27,514219707.52088296,5,0.0,1016258.4835525708,35168018114,70.8263670869206,147.0,21,4.263879541937714e+20,45610915.526915565,94286183342068.22,2300000.0,2.132034057152199e+20,7239528.697374483,2.382876118645072e-10,1,31,1,3.658550687017202e+18,1.8293132520505864e+18,15
28,514219707.520883,5,0.0,1050336.1190245396,36613798408,83.11183946506048,148.0,21,4.602746371067111e+20,44966574.06770839,94089380799952.58,2300000.0,2.3014672749143556e+20,7248471.708249496,2.4010660126805305e-10,1,31,1,3.8069114524780447e+18,1.9034903073639808e+18,13
29,514219707.52088296,5,0.0,1068107.3991185704,38059578699,73.7584348949292,149.0,21,4.954621107288709e+20,44809545.13508722,93663854505493.62,2300000.0,2.47740421749886e+20,7248471.708249496,4.547473508864641e-11,1,31,1,3.955286774291334e+18,1.9776732947499853e+18,14
30,514219707.52088296,5,0.0,1096600.1802063407,39505358993,76.70089524598686,150.0,21,5.3195037506025076e+20,44479079.0717966,93549771003811.23,2300000.0,2.6598454250722574e+20,7248471.708249496,2.3646862246096134e-11,1,31,1,4.10363371951363e+18,2.051851668843282e+18,14
31,514219707.520883,5,0.0,1119724.9178692275,40951139284,81.18388477245911,151.0,24,5.697394301008507e+20,44436849.18682398,93320907654412.44,2300000.0,2.848790471411908e+20,7248471.708249496,2.5647750589996576e-10,1,31,1,4.252005249586287e+18,2.1260300492200474e+18,14
32,514219707.52088296,5,0.0,1148403.217409212,42396919578,76.20546212326413,152.0,18,6.088292758506707e+20,44214879.46697618,93187491310435.73,2300000.0,3.044239566744664e+20,7248471.708249496,2.3646862246096134e-11,1,31,1,4.4003604262068106e+18,2.2002082345987976e+18,13
33,514219707.520883,5,0.0,1171668.1413428606,43842699870,79.74302999020895,153.0,21,6.492199123097109e+20,44221342.787603214,93031314569766.31,2300000.0,3.2461925928631245e+20,7249388.988538043,7.639755494892597e-11,1,31,1,4.548720210530357e+18,2.2743868755142973e+18,14
34,514219707.52088296,5,0.0,1200338.1331073146,45288480161,76.51534894024854,154.0,19,6.909113394779711e+20,44006368.46191707,92880173141166.72,2300000.0,3.454649577562997e+20,7249388.988538043,7.639755494892597e-11,1,31,1,4.697083481152172e+18,2.3485700209766615e+18,14
35,514219707.52088296,5,0.0,1223599.3301418412,46734260455,80.05868910086879,155.0,21,7.339035573554514e+20,44126725.60882312,92760924759547.9,2300000.0,3.669610547702017e+20,7249388.988538043,4.729372449219227e-11,1,31,1,4.845434850383365e+18,2.422743415948223e+18,14
36,514219707.52088296,5,0.0,1252303.109689841,48180040746,76.50919149640745,156.0,18,7.781965659421518e+20,43907833.86577728,92605389255111.1,2300000.0,3.891075435100014e+20,7249388.988538043,7.639755494892597e-11,1,31,1,4.993800167881839e+18,2.496926514231277e+18,13
37,514236610.32025474,5,0.0,1275568.0336234896,49625804137,78.81119331309081,157.0,22,8.237902254074547e+20,44050835.43188673,92489289955004.38,2300000.0,4.1190436163272285e+20,7249521.041658134,4.729372449219227e-11,1,31,1,5.142221463963316e+18,2.57114055893475e+18,15
38,514236610.3202548,5,0.0,1304154.7873219226,51071567526,77.26737460137541,158.0,19,8.706846663991908e+20,43839660.05649896,92340517172843.83,2300000.0,4.353515672513127e+20,7249521.041658134,4.729372449219227e-11,1,31,1,5.290587580009349e+18,2.6453192732463724e+18,14
39,514236610.32025474,5,0.0,1321860.4288008937,52517330917,81.10474726948901,159.0,21,9.188798889173598e+20,43995595.61094925,92223555365962.5,2300000.0,4.5944916681421645e+20,7249521.041658134,4.729372449219227e-11,1,31,1,5.438937255019489e+18,2.7194930990081853e+18,14
40,514236610.3202547,5,0.0,1345009.5698288942,53963094306,77.42862658122193,160.0,18,9.683758929619617e+20,43776769.89446345,92070836010052.16,2300000.0,4.841971535645819e+20,7249521.041658134,4.729372449219227e-11,1,31,1,5.58730386875607e+18,2.793676458218035e+18,13
41,514236610.32025474,5,0.0,1361052.4275195363,55408857696,81.74429958946288,161.0,21,1.0191726785329968e+21,43922834.057509705,91957365020540.19,2300000.0,5.0959553500300044e+20,7249521.041658134,4.729372449219227e-11,1,31,1,5.735653223233753e+18,2.86785495504373e+18,14
42,517220576.362954,5,0.0,1378452.265419068,56851637119,73.42524012466251,162.0,16,1.0712006063799087e+21,43733824.062882796,91868567776902.06,2300000.0,5.35609490046732e+20,7272833.276366722,5.420588422566652e-10,2,32,1,5.919159844832891e+18,2.9595984983038305e+18,13
43,517220576.36295396,5,0.0,1395705.1060895994,58294416542,78.38125817614707,163.0,17,1.1245257814481831e+21,43917716.56379118,91807468089792.16,2300000.0,5.622720714709005e+20,7272833.276366722,1.9099388737231493e-11,1,32,1,6.06808172508869e+18,3.034058913863406e+18,12
44,517220576.3629539,5,0.0,1413104.943989131,59737195967,74.71413334590035,164.0,18,1.1791482037378202e+21,43698203.932345495,91705569256137.62,2300000.0,5.895832724258357e+20,7272833.276366722,7.73070496506989e-11,1,32,1,6.217022477013987e+18,3.108521943934785e+18,14
45,517220576.36295396,5,0.0,1424709.7103220688,61179975390,78.48749601379384,165.0,18,1.2350678732488195e+21,43891941.34792384,91648791883758.42,2300000.0,6.175431015035981e+20,7272833.276366722,1.9099388737231493e-11,1,32,1,6.365944296483379e+18,3.18299400857565e+18,13
46,517220576.3629539,5,0.0,1442109.5482216002,62622754814,77.86360932334888,166.0,16,1.2922847899811814e+21,43681746.37995589,91554582163357.5,2300000.0,6.46151550448807e+20,7272833.276366722,4.8203219193965197e-11,1,32,1,6.51488533836487e+18,3.257459860749711e+18,12
47,517220576.36295396,5,0.0,1454303.5247909601,64065534237,77.27053601069727,167.0,18,1.3507989539349057e+21,43856442.91793339,91556923692957.55,2300000.000000002,6.754086326598221e+20,7272833.276366722,1.9099388737231493e-11,1,32,1,6.663807526026612e+18,3.331921002281921e+18,13
48,517220576.3629539,5,0.0,1471703.3626904914,65508313662,75.95600812769759,168.0,18,1.4106103651099924e+21,43471125.93315386,91359546925532.45,2300000.0,7.053143185096888e+20,7272833.276366722,5.138645065017045e-10,1,32,1,6.812760641093436e+18,3.4063911458619044e+18,14
49,517220576.36295396,5,0.0,1483308.129023429,66951093085,80.08383021630905,169.0,17,1.4717190235064416e+21,43661967.9334438,91227685826266.69,2300000.0,7.358686345218034e+20,7272833.276366722,1.9099388737231493e-11,1,32,1,6.961675443918577e+18,3.480856282055348e+18,12
50,517220576.36295396,5,0.0,1506105.4687838322,68393872508,84.63430529321269,170.0,16,1.5341249291242536e+21,43451772.96547584,91204296499866.81,2300000.0,7.670715849917767e+20,7272833.276366722,4.8203219193965197e-11,1,32,1,7.110617716993535e+18,3.555322453279471e+18,11
51,517220576.36295396,5,0.0,1517802.7538988083,69836651933,80.71636241353949,171.0,17,1.5978280819634277e+21,43626469.50345336,91067867315598.73,2300000.0,7.989231477684454e+20,7272833.276366722,4.9112713895738125e-11,1,32,1,7.259538221600719e+18,3.62978871677667e+18,12
52,517220576.36295396,5,0.0,1540600.0936592114,71279431355,82.8823697128859,172.0,17,1.6628284820239645e+21,43414488.7460444,91049172455291.05,2300000.0,8.314233459292279e+20,7272833.276366722,4.9112713895738125e-11,1,32,1,7.408480834662082e+18,3.7042464312506066e+18,12
53,521048131.5718767,5,0.0,1546233.9881161812,72718383224,78.23929891012362,120.0,17,1.728846395600933e+21,43635233.52140404,90977739179808.69,2300000.0,8.644322955743844e+20,7302736.051436431,4.4929038267582655e-10,1,32,1,7.697679424639164e+18,3.848860057243962e+18,12
54,521048131.5718767,5,0.0,1568151.865057119,74157335092,81.43728542597748,120.0,16,1.7961509052895663e+21,43454941.3285058,91022294011630.64,2300000.0,8.980845548741843e+20,7302736.051436431,4.4929038267582655e-10,1,32,1,7.848885656179889e+18,3.924457522880767e+18,11
55,521048131.5718767,5,0.0,1568322.722740571,75596286961,79.38084589168048,120.0,19,1.8647420110898651e+21,43655606.16372678,90946438612063.03,2300000.0,9.323801001887937e+20,7302736.051436431,4.4929038267582655e-10,1,32,1,8.000067507239548e+18,4.000055081223514e+18,13
56,521048131.5718767,5,0.0,1584286.942588876,77035238829,75.6259645144051,120.0,17,1.9346197130018292e+21,43409807.42682008,91002881388131.75,2300000.0,9.673189567890534e+20,7302736.051436431,4.783942131325603e-10,1,32,1,8.151274138654746e+18,4.0756400878630057e+18,13
57,521048131.5718767,5,0.0,1582069.3285622513,78474190698,73.36996199010056,120.0,18,2.0057840110254587e+21,43627221.52602635,90876994853691.28,2300000.0,1.0029010932122147e+21,7302736.051436431,4.765752237290144e-10,1,32,1,8.302459239460425e+18,4.1512475910378383e+18,14
58,521048131.5718767,5,0.0,1598083.0123920308,79913142566,79.15859788626359,120.0,17,2.078234905160753e+21,43447327.36589274,90930341810553.84,2300000.0,1.0391265456145575e+21,7302736.051436431,4.474713932722807e-10,1,32,1,8.453665325435774e+18,4.2268437318436413e+18,12
59,521048131.5718767,5,0.0,1598253.870075483,81352094434,76.8150421423663,120.0,18,2.151972395407713e+21,43654859.3223287,90852612672170.02,2300000.0,1.0759952829651237e+21,7302736.051436431,4.3382897274568677e-10,1,32,1,8.604846151556905e+18,4.3024411451725793e+18,13
60,521048131.5718767,5,0.0,1610034.2473829899,82791046303,79.38227001331688,120.0,17,2.226996481766338e+21,43476112.01614283,90911566412038.6,2300000.0,1.1135073320398102e+21,7302736.051436431,4.3382897274568677e-10,1,32,1,8.756053779922882e+18,4.378029937475066e+18,12
