t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey,q_sumsq,z_l1,z_sumsq,z_max,lyapunov,key_inflow,key_overflow,cg_iters,cg_columns,cg_converged,obj_lp,obj_greedy,key_blocked_edges
0,1800000000.0,1,0.0,1957465.2777777778,160000000,26.884621903132974,120.0,3,2.56e+16,16731250.0,25535585937500.0,2300000.0,1.535355859375e+16,7200000.0,0.0,0,5,1,0.0,8.718243679968013e+17,3
1,1800000000.0,1,0.0,1367534.7222222222,320000000,34.21364573281941,121.0,4,1.024e+17,34368750.0,53059726562500.0,2300000.0,5.650597265625e+16,7200000.0,0.0,0,5,1,0.0,9.740159295961615e+17,4
2,1153600000.0,2,0.0,1054240.7407407407,1126400000,31.414145123713986,122.0,4,1.0473472e+18,43537500.0,74769218750000.0,2300000.0,5.31150521875e+17,7200000.0,0.0,0,5,1,0.0,4.290298895892919e+17,4
3,1153600000.0,2,0.0,854761.574074074,1932800000,31.40653028530269,123.0,3,2.9892608e+18,49318750.0,85457929687500.0,2300000.0,1.50317619296875e+18,7200000.0,0.0,0,5,1,0.0,5.321269687695196e+17,3
4,849600000.0,3,0.0,800206.1282562009,3043200000,52.4139220117204,124.0,5,6.10030592e+18,51082746.04944343,91380526165457.67,2300000.0,3.059291012616546e+18,7273503.950556569,1.1641532182693481e-10,0,5,1,0.0,4.8157795085122694e+17,5
5,849600000.0,3,0.0,692872.9046605501,4153600000,64.5810210201572,125.0,8,1.038831616e+19,54946742.09888686,102452409435364.9,2300000.0,5.204403320943536e+18,7273503.950556569,1.0186340659856796e-10,0,5,1,0.0,6.065432547359556e+17,6
6,683200000.0,4,0.0,669393.8477315658,5430400000,62.08939109735621,126.0,6,1.593865216e+19,55791988.14833029,106035088791180.39,2300000.0,7.979929588879118e+18,7273503.950556569,0.0,0,5,1,0.0,6.607373890441825e+17,6
7,701560888.8888888,5,0.0,631951.8278396187,6688839111,88.657508924938,127.0,9,2.273661799406301e+19,57139900.86444039,111434020268852.86,2300000.0,1.1379452399058391e+19,7273503.950556569,0.0,0,5,1,0.0,8.022349921800758e+17,9
8,556800000.0,5,0.0,630521.3820238926,8092039111,75.85130217542793,128.0,8,3.082391195744079e+19,57191396.91380653,111079414436122.94,2300000.0,1.5423063920164008e+19,7273503.950633861,0.0,0,5,1,0.0,8.926128050322616e+17,8
9,512000000.0,5,0.0,632563.1584303887,9540039111,79.06989868094625,129.0,9,4.021181392081857e+19,57117892.96317267,111220268352105.75,2300000.0,2.0117028987244495e+19,7273503.950633861,0.0,0,5,1,0.0,1.0269523340764474e+18,9
10,512000000.0,5,0.0,657327.5858349416,10988039111,80.38442585435733,130.0,8,5.090175748419635e+19,56226373.57660877,108386511288990.39,2300000.0,2.546171739322707e+19,7291519.386563904,8.731149137020111e-11,0,5,1,0.0,1.1755936980943631e+18,6
11,512000000.0,5,0.0,682092.0132394944,12436039111,88.04021456418286,131.0,9,6.289374264757413e+19,55334854.190044865,106992751252553.62,2300000.0,3.145757059891232e+19,7291519.386563904,2.4556356947869062e-11,0,5,1,0.0,1.3237056117812675e+18,8
12,512000000.0,5,0.0,695745.3295329362,13884039111,77.17513194325352,132.0,8,7.61877694109519e+19,54843334.80348096,104894721576128.8,2300000.0,3.810437417763357e+19,7291519.386563904,3.001332515850663e-11,0,5,1,0.0,1.4721211525207805e+18,6
13,512000000.0,5,0.0,698287.5347152669,15332039111,62.392192407099024,133.0,7,9.078383777432968e+19,54751815.416917056,103999311148604.8,2300000.0,4.5402318818279694e+19,7291519.386563904,2.4556356947869062e-11,0,5,1,0.0,1.6203098570302543e+18,6
14,512000000.0,5,0.0,700829.7398975976,16780039111,68.04709817715391,134.0,8,1.0668194773770746e+20,54660296.03035315,101887008858870.5,2300000.0,5.335116256973962e+19,7291519.386563904,3.001332515850663e-11,0,5,1,0.0,1.7687207759744863e+18,6
15,512000000.0,5,0.0,725594.1673021504,18228039111,67.99016911510815,135.0,7,1.2388209930108523e+20,53768776.64378925,100024703595814.81,2300000.0,6.19510521209022e+19,7291519.386563904,2.4556356947869062e-11,0,5,1,0.0,1.9169154902120645e+18,6
16,512000000.0,5,0.0,750358.5947067032,19676039111,73.70964750742671,136.0,8,1.4238429246446302e+20,52877257.25722534,98648128692771.06,2300000.0,7.120201104510079e+19,7291519.386563904,3.001332515850663e-11,0,5,1,0.0,2.0652210375481423e+18,6
17,512000000.0,5,0.0,775123.0221112561,21124039111,67.64402893149217,137.0,7,1.621885272278408e+20,51985737.87066144,97281550816405.9,2300000.0,8.110399176900203e+19,7291519.386563904,2.4556356947869062e-11,0,5,1,0.0,2.2134804165812815e+18,6
18,512000000.0,5,0.0,766554.1161824757,22572039111,60.815601984629495,138.0,8,1.8329480359121856e+20,52294218.48409754,95605703300052.67,2300000.0,9.165696236593929e+19,7291519.386563904,1.4642864698544145e-10,0,5,1,0.0,2.361856950518156e+18,6
19,512000000.0,5,0.0,769096.3213648064,24020039111,61.54623905534454,139.0,7,2.0570312155459633e+20,52202699.097533636,94567475032600.28,2300000.0,1.0286101752480142e+20,7291519.386563904,2.4556356947869062e-11,0,5,1,0.0,2.510049616428318e+18,6
20,512000000.0,5,0.0,793860.7487693592,25468039111,70.21736957647616,140.0,8,2.2941348111797413e+20,51311179.71096973,93362354902937.6,2300000.0,1.1471607679447736e+20,7291519.386563904,3.001332515850663e-11,0,5,1,0.0,2.658353583095944e+18,6
21,512000000.0,5,0.0,818625.176173912,26916039111,68.0081458472777,141.0,6,2.544258822813519e+20,50419660.32440583,91677231799953.5,2300000.0,1.2722210886385595e+20,7291519.386563904,2.4556356947869062e-11,0,5,1,0.0,2.806661843570069e+18,6
22,512000000.0,5,0.0,821167.3813562427,28364039111,64.14287943390192,142.0,6,2.8074032504472968e+20,50328140.93784192,90707839056981.34,2300000.0,1.4037923330627053e+20,7291519.386563904,3.001332515850663e-11,0,5,1,0.0,2.954944611734053e+18,6
