study,horizon_s,weight_variant,k_max_bits,aos_T_a,load_scale,scheduler,n_seeds,mean_aos,goodput_mbps,active_overflow_frac,queue_slope_bits_per_cycle,chi_prime,mean_queue_bits,cg_mean_iters,cg_gap_frac,cg_gap_max,cg_nonconverged,greedy_aos,greedy_goodput_mbps,greedy_queue_bits
A,600,W0,5000000.0,300.0,1.0,aos_backpressure,3,4.682190145162385,245.0,0.024897479414320533,,,,,,,,,,
A,600,W0,50000000.0,300.0,1.0,aos_backpressure,3,18.13401184518189,245.0,1.0079457655547411e-15,,,,,,,,,,
A,600,W0,500000000.0,300.0,1.0,aos_backpressure,3,21.324468679258647,245.0,8.344555314426918e-16,,,,,,,,,,
A,600,W0,5000000000.0,300.0,1.0,aos_backpressure,3,21.324468679258647,245.0,8.344555314426918e-16,,,,,,,,,,
A,600,W1,5000000.0,300.0,1.0,aos_backpressure,3,4.682190145162385,245.0,0.024897479414320533,,,,,,,,,,
A,600,W1,50000000.0,300.0,1.0,aos_backpressure,3,16.170975658171077,245.0,8.75498571200115e-16,,,,,,,,,,
A,600,W1,500000000.0,300.0,1.0,aos_backpressure,3,30.608262297785856,244.27125093152068,6.265485126722799e-16,,,,,,,,,,
A,600,W1,5000000000.0,300.0,1.0,aos_backpressure,3,32.42714448672385,213.30669057172466,7.417122934580663e-16,,,,,,,,,,
A,600,W2,5000000.0,300.0,1.0,aos_backpressure,3,10.875296424026502,203.0151326705103,0.06330129954246672,,,,,,,,,,
A,600,W2,50000000.0,300.0,1.0,aos_backpressure,3,10.761635283668141,203.0151326705103,1.1315147055262083e-15,,,,,,,,,,
A,600,W2,500000000.0,300.0,1.0,aos_backpressure,3,10.761635283668141,203.0151326705103,1.1315147055262083e-15,,,,,,,,,,
A,600,W2,5000000000.0,300.0,1.0,aos_backpressure,3,10.761635283668141,203.0151326705103,1.1315147055262083e-15,,,,,,,,,,
A,600,W3,5000000.0,300.0,1.0,aos_backpressure,3,3.708343035787079,245.0,0.028254692641761368,,,,,,,,,,
A,600,W3,50000000.0,300.0,1.0,aos_backpressure,3,3.0467650936475645,245.0,6.754402396254749e-16,,,,,,,,,,
A,600,W3,500000000.0,300.0,1.0,aos_backpressure,3,3.0467650936475645,245.0,6.754402396254749e-16,,,,,,,,,,
A,600,W3,5000000000.0,300.0,1.0,aos_backpressure,3,3.0467650936475645,245.0,6.754402396254749e-16,,,,,,,,,,
A,3600,W0,5000000.0,300.0,1.0,aos_backpressure,1,2.746363408998616,245.0,0.05164375547358455,,,,,,,,,,
A,3600,W0,50000000.0,300.0,1.0,aos_backpressure,1,33.929804607396896,245.0,0.007482446873407269,,,,,,,,,,
A,3600,W0,500000000.0,300.0,1.0,aos_backpressure,1,24.29682120017145,245.0,2.9096830167501954e-15,,,,,,,,,,
A,3600,W0,5000000000.0,300.0,1.0,aos_backpressure,1,26.473799780428216,245.0,1.0340166175332635e-15,,,,,,,,,,
A,3600,W1,5000000.0,300.0,1.0,aos_backpressure,1,2.746363408998616,245.0,0.05164375547358455,,,,,,,,,,
A,3600,W1,50000000.0,300.0,1.0,aos_backpressure,1,15.535881817697408,245.0,0.01435486612848706,,,,,,,,,,
A,3600,W1,500000000.0,300.0,1.0,aos_backpressure,1,23.10093042623221,245.0,2.1178485690322674e-15,,,,,,,,,,
A,3600,W1,5000000000.0,300.0,1.0,aos_backpressure,1,37.51286365720919,214.3287916937377,1.2141001674192044e-15,,,,,,,,,,
A,3600,W2,5000000.0,300.0,1.0,aos_backpressure,1,10.510201593861247,203.81338158938559,0.0960110016229329,,,,,,,,,,
A,3600,W2,50000000.0,300.0,1.0,aos_backpressure,1,10.284477772118494,203.85986306518015,0.06506486578475791,,,,,,,,,,
A,3600,W2,500000000.0,300.0,1.0,aos_backpressure,1,10.284477772118494,203.85986306518015,4.220970546525166e-15,,,,,,,,,,
A,3600,W2,5000000000.0,300.0,1.0,aos_backpressure,1,10.284477772118494,203.85986306518015,4.220970546525166e-15,,,,,,,,,,
A,3600,W3,5000000.0,300.0,1.0,aos_backpressure,1,3.031022895313718,245.0,0.04357262593747288,,,,,,,,,,
A,3600,W3,50000000.0,300.0,1.0,aos_backpressure,1,0.9049480554919485,245.0,0.016526297921564966,,,,,,,,,,
A,3600,W3,500000000.0,300.0,1.0,aos_backpressure,1,0.8961829791975626,245.0,1.9389117165363467e-15,,,,,,,,,,
A,3600,W3,5000000000.0,300.0,1.0,aos_backpressure,1,0.8961829791975626,245.0,1.9389117165363467e-15,,,,,,,,,,
