model,realization,goodput_mbps,its_fraction,mislabelled_fraction,mean_aos,phys_slope,mean_virt
isccp,0,6.238822506642569,0.9947908540369231,0.0,10.498178603853832,-0.0037506134209166994,1270.611130609166
isccp,1,6.235141062755735,0.9954300262479866,0.0,9.308134435895514,0.029264788276268053,1160.2691718155297
isccp,2,6.247140409138329,0.9941838468455623,0.0,9.312193039164582,-0.021031337771595163,1285.3679082213332
isccp,3,6.2392052643527265,0.9950814993046999,0.0,8.576179955206914,0.010378004999443892,925.6090950271175
isccp,4,6.242676200576467,0.987768877980922,0.0,11.883449901504873,0.025836172834385343,1507.0937242620525
isccp,5,6.248408564814814,0.9959532401721716,0.0,9.186672995007868,-0.01553285668190721,1071.4347511786248
isccp,6,6.2475919683472165,0.9916546347086194,0.0,11.102206485807073,-0.03203174596945493,1643.4942965057137
isccp,7,6.2436527668749395,0.9939748902260807,0.0,9.959152750575658,-0.00832549868687685,1258.5800760576378
isccp,8,6.24065696197168,0.988679688302209,0.0,11.788228671887603,0.07506948161665139,1488.1757388849646
isccp,9,6.2477951953403394,0.9881472737550863,0.0,11.895592512737496,0.031240365467734472,1413.2891419381995
isccp,10,6.246006165678957,0.9945330711845809,0.0,10.247200090510143,0.03970229311509947,1327.0737062163207
isccp,11,6.247985774060636,0.9921117340660842,0.0,9.917445489985372,0.06508240756981251,1251.7487844114703
isccp,12,6.249666359599396,0.9920781863355329,0.0,10.388568808750684,0.01591108588916881,1427.0978188307759
era5,0,5.888030250839454,0.7368909163724452,0.0,84.72123639407043,10.143123817020173,121759.84297706212
era5,1,6.22514850055214,0.7359746901659396,0.0,81.11110690764707,-17.274850329218395,124728.31925302038
era5,2,5.328187082649262,0.6681088250061593,0.0,108.09391302718959,29.57653372041413,199359.4447808703
era5,3,6.243644765574881,0.8598324345691672,0.0,48.88810427483891,-0.4998001734483617,23813.96477186672
era5,4,4.814592845183312,0.47998731005427125,0.0,159.11230940040141,31.328381932321697,488450.16386219097
era5,5,4.909007278448703,0.4140268932504724,0.0,180.1393949862521,26.799596716836284,528415.2028714217
era5,6,5.5984694589446224,0.6603402734476775,0.0,105.8092904182208,0.19799803286819917,257787.15607301766
era5,7,4.228887695590171,0.30216908502152195,0.0,212.50405084428732,15.605320502531006,1123956.8419099252
era5,8,5.755666270322325,0.7311069067202441,0.0,84.6455824724743,5.632118548555969,172728.53844545764
era5,9,4.841096306783517,0.38511438859014957,0.0,186.93059536406253,4.8249042122488905,887833.5500420685
era5,10,5.940246353452599,0.8842101298650344,0.0,40.05043581682109,10.220009095101474,42253.33593860231
era5,11,5.654599536998282,0.759171760844983,0.0,80.53098014643638,10.449922151915308,242307.90757572043
era5,12,5.91668760354594,0.7857851568799692,0.0,66.89737959230662,7.734146292110413,72785.05805728541
