study,policy,theta,load_scale,budget_scale,V_chi,V_nu,offered_mbps,lp_boundary_mbps,goodput_mbps,its_fraction,mislabelled_fraction,mean_aos,mean_delay,phys_slope,manufacture_utilisation,qkd_expired_frac
A,aos_tqd,0.5,0.5,1.0,10.0,0.0,3.125,21.36403400869539,3.123444516765045,0.9994659610775661,0.0,3.608949507406033,2.368615758181879,-0.00036761073404699185,7.137345679012346e-05,0.8851939514872283
A,tqd,1.0,0.5,0.0,10.0,0.0,3.125,10.682017004347696,3.123319114875688,1.0,0.0,4.415705036129666,2.4018556708739744,-0.00028562974356963823,0.0,0.8851711766489913
A,aos_tqd,0.5,0.75,1.0,10.0,0.0,4.6875,21.36403400869539,4.682945948823686,0.9985376500885003,0.0,6.1599688300603805,3.5146866860729356,0.003391435457242852,0.00018261316872427984,0.8254129328448455
A,tqd,1.0,0.75,0.0,10.0,0.0,4.6875,10.682017004347696,4.682416118667566,1.0,0.0,7.542071597502478,3.709256076072468,0.005482733874658273,0.0,0.8252945516857567
A,aos_tqd,0.5,1.0,1.0,10.0,0.0,6.25,21.36403400869539,6.240597088693166,0.9947908540369231,0.0,10.498178603853832,5.644300488120112,0.008139402983517086,0.0006513631687242798,0.7595422003618177
A,tqd,1.0,1.0,0.0,10.0,0.0,6.25,10.682017004347696,6.238772635376286,1.0,0.0,12.262349919118636,6.6431281528827695,0.030406024607102393,0.0,0.7587716939926334
A,aos_tqd,0.5,1.25,1.0,10.0,0.0,7.8125,21.36403400869539,7.797778672464638,0.981924802154769,0.0,16.548285409333648,11.064981016696963,0.023932673113601068,0.0024164094650205763,0.6867141222672053
A,tqd,1.0,1.25,0.0,10.0,0.0,7.8125,10.682017004347696,7.789583472860397,1.0,0.0,16.05216758731665,22.183217354820325,0.0722205316555222,0.0,0.682063524306144
A,aos_tqd,0.5,1.5,1.0,10.0,0.0,9.375,21.36403400869539,9.35544972473903,0.9535990525821861,0.0,26.367124873862522,17.23052795528811,0.014478164631599658,0.00586548353909465,0.6132837625259232
A,tqd,1.0,1.5,0.0,10.0,0.0,9.375,10.682017004347696,9.312929650597473,1.0,0.0,18.839677929385186,90.81247743094612,-0.13990963868976042,0.0,0.60458387889657
A,aos_tqd,0.5,2.0,1.0,10.0,0.0,12.5,21.36403400869539,12.460358829219228,0.8698819637597479,0.0,50.78863472172288,39.196532864956644,0.10084677850700355,0.01617283950617284,0.48271208058718107
A,tqd,1.0,2.0,0.0,10.0,0.0,12.5,10.682017004347696,11.680697984661828,1.0,0.0,15.213116846947432,1400.7264036627598,10.55344968710972,0.0,0.501581460417583
A,aos_tqd,0.5,2.5,1.0,10.0,0.0,15.625,21.36403400869539,15.547747227590506,0.7670424540031732,0.0,78.66501111630338,77.96284617651648,0.16854465357546183,0.0329809670781893,0.3962373527544512
A,tqd,1.0,2.5,0.0,10.0,0.0,15.625,10.682017004347696,12.763737100595899,1.0,0.0,16.453741354794786,3336.7325793007244,42.23004955026509,0.0,0.45042362278986403
A,aos_tqd,0.5,3.0,1.0,10.0,0.0,18.75,21.36403400869539,18.60681270000937,0.6831439006476461,0.0,102.96522556244543,149.41300488251858,0.4674535638810127,0.05263503086419753,0.34018653592585346
A,tqd,1.0,3.0,0.0,10.0,0.0,18.75,10.682017004347696,13.484849197045913,1.0,0.0,17.532556600978165,4455.713233382041,78.95295774394826,0.0,0.4188026437708351
B,aos_tqd,0.5,2.0,0.0,10.0,0.0,12.5,10.682017004347696,11.504082381523308,1.0,0.0,14.812167621548584,784.6201918704963,11.807298917516116,0.0,0.5053097805619491
B,aos_tqd,0.5,2.0,0.03125,10.0,0.0,12.5,14.283116705697916,12.421543844207326,0.8805264093567503,0.0,49.9617139381121,85.14638283814749,0.23773699481440227,0.03133905606995885,0.4826104677100681
B,aos_tqd,0.5,2.0,0.0625,10.0,0.0,12.5,16.986564981559983,12.459278676979611,0.8780315904210678,0.0,50.729528290357216,39.445206000891446,0.12979304039325568,0.01908886316872428,0.4822549074518736
B,aos_tqd,0.5,2.0,0.125,10.0,0.0,12.5,21.36403400869539,12.46027572601961,0.8777046530293177,0.0,50.827583296535636,39.211463828555054,0.10673257279790746,0.0161670524691358,0.4826249657149634
B,aos_tqd,0.5,2.0,0.25,10.0,0.0,12.5,21.36403400869539,12.460358829219228,0.8778063374175149,0.0,50.78863472172288,39.196532864956644,0.1008467097496271,0.01617283950617284,0.48271208058718107
B,aos_tqd,0.5,2.0,0.5,10.0,0.0,12.5,21.36403400869539,12.460358829219228,0.8778063374175149,0.0,50.78863472172288,39.196532864956644,0.10084677850700355,0.01617283950617284,0.48271208058718107
B,aos_tqd,0.5,2.0,1.0,10.0,0.0,12.5,21.36403400869539,12.460358829219228,0.8778063374175149,0.0,50.78863472172288,39.196532864956644,0.10084677850700355,0.01617283950617284,0.48271208058718107
B,aos_tqd,0.5,2.0,2.0,10.0,0.0,12.5,21.36403400869539,12.460358829219228,0.8778063374175149,0.0,50.78863472172288,39.196532864956644,0.10084677850700355,0.01617283950617284,0.48271208058718107
C,aos_tqd,0.0,2.0,1.0,10.0,0.0,12.5,84.23972741317367,12.47601656916452,0.8688783111131496,0.0,54.64167586221438,32.06144517834269,0.040905032970513164,0.010469393004115226,0.4825618011699331
C,aos_tqd,0.125,2.0,1.0,10.0,0.0,12.5,82.82471360213415,12.47609257138773,0.8699104224701248,0.0,52.789979562088014,31.91827846049954,0.041896170403245094,0.011462834362139917,0.48285163877586323
