t,qkd,mfg,bankQ,bankP,xq,xp,y,servedQ,servedP,ageQ
29.5,72.84062350024267,0.0,0.0,0.0,1505.258756046455,0.0,0.0,72.84062350024267,0.0,0.0
89.5,213.88870116031276,13.020833333333334,97.75470476794288,586.1658628295068,1683.8212915493953,1.2975160767431972,0.0,194.447688308856,1.2975160767431972,0.75
149.5,321.84425328048184,0.0,5973.270810022076,703.3990353954081,0.0,0.0,0.0,154.40441313244048,0.0,39.5
209.5,335.4023918132369,0.0,16842.394144925263,703.3990353954081,0.0,0.0,0.0,151.80938097895412,0.0,99.5
269.5,397.1540068439077,0.0,28851.404986881233,703.3990353954081,0.0,0.0,0.0,155.7019292091837,0.0,159.5
329.5,398.3725978064861,0.0,43872.85140780856,703.3990353954081,0.0,0.0,0.0,155.7019292091837,0.0,219.5
389.5,371.53594021178236,0.0,57482.40001893196,128.9564898224915,0.0,0.0,0.0,155.7019292091837,0.0,278.75
449.5,530.9642435126091,0.0,69295.61515558131,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
509.5,576.2126004269601,0.0,83158.78416218265,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
569.5,596.63701260079,0.0,97134.32696380999,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
629.5,569.4109715823771,0.0,107669.56069754521,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
689.5,562.127594572309,0.0,118459.83103384398,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
749.5,539.4772581151938,0.0,124442.6891156339,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
809.5,488.94148402951305,0.0,122042.21748669953,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
869.5,383.4539311637964,0.0,112164.35895566319,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
929.5,385.1882270157453,0.0,100382.0028075869,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
989.5,362.2044133085798,0.0,88832.39357280282,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
