t,qkd,mfg,bankQ,bankP,xq,xp,y,servedQ,servedP,ageQ,ageMean,ageOldest
0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,71.14395688450423,0.0,4033.1767424139884,0,18.54602175278348,0.0,-5.218048215738236e-15,18.546021752783485,0.0,0.0,43.31760198307869,116
240,86.07250012005969,0.0,9931.443902813706,0,39.983935817798255,0.0,-3.552713678800501e-15,39.983935817798255,0.0,0.0,105.3126445328547,236
360,99.81255819590474,0.0,10458.163315892867,0,139.42870382127475,0.0,-1.4210854715202004e-14,162.7839932026523,0.0,24.554548886793718,192.46122139394762,300
480,145.0251997276512,0.0,3526.5067365896616,0,150.60035284127667,0.0,1.9184653865522705e-13,143.13107991869367,0.0,17.804601709000377,243.7101296408921,300
600,143.05108793718875,0.0,2243.0554242040225,0,122.11845217889322,0.0,2.7711166694643907e-13,168.82903094164806,0.0,16.9476105549212,79.31539498728817,193
720,125.02885814791053,0.0,5622.957445128112,0,69.4796718179989,0.0,2.291500322826323e-13,116.19025058075378,0.0,1.8597244368772863,104.50224823098056,289
840,98.68117974527742,0.0,5942.093696890708,0,143.8279401435869,0.0,3.730349362740526e-13,143.82794014358657,0.0,45.2854270634761,159.34785635245066,299
960,102.97116889614365,0.0,2243.2333880394663,0,66.6237879599756,0.0,4.902744876744691e-13,125.012011413419,0.0,120.19826565338124,269.0730079664053,300
1080,113.94458048600562,0.0,382.0386515273643,0,110.24451270420562,0.0,4.085620730620576e-13,110.24451270420586,0.0,3.610815748150084,28.160970117255044,48
1200,111.7458026341079,0.0,1548.8034727085785,0,114.86710712077914,0.0,7.176481631177012e-13,56.47888366733544,0.0,0.5188620976703013,77.32793293760741,168
1320,99.09812080469604,0.0,3520.749042549409,0,125.28670243057651,0.0,8.668621376273222e-13,183.67492588402052,0.0,12.638063118103943,132.4378017323737,288
1440,113.39446162820772,0.0,3443.0978726581775,0,35.0012516370758,0.0,1.1013412404281553e-12,140.10005385327472,0.0,2.8624365692928095,177.80193095305316,300
1560,108.32410798467204,0.0,2508.498630030097,0,83.66801103821999,0.0,1.4281908988778014e-12,95.34565572890838,0.0,2.254509638086357,110.395543860389,282
1680,128.39348192295023,0.0,3444.100287435988,0,111.6687697242595,0.0,1.715960706860642e-12,111.66876972425905,0.0,4.3525220646750284,125.07056337439963,277
1800,154.48943404708854,0.0,6767.248567367106,0,112.04037308782426,0.0,2.2879476091475226e-12,112.04037308782334,0.0,0.8633813029346762,114.42796519891041,300
1920,136.91576392845417,0.0,11191.009312332279,0,167.65774713784322,0.0,2.4584778657299466e-12,65.75299404022066,0.0,7.966141056687081,128.8163709114188,297
2040,113.60114767058634,0.0,7845.810543926825,0,102.86648700415526,0.0,2.8634872251132037e-12,102.86648700415375,0.0,106.6638502550093,208.00143039755528,300
2160,117.30537847166187,0.0,3155.2630722596946,0,134.37601564019997,0.0,2.9984903449076228e-12,134.37601564019832,0.0,3.543594766283203,229.72598132386213,300
2280,105.07042182761329,0.0,220.9891369935261,0,105.07042182761482,0.0,3.183231456205249e-12,105.07042182761327,0.0,122.8993238660212,161.17106215576013,229
