t,qkd,mfg,bankQ,bankP,xq,xp,y,servedQ,servedP,ageQ,ageMean,ageOldest
0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,0.0,0.0,0,18713.814871651786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,0.0,0.0,0,29348.287756991947,0.0,77.33433431166408,7.105427357601002e-15,0.0,18.946110858220198,0.0,0.0,0.0
360,0.0,0.0,0,31440.454599808672,0.0,23.35528938137756,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
480,0.0,0.0,0,32370.327413643823,0.0,7.105427357601002e-15,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
600,0.0,0.0,0,34616.77395567602,0.0,7.105427357601002e-15,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
720,0.0,0.0,0,17361.512476084183,0.0,7.105427357601002e-15,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
840,0.0,0.0,0,4547.3682637117345,0.0,7.105427357601002e-15,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
960,0.0,0.0,0,22245.2280472736,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
1080,0.0,0.0,0,45084.863779496176,0.0,23.355289381377567,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
1200,0.0,0.0,0,52408.054896763395,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
1320,0.0,0.0,0,38289.47106186224,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
1440,0.0,0.0,0,25219.57086057079,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
1560,0.0,0.0,0,35047.694614955355,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
1680,0.0,0.0,0,26139.800402582907,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
1800,0.0,0.0,0,8662.663673867984,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
1920,0.0,0.0,0,0,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
2040,0.0,0.0,0,0,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
2160,0.0,0.0,0,7951.479542012117,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
2280,0.0,0.0,0,10061.676648198341,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
2400,0.0,781.25,0,10178.45309510523,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,58.38822345344388,0.0,0.0,0.0
2520,0.0,0.0,0,22303.61627072704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2640,0.0,781.25,0,41844.239526865436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2760,0.0,0.0,0,39081.24651227678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2880,0.0,0.0,0,28052.629743303572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000,0.0,0.0,0,15915.78892299107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3120,0.0,0.0,0,12884.210080516581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3240,0.0,0.0,0,19541.77545041454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3360,0.0,0.0,0,30465.293417171557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3480,0.0,0.0,0,37390.29242067921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600,0.0,0.0,0,33321.70758928572,0.0,58.38822345344388,0.0,0.0,0.0,0.0,0.0,0.0
3720,0.0,0.0,0,35106.0828384088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3840,0.0,0.0,0,38124.83184191646,0.0,81.74351283482143,0.0,0.0,0.0,0.0,0.0,0.0
3960,0.0,0.0,0,45866.113779496176,0.0,23.355289381377553,0.0,0.0,0.0,0.0,0.0,0.0
4080,0.0,0.0,0,51660.68563655931,0.0,58.38822345344388,0.0,0.0,0.0,0.0,0.0,0.0
4200,0.0,0.0,0,49900.81787109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4320,0.0,781.25,0,46036.01572464924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4440,0.0,0.0,0,45675.16093351403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4560,0.0,0.0,0,68173.18663305165,0.0,23.355289381377553,0.0,0.0,0.0,0.0,0.0,0.0
4680,0.0,781.25,0,63450.65369897959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4800,0.0,0.0,0,52325.159189652426,0.0,0.0,0.0,0.0,58.38822345344388,0.0,0.0,0.0
4920,0.0,0.0,0,42518.08633609694,0.0,0.0,0.0,0.0,58.38822345344388,0.0,0.0,0.0
5040,0.0,0.0,0,45840.4541015625,0.0,58.38822345344388,0.0,0.0,0.0,0.0,0.0,0.0
5160,0.0,0.0,0,40816.60679408482,0.0,58.38822345344388,0.0,0.0,0.0,0.0,0.0,0.0
5280,0.0,0.0,0,42567.10130341199,0.0,23.355289381377553,0.0,0.0,0.0,0.0,0.0,0.0
5400,0.0,0.0,0,51940.94910913584,0.0,58.38822345344388,0.0,0.0,0.0,0.0,0.0,0.0
5520,0.0,0.0,0,55555.257991868624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5640,0.0,0.0,0,37052.792918925385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5760,0.0,781.25,0,26944.405691964286,0.0,0.0,0.0,0.0,23.355289381377553,0.0,0.0,0.0
5880,0.0,781.25,0,42312.497508769135,0.0,0.0,0.0,0.0,23.355289381377553,0.0,0.0,0.0
6000,0.0,0.0,0,80417.43064413265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6120,0.0,0.0,0,76604.60180165817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6240,0.0,0.0,0,63147.034937021686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6360,0.0,0.0,0,58855.42266222896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6480,0.0,0.0,0,61609.04242067921,0.0,23.355289381377553,0.0,0.0,0.0,0.0,0.0,0.0
6600,0.0,0.0,0,60538.15569196428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6720,0.0,0.0,0,44715.78792649872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6840,0.0,0.0,0,13642.104791135203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6960,0.0,0.0,0,757.8947106186224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7080,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7200,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7320,0.0,-0.0,0,10936.347805723852,0.0,0.0,0.0,0.0,23.355289381377553,0.0,0.0,0.0
7440,0.0,0.0,0,32668.91168088329,0.0,23.355289381377553,0.0,0.0,0.0,0.0,0.0,0.0
7560,0.0,781.25,0,59369.23902861926,0.0,0.0,0.0,0.0,23.355289381377553,0.0,0.0,0.0
